,,1,2,3,4,5,,,
,,吳炎成,李炷烽*,黃積軍,楊肅元*,翟美玉,,,
,,民主進步黨,新黨,無,中國國民黨,中國國民黨,有效票,無效票,選舉人數
金城鎮,東門里,16,423,12,390,115,956,23,1354
金城鎮,西門里,24,895,19,351,398,1687,38,2416
金城鎮,南門里,24,695,24,319,195,1257,34,1777
金城鎮,北門里,12,463,15,173,176,839,28,1208
金城鎮,古城里,10,251,6,227,179,673,24,1012
金城鎮,金水里,3,166,33,88,92,382,8,545
金城鎮,珠沙里,3,156,2,76,73,310,8,466
金城鎮,賢庵里,20,337,12,86,120,575,25,862
金寧鄉,古寧村,5,485,5,63,60,618,9,960
金寧鄉,安美村,14,321,8,302,140,785,22,1165
金寧鄉,后盤村,8,165,0,28,51,252,12,408
金寧鄉,湖埔村,8,168,2,322,108,608,22,895
金寧鄉,榜林村,11,370,5,138,176,700,29,1113
金寧鄉,盤山村,8,313,1,113,144,579,16,846
金湖鎮,新市里,22,595,14,244,168,1043,29,1518
金湖鎮,山外里,24,381,7,125,202,739,15,1073
金湖鎮,正義里,15,237,14,89,161,516,24,720
金湖鎮,料羅里,10,193,6,45,62,316,9,477
金湖鎮,瓊林里,19,321,8,167,141,656,27,985
金湖鎮,新湖里,25,348,16,104,211,704,28,1022
金湖鎮,溪湖里,15,157,5,62,85,324,11,466
金湖鎮,蓮庵里,2,121,8,89,91,311,8,442
金沙鎮,汶沙里,30,558,17,271,151,1027,35,1501
金沙鎮,三山里,11,216,6,40,82,355,11,540
金沙鎮,大洋里,12,120,2,26,75,235,7,368
金沙鎮,光前里,8,199,13,43,125,388,19,599
金沙鎮,何斗里,14,166,6,70,174,430,24,626
金沙鎮,西園里,8,136,9,53,82,288,15,451
金沙鎮,官嶼里,1,73,2,196,60,332,13,544
金沙鎮,浦山里,9,243,5,89,93,439,22,697
烈嶼鄉,上岐村,9,291,6,91,91,488,20,773
烈嶼鄉,上林村,1,141,2,18,71,233,11,377
烈嶼鄉,西口村,3,127,2,34,173,339,21,565
烈嶼鄉,林湖村,8,344,5,96,171,624,14,925
烈嶼鄉,黃埔村,6,113,6,38,91,254,2,397
烏坵鄉,大坵村,0,1,0,3,9,13,0,80
