,,1,2,3,4,,,
,,陳履安,李登輝*#,彭明敏,林洋港,,,
,,連署參選,中國國民黨,民主進步黨,連署參選,有效票,無效票,選舉人數
金城鎮,東門里,359,303,19,286,967,18,1363
金城鎮,南門里,199,235,13,158,605,7,859
金城鎮,南門里,219,226,22,213,680,4,934
金城鎮,西門里,244,308,19,224,795,12,1165
金城鎮,西門里,275,349,7,297,928,9,1290
金城鎮,北門里,294,284,15,280,873,7,1226
金城鎮,賢庵里,228,203,12,151,594,12,882
金城鎮,金水里,85,207,6,93,391,5,556
金城鎮,古城里,195,328,7,157,687,15,1025
金城鎮,珠沙里,52,158,4,98,312,7,472
金寧鄉,古寧村,60,506,6,49,621,7,967
金寧鄉,安美村,197,353,10,225,785,24,1174
金寧鄉,湖埔村,199,243,12,168,622,13,907
金寧鄉,榜林村,192,255,13,250,710,21,1125
金寧鄉,盤山村,186,239,8,153,586,13,853
金寧鄉,后盤村,81,101,1,74,257,8,414
金湖鎮,新市里,307,413,19,325,1064,11,1521
金湖鎮,山外里,219,264,10,249,742,15,1080
金湖鎮,溪湖里,90,147,6,84,327,8,467
金湖鎮,蓮庵里,54,172,7,85,318,6,451
金湖鎮,料羅里,61,168,3,91,323,3,478
金湖鎮,新湖里,283,224,11,212,730,11,1035
金湖鎮,正義里,192,239,11,89,531,12,725
金湖鎮,瓊林里,191,258,12,211,672,14,992
金沙鎮,汶沙里,369,349,18,309,1045,24,1514
金沙鎮,何斗里,182,177,11,75,445,12,632
金沙鎮,浦山里,103,180,6,158,447,14,706
金沙鎮,西園里,57,137,2,101,297,7,454
金沙鎮,官嶼里,80,165,8,80,333,13,554
金沙鎮,三山里,96,184,5,82,367,2,546
金沙鎮,大洋里,59,94,8,76,237,6,371
金沙鎮,光前里,129,144,7,123,403,6,603
烈嶼鄉,林湖村,83,218,4,322,627,13,928
烈嶼鄉,黃埔村,41,137,5,70,253,5,402
烈嶼鄉,西口村,46,126,7,164,343,17,568
烈嶼鄉,上林村,17,67,0,157,241,4,381
烈嶼鄉,上岐村,81,230,2,181,494,16,775
烏坵鄉,大坵村,0,10,0,3,13,0,81
