,,1,2,3,4,5,6,,,,,,,,,
,,翁天慶,李炷烽*,蔡是民,陳川青,陳昭南,許金象,,,,,,,,,
,,無,新黨,親民黨,無,民主進步黨,中國國民黨,有效票,無效票,選舉人數,,,,,,
金城鎮,東門里,10,628,365,27,112,98,1240,22,1893,,,,,,
金城鎮,西門里,10,1269,614,42,197,122,2254,38,3562,,,,,,
金城鎮,南門里,10,754,382,49,99,121,1415,16,2171,,,,,,
金城鎮,北門里,6,583,287,19,69,51,1015,11,1549,,,,,,
金城鎮,古城里,4,458,228,13,91,63,857,18,1298,,,,,,
金城鎮,金水里,4,198,139,6,47,52,446,8,664,,,,,,
金城鎮,珠沙里,2,236,105,7,51,35,436,7,721,,,,,,
金城鎮,賢庵里,5,407,185,18,48,107,770,17,1221,,,,,,
金寧鄉,古寧村,2,733,32,9,10,8,794,21,1227,,,,,,
金寧鄉,安美村,10,548,315,12,44,29,958,20,1514,,,,,,
金寧鄉,后盤村,2,209,75,3,8,13,310,8,518,,,,,,
金寧鄉,湖埔村,3,551,283,11,22,34,904,21,1350,,,,,,
金寧鄉,榜林村,9,504,208,10,29,189,949,26,1486,,,,,,
金寧鄉,盤山村,17,450,158,9,25,36,695,17,1191,,,,,,
金湖鎮,新市里,12,699,324,15,63,64,1177,17,1804,,,,,,
金湖鎮,山外里,13,424,254,21,98,49,859,13,1354,,,,,,
金湖鎮,正義里,18,205,211,11,109,32,586,29,866,,,,,,
金湖鎮,料羅里,39,225,87,5,12,14,382,10,610,,,,,,
金湖鎮,瓊林里,1,147,665,5,18,10,846,6,1194,,,,,,
金湖鎮,新湖里,24,539,359,13,70,36,1041,23,1586,,,,,,
金湖鎮,溪湖里,14,217,80,3,21,22,357,13,566,,,,,,
金湖鎮,蓮庵里,31,159,132,7,5,26,360,6,572,,,,,,
金沙鎮,汶沙里,6,782,281,9,67,62,1207,23,1964,,,,,,
金沙鎮,三山里,5,287,91,7,18,27,435,9,726,,,,,,
金沙鎮,大洋里,10,179,72,8,19,10,298,4,459,,,,,,
金沙鎮,光前里,1,249,153,11,58,21,493,4,804,,,,,,
金沙鎮,何斗里,7,252,152,10,38,26,485,14,772,,,,,,
金沙鎮,西園里,1,168,104,5,7,25,310,5,558,,,,,,
金沙鎮,官嶼里,2,221,162,10,8,32,435,9,723,,,,,,
金沙鎮,浦山里,8,372,121,15,21,20,557,19,862,,,,,,
烈嶼鄉,上岐村,2,463,94,19,13,9,600,21,987,,,,,,
烈嶼鄉,上林村,2,191,76,10,3,7,289,8,516,,,,,,
烈嶼鄉,西口村,2,177,191,7,10,18,405,14,747,,,,,,
烈嶼鄉,林湖村,6,486,139,17,41,26,715,19,1151,,,,,,
烈嶼鄉,黃埔村,1,168,82,5,10,7,273,10,523,,,,,,
烏坵鄉,大坵村,1,10,18,0,1,7,37,0,282,,,,,,
