,,1,2,3,4,,,
,,李成義,吳成典*,翁明志,陳清寶,,,
,,無黨團結聯盟,新黨,民主進步黨,無,有效票,無效票,選舉人數
金城鎮,東門里,109,305,36,59,509,11,1051
金城鎮,東門里,88,328,54,59,529,3,1157
金城鎮,南門里,91,284,33,97,505,8,1096
金城鎮,南門里,150,362,40,91,643,5,1434
金城鎮,西門里,122,284,40,100,546,7,1172
金城鎮,西門里,118,356,30,81,585,7,1292
金城鎮,西門里,168,526,44,107,845,9,1731
金城鎮,北門里,176,498,68,72,814,11,1778
金城鎮,賢庵里,164,313,37,144,658,10,1480
金城鎮,金水里,159,153,28,78,418,4,795
金城鎮,古城里,282,323,25,99,729,9,1467
金城鎮,珠沙里,99,259,27,55,440,4,943
金寧鄉,古寧村,280,324,31,20,655,13,1328
金寧鄉,安美村,204,425,47,195,871,17,1670
金寧鄉,湖埔村,163,437,45,146,791,13,1683
金寧鄉,榜林村,134,468,37,139,778,10,1718
金寧鄉,盤山村,96,311,176,71,654,8,1398
金寧鄉,后盤村,46,196,13,40,295,4,564
金湖鎮,新市里,188,250,24,45,507,6,972
金湖鎮,新市里,216,265,40,58,579,7,1151
金湖鎮,山外里,306,327,37,124,794,11,1572
金湖鎮,溪湖里,133,147,11,37,328,5,664
金湖鎮,蓮庵里,128,160,15,42,345,4,652
金湖鎮,料羅里,131,174,10,53,368,1,718
金湖鎮,新湖里,155,171,30,104,460,12,954
金湖鎮,新湖里,219,228,26,106,579,5,1144
金湖鎮,正義里,135,119,36,219,509,13,950
金湖鎮,瓊林里,238,292,26,95,651,8,1369
金沙鎮,汶沙里,115,253,22,71,461,3,1027
金沙鎮,汶沙里,126,313,31,111,581,5,1215
金沙鎮,何斗里,118,152,20,140,430,6,870
金沙鎮,浦山里,97,257,22,72,448,8,965
金沙鎮,西園里,102,149,7,59,317,1,646
金沙鎮,官嶼里,82,243,25,39,389,2,840
金沙鎮,三山里,73,216,11,99,399,2,834
金沙鎮,大洋里,84,173,13,26,296,3,499
金沙鎮,光前里,141,172,18,109,440,4,916
烈嶼鄉,林湖村,29,590,28,62,709,5,1350
烈嶼鄉,黃埔村,20,226,9,22,277,1,580
烈嶼鄉,西口村,18,313,20,45,396,2,838
烈嶼鄉,上林村,6,259,4,11,280,1,579
烈嶼鄉,上岐村,24,512,23,33,592,2,1125
烏坵鄉,大坵村,4,17,5,1,27,0,103
烏坵鄉,小坵村,7,7,5,0,19,0,159
