,,1,2,3,4,5,6,7,8,9,10,11,12,,,
,,台灣團結聯盟,建國黨,中國民眾黨,無黨團結聯盟,親民黨,新黨,農民黨,民主進步黨,公民黨,中國國民黨,張亞中等150人聯盟,王廷興等20人聯盟,,,
,,台灣團結聯盟,建國黨,中國民眾黨,無黨團結聯盟,親民黨,新黨,農民黨,民主進步黨,公民黨,中國國民黨,張亞中等150人聯盟,王廷興等20人聯盟,有效票,無效票數,選舉人數
金城鎮,東門里,5,1,10,2,43,33,0,24,2,137,3,0,260,0,1159
金城鎮,東門里,2,2,4,0,36,30,0,35,0,171,2,0,282,2,1219
金城鎮,南門里,0,0,5,1,70,25,0,22,2,132,2,0,259,3,1172
金城鎮,南門里,0,1,4,0,76,43,0,43,0,156,5,2,330,2,1502
金城鎮,西門里,4,0,3,2,52,16,0,15,1,203,4,0,300,1,1277
金城鎮,西門里,0,1,5,0,62,23,1,23,1,234,2,2,354,5,1404
金城鎮,西門里,11,1,6,2,62,75,0,18,2,282,3,1,463,10,1914
金城鎮,北門里,2,3,8,1,63,142,5,15,1,206,8,2,456,9,1964
金城鎮,賢庵里,2,1,4,1,54,28,3,21,1,257,3,2,377,6,1636
金城鎮,金水里,3,2,5,2,57,10,0,9,1,155,5,1,250,7,872
金城鎮,古城里,1,0,5,3,53,6,1,14,0,353,2,2,440,5,1546
金城鎮,珠沙里,1,0,6,1,46,20,3,20,5,147,4,0,253,2,1085
金寧鄉,古寧村,4,5,9,3,34,80,3,10,1,178,3,3,333,8,1442
金寧鄉,安美村,3,2,9,1,114,30,1,14,3,237,5,2,421,7,1786
金寧鄉,湖埔村,3,0,10,4,123,15,1,34,3,255,7,3,458,7,1927
金寧鄉,榜林村,9,8,7,0,60,12,1,8,4,317,5,3,434,10,1878
金寧鄉,盤山村,1,1,1,2,39,31,1,13,0,279,7,2,377,2,1553
金寧鄉,后盤村,1,2,2,0,31,7,2,9,1,130,2,1,188,2,637
金湖鎮,新市里,0,0,3,1,27,17,0,24,0,178,4,0,254,5,1025
金湖鎮,新市里,2,1,4,2,32,11,1,24,0,177,3,0,257,2,1280
金湖鎮,山外里,3,1,4,2,39,20,4,34,0,292,4,1,404,4,1735
金湖鎮,溪湖里,3,0,3,1,23,2,1,4,0,145,1,1,184,4,676
金湖鎮,蓮庵里,0,0,3,1,25,2,0,3,0,156,3,1,194,0,707
金湖鎮,料羅里,0,1,4,0,24,2,0,7,1,205,6,1,251,1,790
金湖鎮,新湖里,3,0,7,0,21,7,0,18,0,160,1,0,217,4,1064
金湖鎮,新湖里,10,0,1,1,44,11,0,61,0,187,6,0,321,2,1257
金湖鎮,正義里,6,0,3,0,41,9,2,21,2,216,6,1,307,5,1042
金湖鎮,瓊林里,1,2,5,2,253,16,1,16,1,140,5,4,446,5,1463
金沙鎮,汶沙里,1,0,5,0,22,11,1,8,2,191,2,1,244,3,1112
金沙鎮,汶沙里,3,1,7,0,40,9,0,8,1,249,3,0,321,7,1337
金沙鎮,何斗里,5,3,5,2,30,10,2,32,0,181,0,1,271,5,1008
金沙鎮,浦山里,2,4,4,2,32,15,2,15,4,175,3,1,259,5,1037
金沙鎮,西園里,3,3,4,0,25,6,0,5,3,148,0,0,197,0,712
金沙鎮,官嶼里,2,0,3,1,49,14,0,6,0,155,3,0,233,2,908
金沙鎮,三山里,5,0,6,2,20,23,3,9,3,229,2,1,303,0,877
金沙鎮,大洋里,3,1,3,0,30,3,0,4,0,140,1,0,185,0,536
金沙鎮,光前里,0,2,2,0,38,3,1,12,0,216,3,0,277,9,1011
烈嶼鄉,林湖村,2,4,4,1,62,28,0,23,0,332,3,0,459,7,1455
烈嶼鄉,黃埔村,1,1,4,0,56,7,2,6,2,127,2,0,208,3,608
烈嶼鄉,西口村,0,1,4,0,26,12,2,4,3,195,3,1,251,0,902
烈嶼鄉,上林村,3,1,1,0,40,4,0,25,1,104,2,1,182,0,606
烈嶼鄉,上岐村,5,1,3,0,33,17,2,12,3,244,3,1,324,9,1175
烏坵鄉,大坵村,2,0,1,0,1,1,0,3,1,15,0,0,24,0,117
烏坵鄉,小坵村,0,0,0,0,2,0,0,6,0,3,1,0,12,0,159
