,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,,,
18,,蔡群生,謝宜璋*#,唐麗輝,李麗貌*,陳永財,董東漢#,陳曉芸,鄭秀容,莊良時*#,王再生*#,李沃士*#,許建中*,楊永立*,許華玉*#,洪成發*#,李錫材,洪允典*#,吳增允,蔡水游*#,許玉昭*#,張雲德,李誠智*,楊應雄*#,劉立中,周子傑,顏炳洳,陳玉珍*#,林長耕*,洪麗萍*#,許燕道*,,,
,,中國國民黨,無,民主進步黨,中國國民黨,中國國民黨,親民黨,無,無,中國國民黨,中國國民黨,新黨,中國國民黨,中國國民黨,中國國民黨,中國國民黨,無,無,民主進步黨,無,中國國民黨,中國國民黨,無,新黨,無,中國國民黨,無,無,中國國民黨,中國國民黨,無,有效票數,無效票數,選舉人數
金城鎮,東門里,13,50,9,19,6,29,45,0,23,41,28,29,50,13,21,3,35,14,16,23,9,14,22,0,17,5,35,35,22,132,758,12,1209
金城鎮,東門里,16,20,12,28,10,11,42,1,14,45,41,38,32,28,24,2,24,34,33,29,11,35,32,0,14,12,30,18,35,107,778,9,1236
金城鎮,南門里,3,32,10,30,9,10,50,0,15,47,28,34,13,48,17,4,29,11,19,39,15,66,22,0,21,14,35,15,24,46,706,20,1198
金城鎮,南門里,13,26,30,57,5,50,65,5,38,40,44,42,32,51,28,0,37,21,23,32,20,54,30,0,27,10,59,21,25,60,945,10,1555
金城鎮,西門里,9,28,22,32,7,33,48,0,18,51,32,36,71,27,30,2,22,17,31,27,18,50,24,1,22,12,32,11,34,61,808,11,1293
金城鎮,西門里,12,18,17,37,10,26,58,0,35,62,62,28,37,32,25,5,38,13,20,51,5,33,37,1,22,14,47,24,28,30,827,17,1439
金城鎮,西門里,9,24,6,23,4,47,20,0,22,52,54,38,35,36,21,2,30,19,17,22,9,18,24,0,26,9,32,13,21,17,650,8,1085
金城鎮,西門里,16,26,13,24,6,24,29,0,27,37,47,20,33,27,20,0,24,8,13,41,6,28,35,0,12,4,20,9,13,34,596,13,905
金城鎮,北門里,14,30,5,15,5,25,71,0,17,20,28,21,31,17,17,6,39,16,17,34,12,21,16,1,7,4,19,24,4,35,571,6,989
金城鎮,北門里,10,23,10,19,4,28,53,1,18,22,40,30,19,27,15,3,31,18,30,28,9,19,38,0,24,9,17,17,35,48,645,9,1035
金城鎮,賢庵里,20,27,17,47,8,64,55,0,31,38,46,39,56,127,28,5,13,22,42,51,16,75,25,1,44,40,32,16,34,42,1061,27,1709
金城鎮,金水里,8,13,5,12,4,4,31,0,3,15,11,11,55,188,11,1,16,7,45,29,19,15,3,0,5,1,24,4,14,28,582,6,891
金城鎮,古城里,9,62,3,27,9,192,40,0,8,66,36,23,64,79,40,2,13,8,49,52,26,46,10,0,28,1,55,25,10,32,1015,9,1598
金城鎮,珠沙里,9,31,5,17,3,27,80,0,15,13,26,17,49,24,17,1,15,18,26,15,12,29,21,0,7,5,30,26,16,52,606,11,1113
金寧鄉,古寧村,3,32,4,14,1,3,11,0,27,12,357,23,24,20,8,27,11,11,5,34,6,142,16,3,19,1,24,6,7,23,874,13,1435
金寧鄉,安美村,11,24,6,34,5,12,32,0,65,58,38,31,41,23,25,2,34,7,21,36,10,52,24,0,14,3,25,19,9,34,695,21,1060
金寧鄉,安美村,4,27,1,39,3,17,13,0,35,3,15,28,31,11,1,4,10,0,49,16,9,72,31,0,12,2,23,41,6,6,509,12,770
金寧鄉,湖埔村,4,8,1,7,2,7,21,0,12,13,12,13,375,7,6,0,1,2,9,28,4,8,5,0,11,3,11,11,5,14,600,8,952
金寧鄉,湖埔村,20,21,7,21,5,18,20,1,19,29,36,24,54,26,29,10,12,17,18,26,9,65,34,0,28,11,38,14,5,46,663,9,1038
金寧鄉,榜林村,6,12,7,27,4,8,25,0,19,43,42,27,51,22,12,1,9,15,28,161,18,29,14,0,26,10,39,23,16,32,726,28,1160
金寧鄉,榜林村,4,6,3,18,1,5,12,1,24,4,10,182,14,14,9,1,6,10,11,45,3,9,5,0,13,1,18,24,2,3,458,5,764
金寧鄉,盤山村,18,21,12,33,16,37,9,0,48,45,47,37,40,26,29,13,95,6,17,52,14,49,45,2,65,2,67,20,9,64,938,15,1582
金寧鄉,后盤村,4,7,4,4,6,15,16,0,14,50,34,24,23,46,5,1,3,0,5,29,2,5,10,0,9,0,11,9,5,28,369,10,633
金湖鎮,新市里,14,22,17,30,32,31,7,2,48,44,37,9,26,19,15,0,19,11,19,23,11,39,26,0,55,15,45,22,22,14,674,15,1062
金湖鎮,新市里,26,43,10,50,36,33,9,3,56,41,40,28,32,12,14,3,30,14,17,65,20,29,13,1,51,11,37,26,29,28,807,9,1318
金湖鎮,山外里,5,18,10,21,6,11,13,0,39,19,29,5,16,2,3,0,6,7,30,12,21,29,18,0,66,2,22,19,13,19,461,11,759
金湖鎮,山外里,11,21,5,27,31,43,6,1,37,22,43,14,21,15,4,1,20,11,39,29,26,29,22,0,38,4,38,23,25,9,615,11,1041
金湖鎮,溪湖里,7,20,32,19,20,14,18,0,21,23,24,10,12,9,1,1,2,2,34,17,13,10,24,1,36,3,21,7,17,14,432,12,692
金湖鎮,蓮庵里,13,23,15,20,27,11,6,1,19,27,16,6,27,4,11,1,4,5,38,38,32,2,13,1,26,0,18,7,9,10,430,7,719
金湖鎮,料羅里,7,136,11,35,15,5,2,0,27,51,24,12,13,6,6,3,9,3,12,16,11,4,31,0,17,1,16,8,16,9,506,6,816
金湖鎮,新湖里,14,65,10,40,28,35,13,0,54,45,22,30,33,22,4,1,19,11,30,34,27,34,14,1,28,4,33,31,53,11,746,17,1115
金湖鎮,新湖里,26,40,34,29,28,40,3,2,87,42,21,12,52,22,22,2,21,16,27,41,29,40,24,0,32,12,37,42,31,24,838,8,1311
金湖鎮,正義里,17,59,4,31,51,26,11,3,40,34,20,26,44,33,4,3,8,10,34,37,2,37,15,2,27,5,52,27,12,30,704,22,1096
金湖鎮,瓊林里,181,35,7,30,13,13,10,4,37,32,27,12,16,21,8,1,29,7,193,44,16,26,23,0,14,7,16,26,14,27,889,20,1484
金沙鎮,汶沙里,13,19,15,44,4,8,2,3,28,81,24,19,17,11,14,0,7,6,49,36,128,22,71,0,31,4,16,21,13,23,729,9,1142
金沙鎮,汶沙里,27,32,17,98,5,23,8,16,42,43,33,32,35,29,20,2,11,11,40,41,93,23,77,2,26,1,35,19,25,12,878,10,1376
金沙鎮,何斗里,10,47,5,42,9,19,5,1,22,51,14,56,23,9,8,0,9,7,56,25,29,38,37,0,9,1,32,28,20,12,624,14,1091
金沙鎮,浦山里,15,32,3,38,9,29,6,1,17,21,51,15,18,14,13,3,16,9,29,30,39,51,39,2,65,3,27,28,23,20,666,20,1068
金沙鎮,西園里,7,6,2,36,0,7,11,6,28,29,20,12,18,18,11,0,4,4,45,25,17,6,35,0,23,0,38,8,3,9,428,13,727
金沙鎮,官嶼里,5,20,3,131,2,4,6,1,15,14,16,27,5,11,15,0,3,2,34,26,24,20,92,0,17,1,18,14,6,8,540,9,933
金沙鎮,三山里,8,35,6,39,7,12,2,0,19,33,67,11,13,5,4,3,3,3,18,44,30,37,31,0,30,2,30,16,8,26,542,10,892
金沙鎮,大洋里,3,21,38,35,4,18,4,3,7,20,12,8,13,14,3,1,3,7,15,21,9,4,5,0,9,2,23,10,7,9,328,4,530
金沙鎮,光前里,17,53,6,122,5,18,3,5,18,42,34,50,13,19,15,1,4,9,42,39,17,23,21,0,10,1,45,17,6,12,667,9,1044
烈嶼鄉,林湖村,3,24,6,21,3,6,8,2,27,3,4,2,8,17,145,2,134,4,7,17,6,11,14,0,18,2,18,272,150,23,957,18,1476
烈嶼鄉,黃埔村,0,13,1,3,0,0,3,0,3,2,3,3,0,1,233,1,14,0,3,3,1,2,5,0,20,0,0,25,33,3,375,9,619
烈嶼鄉,西口村,6,12,0,7,1,1,3,0,17,7,4,1,3,0,133,1,86,6,3,10,0,11,9,0,5,1,0,86,66,14,493,28,923
烈嶼鄉,上林村,3,9,0,7,0,1,0,0,7,1,1,0,2,0,76,2,83,2,2,4,4,2,4,0,7,0,2,69,45,14,347,5,606
烈嶼鄉,上岐村,1,25,3,13,5,2,2,0,11,6,7,3,6,4,150,1,247,2,7,10,1,4,13,0,1,0,8,72,87,4,695,17,1179
烏坵鄉,大坵村,2,0,1,4,1,0,0,1,57,0,1,12,0,1,1,1,0,0,0,52,0,0,3,0,0,0,5,3,5,1,151,3,181
烏坵鄉,小坵村,4,1,1,1,0,6,10,0,21,0,0,3,0,0,0,0,0,1,2,68,10,1,1,0,2,1,2,0,19,6,160,1,190
