,,1,2,3,,,
,,陳福海,陳平,李炷烽*,,,
,,無,無,新黨,有效票,無效票,選舉人數
金城鎮,東門里,301,25,433,759,12,1209
金城鎮,東門里,305,23,447,775,12,1236
金城鎮,南門里,264,33,408,705,21,1198
金城鎮,南門里,362,23,550,935,20,1555
金城鎮,西門里,306,23,477,806,13,1293
金城鎮,西門里,322,33,472,827,17,1439
金城鎮,西門里,203,9,435,647,11,1085
金城鎮,西門里,220,13,360,593,16,905
金城鎮,北門里,218,8,338,564,13,989
金城鎮,北門里,234,20,381,635,19,1035
金城鎮,賢庵里,476,32,546,1054,34,1709
金城鎮,金水里,238,14,326,578,10,891
金城鎮,古城里,435,24,546,1005,19,1598
金城鎮,珠沙里,222,17,363,602,15,1113
金寧鄉,古寧村,71,8,783,862,25,1435
金寧鄉,安美村,255,19,420,694,22,1060
金寧鄉,安美村,242,9,261,512,9,770
金寧鄉,湖埔村,133,16,446,595,13,952
金寧鄉,湖埔村,313,19,326,658,14,1038
金寧鄉,榜林村,292,24,410,726,28,1160
金寧鄉,榜林村,200,10,249,459,4,764
金寧鄉,盤山村,384,26,525,935,18,1582
金寧鄉,后盤村,147,2,220,369,10,633
金湖鎮,新市里,338,7,328,673,16,1062
金湖鎮,新市里,419,15,370,804,12,1318
金湖鎮,山外里,270,7,183,460,12,759
金湖鎮,山外里,385,14,214,613,13,1041
金湖鎮,溪湖里,272,9,152,433,11,692
金湖鎮,蓮庵里,300,5,127,432,5,719
金湖鎮,料羅里,293,8,206,507,5,816
金湖鎮,新湖里,557,12,186,755,8,1115
金湖鎮,新湖里,541,15,279,835,11,1311
金湖鎮,正義里,498,18,190,706,20,1096
金湖鎮,瓊林里,537,11,339,887,22,1484
金沙鎮,汶沙里,318,16,391,725,13,1142
金沙鎮,汶沙里,351,18,510,879,9,1376
金沙鎮,何斗里,423,12,189,624,14,1091
金沙鎮,浦山里,250,13,412,675,11,1068
金沙鎮,西園里,201,5,226,432,9,727
金沙鎮,官嶼里,204,4,336,544,5,933
金沙鎮,三山里,204,7,331,542,10,892
金沙鎮,大洋里,156,7,169,332,0,530
金沙鎮,光前里,374,14,282,670,6,1044
烈嶼鄉,林湖村,277,15,651,943,32,1476
烈嶼鄉,黃埔村,124,3,245,372,12,619
烈嶼鄉,西口村,173,3,325,501,20,923
烈嶼鄉,上林村,84,4,258,346,6,606
烈嶼鄉,上岐村,122,3,562,687,25,1179
烏坵鄉,大坵村,32,4,114,150,4,181
烏坵鄉,小坵村,95,3,61,159,2,190
