,,1,2,3,4,5,6,7,8,9,10,11,12,,,
,,公民黨,制憲聯盟,台灣團結聯盟,第三社會黨,民主進步黨,新黨,綠黨,台灣農民黨,無黨團結聯盟,中國國民黨,紅黨,客家黨,,,
,,公民黨,制憲聯盟,台灣團結聯盟,第三社會黨,民主進步黨,新黨,綠黨,台灣農民黨,無黨團結聯盟,中國國民黨,紅黨,客家黨,有效票,無效票數,選舉人數
金城鎮,東門里,3,0,8,2,41,38,2,3,6,463,8,1,575,22,1481
金城鎮,東門里,8,4,2,1,41,68,1,2,4,519,8,1,659,25,1585
金城鎮,南門里,4,2,3,4,27,47,4,6,9,464,12,2,584,25,1426
金城鎮,南門里,5,3,3,1,41,66,2,5,6,590,5,4,731,23,1961
金城鎮,西門里,3,4,7,4,19,51,2,11,3,459,8,2,573,26,1590
金城鎮,西門里,3,4,9,1,23,56,3,5,6,581,18,2,711,25,1802
金城鎮,西門里,2,1,3,1,20,35,4,0,5,463,8,0,542,14,1326
金城鎮,西門里,0,1,5,0,26,45,1,1,2,456,8,0,545,8,1225
金城鎮,北門里,1,0,2,0,17,37,0,0,1,366,12,2,438,18,1174
金城鎮,北門里,1,1,8,1,24,46,4,2,8,459,6,2,562,18,1531
金城鎮,賢庵里,12,4,8,3,37,39,5,2,6,704,8,2,830,50,2216
金城鎮,金水里,4,2,1,3,11,26,2,1,2,367,8,1,428,27,1137
金城鎮,古城里,14,7,10,1,14,35,0,1,9,655,4,3,753,44,1943
金城鎮,珠沙里,1,1,7,2,26,33,1,0,2,401,12,0,486,12,1494
金寧鄉,古寧村,3,16,4,2,22,36,4,3,7,584,9,0,690,74,1690
金寧鄉,安美村,9,2,0,1,20,18,4,4,4,461,7,3,533,30,1298
金寧鄉,安美村,9,5,4,1,14,10,0,5,1,378,5,2,434,32,939
金寧鄉,湖埔村,6,4,3,2,18,22,2,0,4,381,1,2,445,24,1149
金寧鄉,湖埔村,3,1,2,1,26,23,3,2,4,526,3,2,596,22,1402
金寧鄉,榜林村,9,2,3,0,30,35,2,7,8,474,6,6,582,33,1478
金寧鄉,榜林村,1,1,1,1,8,11,0,1,6,327,5,1,363,7,953
金寧鄉,盤山村,7,5,8,2,45,41,1,6,3,665,9,2,794,28,2150
金寧鄉,后盤村,2,2,3,1,10,14,2,0,5,281,4,1,325,17,774
金湖鎮,新市里,5,1,10,2,32,41,2,0,7,530,13,1,644,21,1564
金湖鎮,新市里,3,3,5,2,28,28,0,6,8,509,8,3,603,25,1423
金湖鎮,山外里,4,1,1,2,22,13,0,3,4,380,8,0,438,18,1003
金湖鎮,山外里,1,0,2,2,30,28,0,2,4,411,4,1,485,11,1161
金湖鎮,溪湖里,4,4,3,2,12,16,3,3,4,325,5,1,382,23,889
金湖鎮,蓮庵里,6,1,1,1,6,19,0,5,1,331,4,0,375,14,904
金湖鎮,料羅里,4,2,0,2,8,22,1,0,4,371,13,2,429,12,1035
金湖鎮,新湖里,9,1,5,2,43,25,1,1,13,617,4,0,721,49,1673
金湖鎮,新湖里,2,0,6,3,31,62,1,1,6,600,12,0,724,23,1719
金湖鎮,正義里,11,4,4,2,35,17,1,4,4,504,5,2,593,39,1367
金湖鎮,瓊林里,6,0,3,0,5,26,0,1,6,332,3,0,382,17,980
金湖鎮,瓊林里,4,3,1,2,13,28,1,0,3,284,2,1,342,17,805
金沙鎮,汶沙里,3,1,5,0,23,27,6,0,4,505,9,1,584,26,1319
金沙鎮,汶沙里,6,4,13,2,16,25,3,5,6,593,4,4,681,32,1723
金沙鎮,何斗里,14,2,2,1,19,20,1,3,3,418,2,0,485,31,1176
金沙鎮,浦山里,9,4,2,0,11,21,3,3,5,454,5,0,517,41,1228
金沙鎮,西園里,5,3,2,1,9,14,1,1,3,301,2,0,342,17,871
金沙鎮,官嶼里,2,1,8,2,13,14,1,4,2,382,6,1,436,15,1175
金沙鎮,三山里,1,7,0,2,8,18,0,2,4,402,11,0,455,24,1070
金沙鎮,大洋里,1,2,4,0,8,12,0,0,1,275,3,1,307,16,627
金沙鎮,光前里,4,3,5,0,21,27,0,1,9,468,12,0,550,11,1286
烈嶼鄉,林湖村,5,0,2,2,16,35,2,12,6,639,4,1,724,25,1817
烈嶼鄉,黃埔村,0,0,0,0,6,7,0,1,2,259,0,1,276,9,750
烈嶼鄉,西口村,4,1,1,0,6,18,0,1,0,391,2,1,425,19,1164
烈嶼鄉,上林村,0,0,1,0,4,9,1,1,0,258,2,0,276,9,716
烈嶼鄉,上岐村,1,0,2,0,10,21,0,3,4,537,8,3,589,23,1468
烏坵鄉,大坵村,0,0,0,0,1,0,0,0,1,17,0,0,19,0,160
烏坵鄉,小坵村,0,0,1,0,1,2,0,0,0,11,1,0,16,0,176
