,,1,2,3,4,5,6,,,
,,陳福海*,李沃士,高絃騰,胡偉生,唐惠霈,吳成典,,,
,,無,無,公民黨,無,民主進步黨,中國國民黨,有效票,無效票,選舉人數
金城鎮,東門里,226,96,1,29,16,212,580,10,1441
金城鎮,東門里,233,115,1,36,18,266,669,11,1537
金城鎮,南門里,161,126,2,28,21,255,593,15,1409
金城鎮,南門里,220,159,1,49,11,296,736,11,1907
金城鎮,西門里,141,109,1,42,14,277,584,9,1540
金城鎮,西門里,182,163,1,34,12,331,723,11,1759
金城鎮,西門里,152,90,0,19,24,262,547,4,1300
金城鎮,西門里,134,124,0,33,13,241,545,6,1190
金城鎮,北門里,95,96,0,23,12,225,451,4,1137
金城鎮,北門里,177,93,0,32,10,256,568,10,1490
金城鎮,賢庵里,319,179,2,43,13,295,851,25,2167
金城鎮,金水里,154,91,1,34,5,162,447,6,1116
金城鎮,古城里,259,207,4,33,15,251,769,23,1899
金城鎮,珠沙里,123,91,1,28,6,241,490,7,1447
金寧鄉,古寧村,45,539,1,5,8,154,752,12,1656
金寧鄉,安美村,193,165,1,27,5,163,554,5,1273
金寧鄉,安美村,205,81,0,15,4,147,452,14,924
金寧鄉,湖埔村,135,180,2,10,8,124,459,9,1117
金寧鄉,湖埔村,253,123,1,27,11,188,603,10,1376
金寧鄉,榜林村,202,112,2,30,11,239,596,16,1443
金寧鄉,榜林村,112,80,1,8,5,157,363,6,926
金寧鄉,盤山村,237,162,1,31,36,319,786,18,2055
金寧鄉,后盤村,79,99,1,7,4,145,335,4,760
金湖鎮,新市里,290,140,0,39,15,165,649,11,1519
金湖鎮,新市里,298,119,1,24,15,164,621,7,1386
金湖鎮,山外里,245,83,0,23,11,91,453,5,984
金湖鎮,山外里,281,67,0,23,9,113,493,2,1132
金湖鎮,溪湖里,203,75,1,57,3,54,393,9,866
金湖鎮,蓮庵里,234,44,1,7,1,97,384,4,883
金湖鎮,料羅里,189,92,0,14,3,135,433,5,1009
金湖鎮,新湖里,572,35,0,19,11,111,748,9,1641
金湖鎮,新湖里,406,105,0,27,5,181,724,7,1673
金湖鎮,正義里,394,88,1,27,6,98,614,11,1342
金湖鎮,瓊林里,192,84,0,17,3,96,392,6,963
金湖鎮,瓊林里,167,53,0,13,6,111,350,8,792
金沙鎮,汶沙里,230,132,1,16,7,212,598,8,1288
金沙鎮,汶沙里,324,137,1,21,9,206,698,10,1687
金沙鎮,何斗里,349,58,2,14,5,76,504,11,1153
金沙鎮,浦山里,276,97,4,6,3,155,541,13,1211
金沙鎮,西園里,162,72,0,9,4,105,352,6,848
金沙鎮,官嶼里,169,119,0,20,3,129,440,9,1152
金沙鎮,三山里,180,171,0,6,2,115,474,5,1054
金沙鎮,大洋里,147,37,0,9,2,131,326,2,616
金沙鎮,光前里,353,94,1,13,9,95,565,4,1258
烈嶼鄉,林湖村,67,25,1,23,5,606,727,17,1787
烈嶼鄉,黃埔村,19,9,0,1,2,248,279,6,721
烈嶼鄉,西口村,67,16,0,4,1,350,438,7,1139
烈嶼鄉,上林村,15,7,0,5,5,252,284,1,711
烈嶼鄉,上岐村,34,30,0,8,4,520,596,14,1438
烏坵鄉,大坵村,5,2,0,1,0,11,19,0,158
烏坵鄉,小坵村,7,3,0,1,0,5,16,0,171
