,,1,2,3,4,5,6,7,,,
,,梁國棟,翁天慶,楊榮祥,吳成典,李沃士,陳水在,許敬民,,,
,,無,無,無,無,中國國民黨,無,無,有效票,無效票,選舉人數
金城鎮,東門里,3,2,15,266,261,287,8,842,22,1619
金城鎮,東門里,3,1,25,327,288,333,13,990,19,1797
金城鎮,南門里,2,11,20,209,285,314,14,855,20,1601
金城鎮,南門里,1,1,7,148,144,154,6,461,8,985
金城鎮,南門里,1,2,5,175,220,219,3,625,12,1111
金城鎮,西門里,7,2,7,273,300,287,4,880,13,1695
金城鎮,西門里,1,2,17,305,361,347,4,1037,19,2006
金城鎮,西門里,7,0,8,235,280,243,2,775,13,1424
金城鎮,西門里,2,2,9,240,284,263,6,806,18,1470
金城鎮,北門里,0,1,6,237,214,211,2,671,10,1274
金城鎮,北門里,5,4,6,279,239,282,6,821,13,1611
金城鎮,賢庵里,4,4,6,241,260,180,1,696,17,1436
金城鎮,賢庵里,1,1,4,181,187,195,5,574,18,1076
金城鎮,金水里,4,2,12,178,241,204,3,644,19,1263
金城鎮,古城里,3,3,4,69,264,128,0,471,7,889
金城鎮,古城里,5,5,8,143,282,295,6,744,6,1339
金城鎮,珠沙里,6,7,7,275,276,214,9,794,20,1684
金寧鄉,古寧村,3,3,3,71,862,59,0,1001,15,1905
金寧鄉,安美村,12,2,11,206,338,200,8,777,11,1430
金寧鄉,安美村,4,8,7,165,166,231,3,584,14,1025
金寧鄉,湖埔村,6,1,42,124,291,176,8,648,11,1249
金寧鄉,湖埔村,4,2,12,209,266,409,6,908,14,1684
金寧鄉,榜林村,5,8,13,221,342,280,7,876,17,1685
金寧鄉,榜林村,4,0,1,138,188,174,3,508,3,1015
金寧鄉,盤山村,1,19,1,187,327,207,3,745,18,1453
金寧鄉,盤山村,0,4,13,144,247,174,9,591,16,1180
金寧鄉,后盤村,1,2,3,148,195,91,2,442,9,899
金湖鎮,新市里,14,4,3,176,398,187,5,787,17,1580
金湖鎮,新市里,5,3,1,181,350,260,6,806,13,1554
金湖鎮,山外里,6,7,2,124,235,196,6,576,8,1071
金湖鎮,山外里,3,8,1,116,204,277,3,612,7,1226
金湖鎮,溪湖里,2,7,3,52,262,148,2,476,8,944
金湖鎮,蓮庵里,3,12,3,97,230,129,2,476,5,987
金湖鎮,料羅里,3,21,2,142,253,143,7,571,8,1143
金湖鎮,新湖里,4,7,4,204,285,432,5,941,20,1872
金湖鎮,新湖里,8,6,7,251,424,325,8,1029,24,2018
金湖鎮,正義里,6,7,8,129,264,402,3,819,32,1549
金湖鎮,瓊林里,2,2,3,106,251,200,3,567,13,1117
金湖鎮,瓊林里,7,2,2,77,226,123,1,438,9,851
金沙鎮,汶沙里,3,5,2,200,388,184,5,787,20,1464
金沙鎮,汶沙里,12,2,6,234,454,270,9,987,15,1860
金沙鎮,何斗里,2,2,4,131,155,368,6,668,10,1274
金沙鎮,浦山里,4,6,7,270,349,129,1,766,14,1387
金沙鎮,西園里,4,3,1,114,188,143,1,454,6,985
金沙鎮,官嶼里,7,3,8,128,358,171,4,679,16,1344
金沙鎮,三山里,28,1,0,114,349,104,2,598,15,1172
金沙鎮,大洋里,1,1,2,189,103,107,2,405,4,711
金沙鎮,光前里,6,2,6,141,352,272,6,785,17,1440
烈嶼鄉,林湖村,5,6,1,850,138,260,3,1263,18,2089
烈嶼鄉,黃埔村,2,2,1,360,103,89,1,558,7,873
烈嶼鄉,西口村,4,4,1,482,112,142,1,746,11,1334
烈嶼鄉,上林村,4,1,1,389,37,40,1,473,10,836
烈嶼鄉,上岐村,1,3,1,817,108,80,0,1010,18,1684
烏坵鄉,大坵村,3,3,1,5,53,48,0,113,1,157
烏坵鄉,小坵村,1,2,3,28,32,56,2,124,3,182
