,,1,2,3,4,5,,,
,,陳福海,吳成典,許乃權,高絃騰,楊應雄*,,,
,,親民黨,新黨,無,健保免費連線,中國國民黨,有效票,無效票,選舉人數
金城鎮,東門里,291,263,48,5,223,830,28,1742
金城鎮,東門里,258,332,91,6,290,977,22,1959
金城鎮,南門里,211,216,184,9,232,852,18,1743
金城鎮,南門里,111,132,70,2,160,475,10,1031
金城鎮,南門里,177,170,113,2,182,644,13,1250
金城鎮,西門里,225,281,107,3,251,867,35,1855
金城鎮,西門里,241,336,93,9,352,1031,32,2226
金城鎮,西門里,156,248,53,3,288,748,15,1515
金城鎮,西門里,208,302,70,2,272,854,25,1640
金城鎮,北門里,149,257,43,5,228,682,24,1389
金城鎮,北門里,199,302,48,3,283,835,31,1784
金城鎮,賢庵里,235,204,69,9,220,737,19,1628
金城鎮,賢庵里,264,124,63,3,137,591,17,1278
金城鎮,金水里,197,176,37,1,207,618,23,1445
金城鎮,古城里,120,99,32,5,219,475,13,987
金城鎮,古城里,294,137,23,5,208,667,15,1474
金城鎮,珠沙里,166,269,49,8,268,760,26,1865
金寧鄉,古寧村,62,175,11,2,247,497,16,1141
金寧鄉,古寧村,78,174,18,1,185,456,17,1082
金寧鄉,安美村,209,195,44,5,224,677,19,1583
金寧鄉,安美村,163,136,27,0,233,559,12,1167
金寧鄉,湖埔村,133,80,19,2,389,623,24,1431
金寧鄉,湖埔村,255,257,86,7,355,960,24,1943
金寧鄉,榜林村,244,252,64,5,293,858,21,1929
金寧鄉,榜林村,93,128,102,1,155,479,8,1140
金寧鄉,盤山村,172,233,35,8,320,768,26,1633
金寧鄉,盤山村,198,286,75,22,353,934,41,1829
金寧鄉,后盤村,95,185,36,3,120,439,9,1025
金湖鎮,新市里,359,225,19,6,252,861,20,1697
金湖鎮,新市里,348,201,17,3,257,826,30,1689
金湖鎮,山外里,246,146,18,7,124,541,17,1146
金湖鎮,山外里,325,128,21,5,126,605,11,1291
金湖鎮,溪湖里,187,79,9,4,188,467,13,1024
金湖鎮,蓮庵里,192,128,17,0,189,526,17,1150
金湖鎮,料羅里,211,136,12,3,215,577,12,1256
金湖鎮,新湖里,409,138,14,4,149,714,12,1548
金湖鎮,新湖里,325,166,20,6,184,701,14,1420
金湖鎮,新湖里,510,152,20,8,147,837,18,1693
金湖鎮,正義里,453,115,32,8,222,830,28,1720
金湖鎮,瓊林里,143,111,22,2,237,515,14,1126
金湖鎮,瓊林里,197,125,17,1,209,549,9,1109
金沙鎮,汶沙里,186,154,17,4,268,629,11,1374
金沙鎮,汶沙里,190,117,19,1,230,557,17,1224
金沙鎮,汶沙里,163,99,13,3,258,536,11,1129
金沙鎮,何斗里,367,93,24,1,157,642,12,1393
金沙鎮,浦山里,424,165,17,1,161,768,30,1599
金沙鎮,西園里,152,127,10,5,171,465,11,1075
金沙鎮,官嶼里,164,90,25,3,389,671,12,1525
金沙鎮,三山里,215,112,30,2,226,585,17,1354
金沙鎮,大洋里,127,178,7,3,77,392,6,802
金沙鎮,光前里,371,107,26,2,225,731,26,1574
烈嶼鄉,林湖村,103,268,20,2,126,519,7,1051
烈嶼鄉,林湖村,112,277,7,3,133,532,4,1244
烈嶼鄉,黃埔村,65,143,16,1,178,403,11,1001
烈嶼鄉,西口村,116,263,39,0,154,572,14,1570
烈嶼鄉,上林村,107,225,12,2,67,413,8,1015
烈嶼鄉,上岐村,134,454,26,2,158,774,27,1878
烏坵鄉,大坵村,8,4,4,0,35,51,3,179
烏坵鄉,小坵村,15,3,0,0,29,47,2,213
