,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,,,
10,,許玉昭*#,許建中#,陳滄江*#,楊萬山*,林孫全*#,李誠智*#,李錫添,許華玉*#,黃璋,楊永立*#,陳衍利,歐陽儀雄*#,翁銘駿,許志猛,廖進入,王碧珍,洪允典,石永城*#,唐麗輝*#,,,
,,中國國民黨,中國國民黨,民主進步黨,中國國民黨,中國國民黨,中國國民黨,中國國民黨,中國國民黨,無,中國國民黨,中國國民黨,中國國民黨,中國國民黨,無,中國國民黨,無,中國國民黨,無,無,有效票,無效票,選舉人數
金城鎮,東門里,65,42,43,75,56,27,42,48,3,140,20,44,15,98,4,52,47,88,71,980,22,2096
金城鎮,東門里,91,83,47,58,43,52,38,79,7,76,19,87,20,66,7,97,65,94,106,1135,30,2410
金城鎮,南門里,52,59,34,12,33,74,20,69,3,23,12,51,13,13,4,46,34,60,90,702,17,1582
金城鎮,南門里,45,44,39,34,23,24,17,63,3,22,9,62,11,30,4,41,42,90,66,669,12,1571
金城鎮,南門里,44,46,39,24,56,48,18,110,3,35,12,110,11,38,4,31,72,61,92,854,12,1664
金城鎮,西門里,73,49,56,42,50,46,33,105,1,57,17,74,8,57,7,48,83,94,118,1018,31,2233
金城鎮,西門里,69,25,61,61,58,76,40,90,5,56,23,63,13,25,9,64,98,70,110,1016,31,2376
金城鎮,西門里,53,56,58,61,59,40,23,93,0,63,23,72,19,14,9,44,74,96,80,937,19,2030
金城鎮,西門里,77,50,57,78,62,64,50,92,3,35,19,67,13,38,4,67,70,83,70,999,23,2092
金城鎮,北門里,41,36,45,51,57,36,45,65,7,77,10,53,12,15,17,53,76,85,53,834,15,1865
金城鎮,北門里,36,49,50,49,35,34,43,62,2,25,17,44,26,32,8,45,41,88,60,746,16,1895
金城鎮,賢庵里,71,21,54,49,63,80,23,168,1,42,17,29,15,29,5,44,34,103,79,927,22,2157
金城鎮,賢庵里,40,23,58,61,124,48,21,98,6,16,14,17,8,17,5,40,21,45,39,701,30,1678
金城鎮,金水里,77,37,27,26,87,24,39,238,1,41,4,34,5,51,3,16,28,32,46,816,28,1743
金城鎮,古城里,40,42,28,23,80,53,18,9,0,9,14,19,4,9,1,13,23,130,24,539,12,1196
金城鎮,古城里,29,25,28,13,159,29,27,78,2,30,12,14,6,20,20,39,41,275,42,889,18,1938
金城鎮,珠沙里,62,38,54,65,126,26,29,55,5,21,14,294,17,23,12,21,55,59,28,1004,20,2473
金寧鄉,古寧村,41,38,22,33,41,102,119,37,0,39,10,37,3,15,4,30,14,36,21,642,15,1499
金寧鄉,古寧村,21,19,17,25,23,122,184,39,2,12,5,23,7,7,1,15,2,17,10,551,7,1331
金寧鄉,安美村,75,78,39,141,44,38,45,54,4,70,12,75,21,33,7,37,62,70,18,923,37,2089
金寧鄉,安美村,41,17,35,130,30,98,35,36,0,51,5,44,11,18,3,60,28,29,33,704,17,1450
金寧鄉,湖埔村,43,15,24,150,27,12,12,27,1,367,6,17,10,20,1,49,18,50,30,879,7,1826
金寧鄉,湖埔村,84,57,87,162,45,80,48,127,1,98,28,64,17,44,25,82,55,109,86,1299,22,2749
金寧鄉,榜林村,214,62,114,103,50,56,43,104,2,95,27,49,21,35,5,42,36,73,72,1203,19,2657
金寧鄉,榜林村,36,187,33,45,34,20,7,32,0,20,6,50,5,11,1,50,28,36,10,611,13,1573
金寧鄉,盤山村,71,45,70,71,36,110,76,48,1,29,19,23,143,30,4,102,66,63,29,1036,29,2386
金寧鄉,盤山村,67,28,247,72,55,50,124,66,3,63,48,36,172,47,19,39,23,76,19,1254,27,2847
金寧鄉,后盤村,53,37,17,32,39,33,25,55,2,50,7,14,12,17,1,59,18,41,26,538,20,1285
烏坵鄉,大坵村,43,55,2,3,1,10,2,15,1,0,1,1,1,0,0,4,0,7,0,146,6,234
烏坵鄉,小坵村,50,9,6,0,1,13,1,12,0,0,0,0,0,1,0,31,0,17,50,191,3,255
