,,1,2,3,4,5,6,7,8,9,10,,,
,,蘇龍科,雷由靖,陳福海,李沃士,汪成華,洪志恒,莊育民,林水泉,許乃權,楊榮祥,,,
,,無,無,無,中國國民黨,教科文聯盟黨,無,無,無,無,無,有效票,無效票,選舉人數
　金城鎮,東門里,8,5,556,263,13,7,13,0,85,15,965,37,2098
　金城鎮,東門里,18,5,600,305,12,9,10,4,154,22,1139,27,2412
　金城鎮,南門里,9,1,280,190,3,6,5,3,190,11,698,21,1582
　金城鎮,南門里,7,2,286,192,8,7,5,5,135,5,652,30,1573
　金城鎮,南門里,8,3,416,203,6,11,11,2,184,8,852,15,1666
　金城鎮,西門里,5,3,473,318,10,10,17,2,169,8,1015,34,2236
　金城鎮,西門里,10,2,401,424,6,9,7,16,140,11,1026,23,2380
　金城鎮,西門里,15,1,430,307,13,5,8,3,142,12,936,20,2030
　金城鎮,西門里,4,1,495,333,10,17,3,1,130,8,1002,23,2096
　金城鎮,北門里,16,2,394,281,8,3,7,6,101,13,831,18,1865
　金城鎮,北門里,7,1,362,280,7,6,11,4,55,10,743,20,1897
　金城鎮,賢庵里,14,4,508,249,7,11,10,3,105,10,921,28,2165
　金城鎮,賢庵里,8,1,406,168,6,4,6,1,90,3,693,38,1682
　金城鎮,金水里,7,1,487,235,14,13,2,5,51,10,825,20,1746
　金城鎮,古城里,19,2,266,187,4,6,2,0,38,6,530,21,1197
　金城鎮,古城里,12,2,604,188,4,10,2,4,59,5,890,17,1939
　金城鎮,珠沙里,13,2,438,396,8,12,10,3,106,9,997,27,2474
　金寧鄉,古寧村,4,1,150,446,4,1,1,4,21,4,636,19,1500
　金寧鄉,古寧村,2,2,100,412,1,1,2,1,21,0,542,17,1332
　金寧鄉,安美村,9,6,463,312,5,6,11,7,94,19,932,29,2092
　金寧鄉,安美村,2,2,448,143,6,2,2,5,74,9,693,19,1455
　金寧鄉,湖埔村,7,1,461,321,6,2,3,2,45,19,867,19,1826
　金寧鄉,湖埔村,18,6,699,361,7,17,6,1,153,23,1291,37,2764
　金寧鄉,榜林村,13,3,600,392,17,10,7,13,128,7,1190,34,2663
　金寧鄉,榜林村,3,4,267,161,5,3,5,4,154,9,615,9,1575
　金寧鄉,盤山村,17,5,527,344,7,21,2,0,97,4,1024,41,2392
　金寧鄉,盤山村,83,8,569,382,43,24,6,7,106,10,1238,45,2857
　金寧鄉,后盤村,1,2,286,167,7,6,3,1,60,2,535,23,1285
　金湖鎮,新市里,2,2,467,322,5,11,6,6,35,3,859,24,1940
　金湖鎮,新市里,9,1,486,324,11,6,7,7,41,16,908,18,1948
　金湖鎮,山外里,2,1,454,200,2,1,0,4,26,4,694,15,1644
　金湖鎮,山外里,5,1,370,200,4,1,3,0,32,4,620,12,1384
　金湖鎮,溪湖里,3,1,344,172,2,2,0,6,13,7,550,15,1247
　金湖鎮,蓮庵里,3,2,307,219,9,2,0,1,41,1,585,28,1402
　金湖鎮,料羅里,3,1,334,270,7,8,2,3,29,4,661,24,1615
　金湖鎮,新湖里,6,1,624,218,7,7,3,4,33,2,905,13,2237
　金湖鎮,新湖里,9,0,448,263,8,9,0,3,31,3,774,28,1844
　金湖鎮,新湖里,5,4,725,203,7,10,1,5,33,4,997,20,2108
　金湖鎮,正義里,5,1,620,228,3,5,3,9,68,7,949,30,2147
　金湖鎮,瓊林里,4,0,296,228,4,3,0,3,38,4,580,16,1360
　金湖鎮,瓊林里,2,2,316,218,5,6,2,5,33,1,590,15,1333
　金沙鎮,汶沙里,7,2,397,253,4,6,4,2,39,2,716,25,1671
　金沙鎮,汶沙里,1,0,363,247,1,7,4,1,41,2,667,17,1416
　金沙鎮,汶沙里,3,2,356,172,4,1,1,3,37,1,580,15,1417
　金沙鎮,何斗里,5,5,572,144,4,2,2,1,24,1,760,22,1722
　金沙鎮,浦山里,2,3,372,100,2,5,0,3,9,1,497,23,1072
　金沙鎮,浦山里,5,1,262,84,1,2,0,2,7,0,364,13,938
　金沙鎮,西園里,7,1,286,209,5,2,1,5,25,0,541,11,1315
　金沙鎮,官嶼里,3,3,304,289,1,2,1,2,58,2,665,25,1862
　金沙鎮,三山里,2,1,335,292,2,2,2,0,39,3,678,18,1665
　金沙鎮,大洋里,5,1,260,117,5,4,1,0,13,1,407,24,1014
　金沙鎮,光前里,1,1,296,141,4,1,2,1,23,0,470,22,1030
　金沙鎮,光前里,1,1,250,124,0,4,0,0,21,0,401,11,972
　烈嶼鄉,林湖村,1,0,333,204,2,35,1,5,24,2,607,19,1304
　烈嶼鄉,林湖村,7,2,395,178,7,46,3,10,19,1,668,18,1602
　烈嶼鄉,黃埔村,3,2,174,308,1,87,1,3,10,1,590,8,1330
　烈嶼鄉,西口村,9,8,454,338,17,46,4,28,49,2,955,41,2091
　烈嶼鄉,上林村,5,0,289,149,4,17,1,3,18,0,486,25,1232
　烈嶼鄉,上岐村,2,2,434,537,8,47,1,6,35,2,1074,29,2425
　烏坵鄉,大坵村,2,2,28,112,3,0,2,0,1,1,151,1,234
　烏坵鄉,小坵村,2,0,42,123,7,10,1,2,2,0,189,5,255
