,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,,,
10,,許玉昭*#,李養生*,楊松發,翁銘駿,李彥辛,翁文奧,郭金堡,楊永立*#,蔡建偉,王碧珍*#,許建中*#,徐銀磯,董森堡*,洪允典*#,陳苗生,唐麗輝*#,歐陽儀雄*#,楊霈璿,莊旭英,石永城*,,,
,,中國國民黨,無,無,無,無,無,無,無,民主進步黨,無,中國國民黨,親民黨,無,中國國民黨,無,無,中國國民黨,無,親民黨,無,有效票,無效票,選舉人數
金城鎮,東門里,70,32,6,12,2,5,26,124,3,51,40,0,68,33,2,33,15,14,5,40,581,24,1351
金城鎮,東門里,64,40,18,14,4,7,36,96,3,70,80,6,92,74,1,54,42,16,4,88,809,21,1753
金城鎮,東門里,67,59,7,18,4,8,21,61,8,70,43,7,81,56,8,45,45,23,7,69,707,22,1682
金城鎮,南門里,108,28,10,16,3,8,41,42,9,74,106,8,87,53,2,46,50,16,3,55,765,19,1835
金城鎮,南門里,57,33,5,12,4,10,27,49,3,70,43,3,61,57,11,56,43,8,5,52,609,29,1620
金城鎮,南門里,66,31,5,25,8,9,27,53,21,89,57,10,124,98,5,84,73,15,5,66,871,21,1842
金城鎮,西門里,40,39,8,7,10,15,27,64,1,44,30,2,95,61,2,45,34,12,1,56,593,31,1560
金城鎮,西門里,38,19,11,16,12,11,33,40,1,37,49,3,106,55,2,44,67,5,5,78,632,10,1625
金城鎮,西門里,58,29,4,13,15,4,40,38,4,58,18,4,97,84,0,77,31,6,3,36,619,20,1533
金城鎮,西門里,49,35,10,30,12,17,41,47,2,73,51,7,101,36,5,47,54,9,6,44,676,21,1631
金城鎮,西門里,49,35,5,31,5,8,54,34,7,58,45,8,115,67,3,42,54,20,4,56,700,21,1676
金城鎮,西門里,25,11,4,40,11,19,31,36,7,56,50,7,105,51,3,72,63,13,9,48,661,10,1494
金城鎮,北門里,48,24,6,25,6,15,31,80,3,91,72,7,88,74,1,57,50,13,8,83,782,24,2011
金城鎮,北門里,34,49,2,26,4,6,29,37,7,89,88,2,102,53,3,79,59,16,8,71,764,20,1968
金城鎮,賢庵里,82,30,5,24,6,12,39,91,4,100,45,17,98,68,3,80,78,18,5,144,949,29,2440
金城鎮,賢庵里,68,44,7,22,8,29,23,46,15,108,48,9,85,56,9,108,52,8,4,88,837,30,2017
金城鎮,金水里,88,56,8,16,12,6,27,96,8,96,38,9,80,85,3,75,49,18,8,64,842,41,2082
金城鎮,古城里,55,50,3,12,2,4,20,26,2,43,55,11,65,19,2,128,25,14,5,382,923,20,2366
金城鎮,古城里,24,16,2,1,1,3,4,9,2,42,32,1,202,10,2,31,16,4,1,61,464,17,1305
金城鎮,珠沙里,30,12,4,6,0,3,6,17,0,39,16,4,51,15,0,28,297,17,5,30,580,10,1539
金城鎮,珠沙里,75,24,9,19,7,6,27,20,3,27,21,6,62,53,2,12,75,5,5,56,514,12,1240
金寧鄉,古寧村,61,106,7,19,79,19,22,52,1,19,34,2,19,32,2,24,31,8,9,43,589,26,1689
金寧鄉,古寧村,60,215,11,18,31,7,6,25,2,20,48,3,29,24,1,13,31,7,1,18,570,16,1493
金寧鄉,安美村,89,27,7,40,3,36,18,89,8,54,53,10,65,90,2,21,50,33,1,43,739,31,1699
金寧鄉,安美村,33,57,22,34,10,7,9,19,0,30,9,4,10,45,3,1,70,9,11,31,414,8,986
金寧鄉,安美村,60,57,7,86,8,19,31,53,20,60,31,3,64,56,1,33,50,28,3,94,764,32,1658
金寧鄉,湖埔村,40,13,33,26,3,18,31,180,0,43,15,3,31,18,3,26,27,106,5,30,651,21,1642
金寧鄉,湖埔村,52,13,6,38,5,13,49,121,6,25,6,11,68,40,2,44,21,88,8,17,633,55,1515
金寧鄉,湖埔村,57,62,14,41,4,13,45,50,4,85,47,4,102,88,5,74,51,23,6,56,831,19,1784
金寧鄉,湖埔村,66,28,13,32,7,16,35,71,7,70,35,4,67,90,2,39,34,18,2,61,697,18,1678
金寧鄉,榜林村,198,24,3,30,3,15,22,58,13,63,47,8,59,21,2,36,51,16,3,34,706,18,1745
金寧鄉,榜林村,67,49,8,17,3,12,18,29,0,36,201,6,27,23,1,1,99,3,1,42,643,14,1783
金寧鄉,榜林村,79,32,7,27,11,8,31,78,2,41,64,8,61,54,0,18,38,9,5,12,585,26,1470
金寧鄉,盤山村,24,8,10,120,9,175,18,31,4,21,20,2,28,57,4,10,18,13,0,13,585,28,1421
金寧鄉,盤山村,52,9,3,221,4,65,26,23,1,24,33,4,42,52,0,25,27,12,0,35,658,21,1630
金寧鄉,盤山村,31,11,4,45,1,39,93,11,3,12,8,36,122,21,0,13,55,103,6,18,632,51,1375
金寧鄉,盤山村,53,20,2,51,8,37,36,40,2,21,41,7,34,33,1,17,41,8,5,37,494,13,1256
金寧鄉,后盤村,79,20,7,32,7,20,20,45,4,47,72,17,33,59,0,40,27,7,2,55,593,30,1498
烏坵鄉,大坵村,53,6,0,1,0,0,1,0,0,9,0,0,11,8,0,0,1,0,1,6,97,3,266
烏坵鄉,小坵村,39,11,0,1,0,0,0,0,0,17,0,0,6,9,0,25,0,0,2,2,112,0,274
