,,1,2,3,4,5,6,7,8,9,10,11,12,13,,,
7,,張貴富,李志鴻,陳篤驫,吳金鏷,張雲德*#,蔡水游*#,王秀玉*!,李應文*#,陳志龍*,周子傑*#,謝東龍#,蔡春生*#,盧冠宇,,,
,,無,無,無,無,中國國民黨,中國國民黨,中國國民黨,中國國民黨,無,無,中國國民黨,中華民族致公黨,無,有效票,無效票,選舉人數
金湖鎮,新市里,9,36,11,6,54,44,12,63,62,93,55,64,55,564,25,1297
金湖鎮,新市里,1,42,5,8,49,62,12,59,40,115,65,59,35,552,17,1344
金湖鎮,新市里,6,37,3,19,64,67,33,77,68,88,71,62,58,653,17,1346
金湖鎮,山外里,23,61,5,18,69,61,40,88,57,153,38,72,60,745,24,1725
金湖鎮,山外里,11,14,12,24,75,51,8,83,70,153,41,26,69,637,20,1448
金湖鎮,溪湖里,16,5,13,25,53,39,34,47,61,118,60,128,49,648,25,1464
金湖鎮,蓮庵里,5,18,5,16,44,92,49,90,83,80,53,109,35,679,32,1560
金湖鎮,料羅里,3,19,1,17,42,40,17,43,48,107,294,74,29,734,32,1945
金湖鎮,新湖里,18,34,6,10,60,73,36,74,125,75,66,46,67,690,22,1714
金湖鎮,新湖里,12,35,4,10,60,86,28,68,98,87,91,21,69,669,31,1694
金湖鎮,新湖里,7,13,11,8,38,30,21,66,106,61,89,66,35,551,21,1336
金湖鎮,新湖里,11,24,4,10,83,65,22,55,78,76,72,39,46,585,29,1346
金湖鎮,新湖里,7,29,8,14,99,59,25,65,118,42,71,44,46,627,25,1252
金湖鎮,正義里,5,12,5,7,67,35,42,28,89,20,72,25,32,439,23,1197
金湖鎮,正義里,7,12,7,14,42,71,15,78,84,67,45,65,36,543,60,1330
金湖鎮,瓊林里,9,24,11,5,43,288,33,45,41,55,58,41,24,677,13,1584
金湖鎮,瓊林里,6,16,6,10,44,159,32,66,42,59,55,52,33,580,29,1465
金沙鎮,汶沙里,10,13,7,7,181,99,56,105,76,83,57,37,41,772,28,1850
金沙鎮,汶沙里,6,11,2,6,133,69,44,137,83,68,57,41,39,696,21,1479
金沙鎮,汶沙里,8,13,11,6,107,56,41,94,96,40,78,33,41,624,26,1629
金沙鎮,何斗里,13,11,8,11,63,183,56,107,168,37,50,99,38,844,25,1953
金沙鎮,浦山里,1,6,8,4,39,41,19,66,177,62,41,67,18,549,18,1175
金沙鎮,浦山里,2,4,3,4,37,38,11,61,127,41,26,80,20,454,17,1095
金沙鎮,西園里,8,1,8,5,57,52,32,85,93,33,45,69,22,510,25,1473
金沙鎮,官嶼里,6,5,6,2,49,41,10,189,66,19,16,23,9,441,18,1174
金沙鎮,官嶼里,8,3,5,1,54,25,16,87,85,13,13,12,15,337,20,926
金沙鎮,三山里,12,10,18,7,151,67,58,194,77,84,22,36,34,770,22,1831
金沙鎮,大洋里,1,6,6,16,30,49,42,107,90,60,23,85,34,549,13,1089
金沙鎮,光前里,2,4,44,5,35,25,50,62,69,68,14,134,14,526,16,1196
金沙鎮,光前里,3,7,42,7,36,48,55,65,120,13,29,73,22,520,13,1091
