,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,,,
,,合一行動聯盟,中華統一促進黨,親民黨,安定力量,台灣基進,時代力量,新黨,喜樂島聯盟,中國國民黨,一邊一國行動黨,勞動黨,綠黨,宗教聯盟,民主進步黨,台灣民眾黨,台灣維新,台澎黨,國會政黨聯盟,台灣團結聯盟,,,
,,合一行動聯盟,中華統一促進黨,親民黨,安定力量,台灣基進,時代力量,新黨,喜樂島聯盟,中國國民黨,一邊一國行動黨,勞動黨,綠黨,宗教聯盟,民主進步黨,台灣民眾黨,台灣維新,台澎黨,國會政黨聯盟,台灣團結聯盟,有效票,無效票,選舉人數
金城鎮,東門里,1,2,14,0,7,19,25,1,376,1,0,6,3,43,53,0,0,1,0,552,13,1354
金城鎮,東門里,0,6,30,7,14,32,43,2,472,0,0,11,1,58,85,0,0,0,2,763,14,1750
金城鎮,東門里,0,11,18,2,11,32,32,0,466,1,1,13,0,65,63,1,0,5,1,722,18,1687
金城鎮,南門里,0,4,22,4,13,43,24,1,462,2,3,16,1,50,64,0,0,0,1,710,23,1803
金城鎮,南門里,0,4,21,3,9,41,29,3,407,2,0,9,1,60,45,0,0,1,0,635,10,1615
金城鎮,南門里,1,0,31,5,19,39,29,2,538,2,1,19,9,63,49,0,0,0,1,808,21,1849
金城鎮,西門里,1,4,21,4,12,45,18,1,401,0,1,7,1,38,47,1,0,0,0,602,26,1539
金城鎮,西門里,0,1,23,2,13,37,23,1,438,2,1,17,0,51,63,0,0,1,3,676,13,1620
金城鎮,西門里,0,2,21,3,11,32,32,1,394,1,0,17,8,49,42,0,2,1,0,616,12,1543
金城鎮,西門里,1,2,22,3,3,39,23,1,476,0,0,24,4,42,63,2,0,1,3,709,12,1644
金城鎮,西門里,0,3,20,3,12,47,20,0,473,1,1,14,1,57,63,0,0,1,1,717,13,1673
金城鎮,西門里,0,7,14,3,9,34,31,1,436,0,2,8,0,38,58,1,1,0,0,643,5,1460
金城鎮,北門里,0,9,18,5,5,31,16,0,385,1,0,11,1,46,62,0,0,1,0,591,13,1343
金城鎮,北門里,0,6,5,2,4,17,13,1,389,0,0,9,0,45,48,0,1,1,0,541,8,1368
金城鎮,北門里,0,5,14,9,6,30,21,0,374,0,0,10,1,37,56,1,0,1,0,565,14,1462
金城鎮,賢庵里,2,6,15,4,8,31,14,1,364,1,1,9,1,52,50,1,0,1,0,561,21,1510
