,,1,2,3,4,5,6,7,8,9,10,,,
,,洪志恒,許丕肯,陳滄江,林志錦,洪正,盧月香,陳福海,洪和成,陳玉珍,程耀德,,,
,,金門高粱黨,中華新住民黨,無,無,台灣基進,中國生產黨,無,無,中國國民黨,中華統一促進黨,有效票,無效票,選舉人數
金城鎮,東門里,17,3,91,1,17,0,130,3,281,7,550,13,1345
金城鎮,東門里,20,13,131,5,24,1,213,6,345,9,767,10,1745
金城鎮,東門里,17,11,126,6,27,2,138,1,364,23,715,19,1677
金城鎮,南門里,11,26,105,4,32,3,139,2,393,8,723,10,1795
金城鎮,南門里,14,13,96,7,24,1,130,5,342,3,635,9,1608
金城鎮,南門里,18,10,114,8,31,1,173,5,445,4,809,19,1842
金城鎮,西門里,14,7,95,5,24,0,139,4,313,4,605,22,1534
金城鎮,西門里,17,0,124,5,29,2,155,5,328,6,671,17,1616
金城鎮,西門里,10,13,99,3,23,0,142,2,320,2,614,12,1537
金城鎮,西門里,17,3,122,9,18,3,151,4,369,8,704,14,1639
金城鎮,西門里,11,8,117,4,31,0,166,5,359,2,703,19,1651
金城鎮,西門里,17,7,104,2,18,0,156,2,328,9,643,5,1455
金城鎮,北門里,10,6,99,7,20,1,145,8,291,7,594,9,1335
金城鎮,北門里,6,4,71,6,17,2,99,3,255,12,475,11,1167
金城鎮,北門里,6,4,77,2,15,0,149,3,287,10,553,16,1446
金城鎮,賢庵里,15,9,86,3,15,15,168,2,247,9,569,11,1501
金城鎮,賢庵里,18,5,119,2,15,5,129,4,242,3,542,10,1420
金城鎮,賢庵里,15,10,114,4,23,11,177,7,316,7,684,22,1625
金城鎮,金水里,19,6,119,13,32,1,229,7,421,9,856,22,2140
金城鎮,古城里,3,0,78,3,9,0,130,3,241,1,468,8,1281
金城鎮,古城里,2,1,70,0,15,1,153,2,194,0,438,7,1201
金城鎮,古城里,9,4,81,5,12,3,107,2,268,3,494,16,1346
金城鎮,珠沙里,8,4,57,2,16,1,137,2,287,0,514,7,1546
金城鎮,珠沙里,12,5,93,4,14,1,116,1,275,6,527,5,1232
金寧鄉,古寧村,8,5,84,2,20,0,108,3,367,0,597,11,1724
金寧鄉,古寧村,8,5,84,2,25,2,74,2,300,2,504,10,1498
金寧鄉,安美村,10,6,114,5,32,1,211,3,293,1,676,15,1816
金寧鄉,安美村,8,6,73,1,7,2,104,0,169,0,370,8,995
金寧鄉,安美村,9,3,154,2,16,3,156,7,349,1,700,18,1729
金寧鄉,湖埔村,9,3,108,5,16,0,120,2,337,5,605,11,1675
金寧鄉,湖埔村,23,12,254,16,89,0,215,13,211,7,840,33,1558
金寧鄉,湖埔村,19,11,144,2,30,2,203,8,366,7,792,14,1774
金寧鄉,湖埔村,13,5,131,6,28,0,147,5,349,7,691,13,1732
金寧鄉,榜林村,9,8,252,7,19,1,125,3,317,3,744,18,1797
金寧鄉,榜林村,7,11,132,1,16,2,126,3,309,1,608,12,1788
金寧鄉,榜林村,17,4,93,4,19,2,169,1,279,4,592,14,1480
