,,1,2,3,,,
,,宋楚瑜,韓國瑜,蔡英文*#,,,
,,親民黨,中國國民黨,民主進步黨,有效票,無效票,選舉人數
金城鎮,東門里,20,447,95,562,3,1354
金城鎮,東門里,21,583,166,770,7,1748
金城鎮,東門里,24,549,160,733,8,1686
金城鎮,南門里,30,541,156,727,6,1803
金城鎮,南門里,25,467,149,641,4,1615
金城鎮,南門里,32,630,159,821,8,1849
金城鎮,西門里,19,471,127,617,11,1538
金城鎮,西門里,20,506,160,686,3,1620
金城鎮,西門里,23,473,128,624,4,1543
金城鎮,西門里,25,556,136,717,4,1644
金城鎮,西門里,26,536,163,725,5,1673
金城鎮,西門里,18,494,132,644,4,1460
金城鎮,北門里,22,453,125,600,4,1343
金城鎮,北門里,13,432,95,540,9,1368
金城鎮,北門里,20,445,107,572,6,1458
金城鎮,賢庵里,19,440,119,578,4,1510
金城鎮,賢庵里,14,421,123,558,4,1444
金城鎮,賢庵里,23,489,192,704,6,1641
金城鎮,金水里,30,663,182,875,12,2158
金城鎮,古城里,14,370,90,474,4,1288
金城鎮,古城里,15,337,91,443,2,1205
金城鎮,古城里,19,400,88,507,5,1353
金城鎮,珠沙里,13,406,100,519,2,1552
金城鎮,珠沙里,20,383,127,530,3,1235
金寧鄉,古寧村,15,497,93,605,6,1735
金寧鄉,古寧村,11,394,108,513,3,1510
金寧鄉,安美村,33,513,220,766,12,2054
金寧鄉,安美村,15,291,71,377,2,1001
金寧鄉,安美村,28,526,155,709,11,1740
金寧鄉,湖埔村,17,469,131,617,3,1691
金寧鄉,湖埔村,69,320,488,877,12,1597
金寧鄉,湖埔村,28,577,197,802,5,1784
金寧鄉,湖埔村,26,518,159,703,9,1751
金寧鄉,榜林村,23,524,212,759,5,1806
金寧鄉,榜林村,14,476,126,616,6,1792
金寧鄉,榜林村,22,459,122,603,7,1487
金寧鄉,盤山村,24,452,107,583,5,1511
金寧鄉,盤山村,21,461,178,660,6,1723
金寧鄉,盤山村,53,254,578,885,10,1504
金寧鄉,盤山村,25,350,125,500,6,1256
金寧鄉,后盤村,13,454,91,558,3,1543
金湖鎮,新市里,30,516,178,724,4,1584
金湖鎮,新市里,25,425,100,550,3,1340
金湖鎮,新市里,32,497,103,632,7,1336
金湖鎮,山外里,36,549,162,747,6,1760
金湖鎮,山外里,20,458,102,580,12,1433
金湖鎮,溪湖里,14,425,86,525,3,1465
金湖鎮,蓮庵里,20,532,119,671,7,1623
金湖鎮,料羅里,29,612,160,801,9,1986
金湖鎮,新湖里,32,547,271,850,6,1914
金湖鎮,新湖里,34,488,177,699,5,1672
金湖鎮,新湖里,28,442,123,593,2,1384
金湖鎮,新湖里,23,435,141,599,3,1356
金湖鎮,新湖里,23,419,162,604,3,1341
金湖鎮,正義里,15,355,97,467,4,1224
金湖鎮,正義里,16,439,88,543,3,1366
金湖鎮,瓊林里,20,493,103,616,2,1562
金湖鎮,瓊林里,18,489,102,609,8,1511
金沙鎮,汶沙里,18,318,85,421,4,1028
金沙鎮,汶沙里,11,298,74,383,7,981
金沙鎮,汶沙里,17,509,91,617,9,1475
金沙鎮,汶沙里,18,494,133,645,2,1640
金沙鎮,何斗里,11,316,47,374,3,968
金沙鎮,何斗里,16,303,57,376,6,1003
金沙鎮,浦山里,7,391,93,491,4,1195
金沙鎮,浦山里,10,328,71,409,6,1108
金沙鎮,西園里,12,441,77,530,5,1527
金沙鎮,官嶼里,10,369,53,432,7,1202
金沙鎮,官嶼里,2,289,51,342,6,956
金沙鎮,三山里,9,292,63,364,3,1039
金沙鎮,三山里,7,285,58,350,3,867
金沙鎮,大洋里,11,375,75,461,2,1119
金沙鎮,光前里,17,380,90,487,3,1186
金沙鎮,光前里,9,348,80,437,2,1040
烈嶼鄉,林湖村,17,510,102,629,3,1627
烈嶼鄉,林湖村,17,465,87,569,3,1679
烈嶼鄉,黃埔村,6,394,93,493,2,1587
烈嶼鄉,西口村,8,258,83,349,2,1267
烈嶼鄉,西口村,7,273,61,341,1,1097
烈嶼鄉,上林村,13,340,62,415,7,1388
烈嶼鄉,上岐村,9,366,84,459,5,1389
烈嶼鄉,上岐村,15,362,66,443,1,1382
烏坵鄉,大坵村,1,60,10,71,0,264
烏坵鄉,小坵村,1,36,5,42,1,277
