,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,,,
10,,歐陽儀雄*#,石永城*#,許玉昭*#,楊霈璿,蔡其雍*,周曉芸,楊永立#,陳泱瑚*,洪允典*#,李養生*#,唐麗輝*!#,王碧珍#,許大鴻*,翁文奧,董森堡*#,胡凱宇,,,
,,中國國民黨,無,中國國民黨,無,民主進步黨,台灣民眾黨,無,無,中國國民黨,無,無,無,無,無,無,無,有效票,無效,選舉人數
金城鎮,東門里,29,21,51,14,32,21,107,78,30,49,43,8,30,3,33,17,566,13,1341
金城鎮,東門里,47,56,56,40,70,39,74,78,55,31,40,3,59,6,59,27,740,11,1676
金城鎮,東門里,38,45,54,34,58,20,69,87,55,67,42,7,59,7,62,30,734,14,1681
金城鎮,南門里,44,42,67,18,36,34,35,69,32,38,57,14,89,14,60,26,675,17,1789
金城鎮,南門里,46,31,24,28,34,23,43,48,56,23,67,14,51,5,41,32,566,14,1584
金城鎮,南門里,56,57,53,25,57,21,48,102,81,41,47,6,66,9,50,29,748,25,1817
金城鎮,西門里,60,36,30,24,36,19,37,78,57,22,50,3,60,9,72,15,608,10,1524
金城鎮,西門里,47,80,41,29,35,27,23,49,42,35,45,1,27,11,57,16,565,8,1518
金城鎮,西門里,28,29,53,13,62,18,27,45,49,28,68,5,39,4,46,51,565,18,1490
金城鎮,西門里,41,47,52,30,54,21,43,54,22,36,38,16,38,4,68,28,592,11,1566
金城鎮,西門里,54,52,50,30,60,39,28,64,68,45,46,5,49,12,73,28,703,14,1687
金城鎮,西門里,70,41,24,20,51,18,24,33,41,22,64,3,80,9,45,17,562,9,1439
金城鎮,北門里,48,34,19,18,17,22,41,53,57,29,39,2,52,4,32,18,485,9,1269
金城鎮,北門里,30,39,19,38,24,14,11,49,38,29,67,3,26,3,24,8,422,16,1095
金城鎮,北門里,21,40,35,29,41,27,29,36,62,24,35,5,45,6,45,14,494,13,1385
金城鎮,賢庵里,39,65,44,14,29,34,12,94,69,37,45,6,44,7,43,19,601,7,1579
金城鎮,賢庵里,38,41,36,12,40,30,28,59,48,56,72,3,61,13,44,11,592,13,1517
金城鎮,賢庵里,48,47,50,21,45,32,36,44,39,49,41,6,41,5,39,19,562,6,1597
金城鎮,金水里,45,40,73,37,109,32,83,76,90,74,49,4,58,5,53,34,862,40,2203
金城鎮,古城里,12,155,17,20,23,17,22,29,35,58,47,7,30,2,18,11,503,12,1308
金城鎮,古城里,11,146,31,9,22,7,13,34,32,72,33,3,23,5,17,7,465,19,1206
金城鎮,古城里,18,38,21,5,32,11,13,42,24,58,25,1,40,2,168,5,503,15,1439
金城鎮,珠沙里,186,19,25,7,29,11,10,16,39,30,16,6,23,2,23,16,458,19,1573
金城鎮,珠沙里,57,27,62,10,30,16,19,25,61,68,22,4,53,8,41,18,521,12,1260
金寧鄉,古寧村,22,30,42,10,44,19,42,36,23,181,18,1,37,10,8,16,539,15,1763
金寧鄉,古寧村,29,22,46,9,24,10,15,34,33,189,10,6,19,6,16,22,490,15,1544
金寧鄉,安美村,28,14,52,22,29,45,36,43,60,34,14,4,25,13,9,17,445,6,1190
金寧鄉,安美村,30,15,40,27,32,19,16,27,35,47,10,5,23,23,13,10,372,15,1010
金寧鄉,安美村,33,88,33,11,37,8,28,16,38,55,6,0,16,3,16,5,393,10,976
金寧鄉,安美村,14,8,19,20,85,14,30,37,65,75,16,3,28,12,10,5,441,6,1061
金寧鄉,安美村,24,13,33,17,31,23,24,20,41,66,15,2,24,6,19,6,364,12,887
金寧鄉,湖埔村,29,21,44,95,18,29,102,44,27,23,23,1,44,2,23,4,529,12,1468
金寧鄉,湖埔村,16,20,22,53,11,30,130,51,20,26,19,2,9,6,18,5,438,9,1115
金寧鄉,湖埔村,34,23,47,28,45,28,38,26,91,28,32,1,53,8,29,28,539,10,1245
金寧鄉,湖埔村,26,6,11,84,27,54,8,4,22,5,4,7,9,3,15,11,296,17,980
金寧鄉,湖埔村,39,43,77,19,38,27,25,38,47,27,23,6,39,6,23,14,491,9,1182
金寧鄉,湖埔村,19,57,39,36,86,23,54,36,59,33,35,3,53,3,42,16,594,13,1356
金寧鄉,榜林村,30,22,65,25,27,11,16,32,51,25,23,8,51,4,19,5,414,5,984
金寧鄉,榜林村,28,27,103,15,18,11,22,16,12,32,3,1,27,1,24,4,344,3,943
金寧鄉,榜林村,73,46,64,7,36,12,33,16,25,50,6,4,178,3,16,8,577,20,1755
金寧鄉,榜林村,32,17,68,19,47,26,51,51,82,58,23,0,52,14,26,19,585,14,1530
金寧鄉,盤山村,30,15,18,11,36,29,23,63,54,57,17,5,47,166,21,6,598,18,1572
金寧鄉,盤山村,18,29,36,9,17,18,15,25,48,43,7,1,28,68,14,15,391,13,1006
金寧鄉,盤山村,33,10,34,23,51,33,29,41,44,50,17,5,28,71,23,11,503,7,1392
金寧鄉,盤山村,26,25,30,11,45,20,38,36,64,31,14,12,19,43,28,7,449,9,1226
金寧鄉,盤山村,18,9,20,117,27,81,10,8,14,12,21,0,14,8,37,12,408,19,1077
金寧鄉,后盤村,26,43,54,20,123,31,27,71,39,51,14,6,22,13,26,61,627,12,1653
烏坵鄉,大坵村,8,2,10,5,3,3,0,0,5,0,0,13,22,0,1,20,92,3,272
烏坵鄉,小坵村,3,2,50,3,0,0,0,0,13,22,0,5,8,1,10,0,117,2,289
