,,1,2,3,4,5,6,,,
,,李應文,朱紀瑋,林志錦,楊鎮浯,陳福海*,洪志恒,,,
,,無,龍黨,無,中國國民黨,無,無,有效票數,無效票數,選舉人數
金城鎮,東門里,27,8,2,278,236,15,566,13,1342
金城鎮,東門里,31,3,3,347,334,18,736,15,1678
金城鎮,東門里,35,1,1,394,297,10,738,10,1683
金城鎮,南門里,29,5,5,347,274,15,675,17,1790
金城鎮,南門里,23,1,1,272,256,12,565,15,1586
金城鎮,南門里,53,2,1,381,310,9,756,17,1818
金城鎮,西門里,25,1,3,311,253,10,603,15,1524
金城鎮,西門里,31,0,2,286,236,10,565,8,1518
金城鎮,西門里,31,3,0,269,254,14,571,12,1490
金城鎮,西門里,40,0,7,295,237,11,590,13,1567
金城鎮,西門里,52,3,0,347,285,16,703,14,1688
金城鎮,西門里,33,1,0,291,227,14,566,5,1439
金城鎮,北門里,27,2,3,253,195,6,486,8,1272
金城鎮,北門里,29,2,5,222,159,5,422,14,1095
金城鎮,北門里,20,8,1,284,175,6,494,13,1385
金城鎮,賢庵里,47,1,1,274,262,13,598,12,1585
金城鎮,賢庵里,23,1,0,261,291,11,587,18,1517
金城鎮,賢庵里,46,2,2,214,289,9,562,7,1597
金城鎮,金水里,48,1,2,417,386,17,871,31,2204
金城鎮,古城里,27,0,1,181,291,4,504,11,1309
金城鎮,古城里,12,1,1,178,267,9,468,16,1210
金城鎮,古城里,30,1,2,277,187,10,507,12,1440
金城鎮,珠沙里,18,4,0,176,255,11,464,13,1573
金城鎮,珠沙里,36,2,2,255,219,8,522,11,1261
金寧鄉,古寧村,85,5,3,251,195,5,544,10,1763
金寧鄉,古寧村,68,2,1,241,182,2,496,9,1544
金寧鄉,安美村,33,3,1,180,216,7,440,12,1194
金寧鄉,安美村,24,0,2,139,208,3,376,11,1010
金寧鄉,安美村,33,1,0,144,207,8,393,10,976
金寧鄉,安美村,18,2,3,204,203,6,436,11,1061
金寧鄉,安美村,19,0,0,159,179,7,364,12,888
金寧鄉,湖埔村,19,1,2,376,128,5,531,12,1470
金寧鄉,湖埔村,16,0,1,319,98,2,436,11,1115
金寧鄉,湖埔村,37,1,1,209,283,8,539,10,1248
金寧鄉,湖埔村,27,1,9,173,84,6,300,14,980
金寧鄉,湖埔村,30,0,3,216,243,4,496,4,1184
金寧鄉,湖埔村,27,1,2,275,286,8,599,9,1357
金寧鄉,榜林村,11,0,1,174,221,7,414,5,988
金寧鄉,榜林村,15,6,1,191,118,7,338,10,944
金寧鄉,榜林村,36,2,2,253,282,4,579,18,1755
金寧鄉,榜林村,43,2,5,227,293,10,580,19,1532
金寧鄉,盤山村,54,2,1,237,299,10,603,13,1573
金寧鄉,盤山村,33,1,0,176,185,5,400,6,1010
金寧鄉,盤山村,41,2,1,228,225,6,503,7,1392
金寧鄉,盤山村,41,2,1,199,199,7,449,10,1227
金寧鄉,盤山村,41,8,3,246,96,15,409,18,1079
金寧鄉,后盤村,37,7,1,230,338,8,621,18,1654
金湖鎮,新市里,29,2,0,209,271,7,518,5,1189
金湖鎮,新市里,46,0,1,232,269,3,551,16,1220
金湖鎮,新市里,39,3,1,255,248,9,555,17,1415
金湖鎮,山外里,59,4,2,220,407,9,701,15,1903
金湖鎮,山外里,56,12,2,168,354,5,597,11,1410
金湖鎮,溪湖里,47,3,2,179,382,4,617,13,1537
金湖鎮,蓮庵里,46,1,3,196,418,4,668,5,1712
金湖鎮,料羅里,26,1,0,112,197,8,344,9,1044
金湖鎮,料羅里,57,1,1,152,216,7,434,3,1094
金湖鎮,新湖里,76,3,0,238,460,8,785,5,1845
金湖鎮,新湖里,50,2,0,213,306,7,578,11,1594
金湖鎮,新湖里,50,1,2,167,460,4,684,10,1677
金湖鎮,新湖里,57,2,2,200,364,7,632,7,1483
金湖鎮,新湖里,60,1,0,232,347,7,647,13,1391
金湖鎮,正義里,30,5,3,161,273,2,474,10,1258
金湖鎮,正義里,50,1,0,160,331,16,558,23,1394
金湖鎮,瓊林里,46,2,2,284,355,6,695,11,1652
金湖鎮,瓊林里,54,2,1,196,363,14,630,11,1600
金沙鎮,汶沙里,28,0,0,90,160,3,281,10,863
金沙鎮,汶沙里,39,1,1,82,230,5,358,6,974
金沙鎮,汶沙里,63,1,0,218,349,10,641,16,1499
金沙鎮,汶沙里,62,0,0,163,378,7,610,10,1607
金沙鎮,何斗里,46,0,2,104,259,5,416,2,957
金沙鎮,何斗里,40,0,2,104,266,5,417,10,1059
金沙鎮,浦山里,45,1,1,142,348,2,539,9,1203
金沙鎮,浦山里,50,1,1,68,273,3,396,6,1087
金沙鎮,西園里,63,1,0,144,343,4,555,14,1570
金沙鎮,官嶼里,137,1,1,179,108,3,429,3,1224
金沙鎮,官嶼里,59,0,1,84,171,0,315,5,949
金沙鎮,三山里,61,1,0,96,148,2,308,6,999
金沙鎮,三山里,43,0,0,79,234,1,357,5,893
金沙鎮,大洋里,24,1,1,181,314,10,531,5,1154
金沙鎮,光前里,73,4,0,122,288,6,493,11,1256
金沙鎮,光前里,64,6,2,152,229,6,459,9,1081
烈嶼鄉,林湖村,29,4,1,278,354,12,678,8,1563
烈嶼鄉,林湖村,10,0,3,225,377,16,631,6,1688
烈嶼鄉,黃埔村,35,1,0,376,213,47,672,6,1636
烈嶼鄉,西口村,11,1,1,186,187,13,399,8,1256
烈嶼鄉,西口村,5,0,3,140,163,11,322,11,1075
烈嶼鄉,上林村,3,2,1,189,227,13,435,9,1408
烈嶼鄉,上岐村,10,0,2,170,334,15,531,7,1391
烈嶼鄉,上岐村,16,0,1,208,265,10,500,13,1408
烏坵鄉,大坵村,4,0,6,57,20,3,90,5,272
烏坵鄉,小坵村,0,0,0,72,46,0,118,1,289
