ID,姓名,性別,出生年,出生地,照片檔名
1,方駿洋,男性,1967,福建省金門縣,方駿洋.jpg
2,王文標,男性,1960,福建省金門縣,
3,王水彰,男性,1945,福建省金門縣,
4,王石堆,男性,1965,福建省金門縣,
5,王再生,男性,1946,福建省金門縣,
6,王秀玉,女性,1968,福建省金門縣,王秀玉.jpg
7,王國代,男性,1970,福建省金門縣,王國代.jpg
8,王彬彬,女性,1947,福建省金門縣,
9,王碧珍,女性,1959,福建省金門縣,王碧珍.jpg
10,石永城,男性,1973,福建省金門縣,石永城.jpg
11,石兆緡,男性,1962,福建省金門縣,石兆緡.jpg
11,石兆瑉,男性,1962,福建省金門縣,石兆瑉.jpg
12,朱吉龍,男性,1961,福建省金門縣,
13,朱紀瑋,男性,1961,福建省金門縣,朱紀瑋.jpg
14,何開忠,男性,1963,福建省金門縣,何開忠.jpg
15,吳成典,男性,1957,福建省金門縣,吳成典.jpg
16,吳成宗,男性,1961,福建省金門縣,
17,吳有家,男性,1964,福建省金門縣,
18,吳伯揚,男性,1976,福建省金門縣,吳伯揚.jpg
19,吳佩雯,女性,1982,臺灣省花蓮縣,吳佩雯.jpg
20,吳怡跑,男性,1952,,
21,吳炎成,男性,1942,臺北市,
22,吳金鏷,男性,1966,福建省金門縣,
23,吳嘉將,男性,1962,福建省金門縣,吳嘉將.jpg
24,吳福全,男性,1962,福建省金門縣,吳福全.jpg
25,吳增允,男性,1965,福建省金門縣,
26,呂俊龍,男性,1976,福建省金門縣,
27,呂錦同,男性,1964,福建省金門縣,呂錦同.jpg
28,呂寶玉,女性,1958,福建省金門縣,呂寶玉.jpg
29,李九六,男性,1962,福建省金門縣,
30,李文俊,男性,1955,,
31,李正騰,男性,1968,福建省金門縣,李正騰.jpg
32,李成義,男性,1960,福建省金門縣,李成義.jpg
33,李有忠,男性,1964,福建省金門縣,
34,李志鴻,男性,1974,福建省金門縣,李志鴻.jpg
35,李沃士,男性,1960,福建省金門縣,李沃士.jpg
36,李秀華,女性,1958,福建省金門縣,李秀華.jpg
37,李和平,男性,1953,福建省金門縣,
38,李俊龍,男性,1976,福建省金門縣,李俊龍.jpg
39,李建鴻,男性,1978,,
40,李彥辛,男性,1969,福建省金門縣,
41,李昭明,男性,1942,福建省金門縣,
