,,1,2,3,4,5,,,
,,宋楚瑜[張照雄],連戰[蕭萬長],李敖[馮滬祥],許信良[朱惠良],陳水扁[呂秀蓮]*,,,
,,連署參選,中國國民黨,新黨,連署參選,民主進步黨,有效票,無效票,選舉人數
金城鎮,東門里,925,160,2,9,67,1163,2,1652
金城鎮,南門里,507,75,2,9,21,614,8,858
金城鎮,南門里,614,114,1,4,39,772,4,1081
金城鎮,西門里,487,104,1,6,25,623,1,946
金城鎮,西門里,522,137,3,2,27,691,3,1028
金城鎮,西門里,638,135,1,6,30,810,6,1099
金城鎮,北門里,758,169,1,6,24,958,12,1376
金城鎮,賢庵里,644,121,1,7,23,796,11,1108
金城鎮,金水里,330,82,0,0,11,423,4,593
金城鎮,古城里,659,124,1,2,13,799,3,1162
金城鎮,珠沙里,338,52,5,0,11,406,6,625
金寧鄉,古寧村,582,102,1,0,14,699,8,1086
金寧鄉,安美村,788,124,1,5,27,945,9,1371
金寧鄉,湖埔村,626,112,2,2,35,777,12,1127
金寧鄉,榜林村,740,114,2,14,20,890,12,1349
金寧鄉,盤山村,545,112,0,2,21,680,10,1049
金寧鄉,后盤村,259,38,0,1,4,302,2,456
金湖鎮,新市里,508,70,0,1,26,605,6,799
金湖鎮,新市里,517,84,0,2,18,621,5,879
金湖鎮,山外里,728,104,0,0,57,889,4,1222
金湖鎮,溪湖里,302,59,3,0,13,377,3,535
金湖鎮,蓮庵里,313,41,0,0,4,358,3,519
金湖鎮,料羅里,312,81,0,2,8,403,3,558
金湖鎮,新湖里,802,122,0,5,36,965,10,1364
金湖鎮,正義里,459,96,1,3,28,587,12,813
金湖鎮,瓊林里,641,70,1,3,17,732,8,1097
金沙鎮,汶沙里,497,92,2,1,15,607,7,891
金沙鎮,汶沙里,487,112,3,3,19,624,4,875
金沙鎮,何斗里,414,73,0,0,23,510,4,693
金沙鎮,浦山里,482,54,0,0,10,546,9,787
金沙鎮,西園里,268,61,1,2,2,334,2,519
金沙鎮,官嶼里,339,74,0,1,3,417,1,668
金沙鎮,三山里,394,45,0,1,7,447,2,665
金沙鎮,大洋里,231,42,1,0,11,285,2,419
金沙鎮,光前里,391,72,0,2,28,493,5,723
烈嶼鄉,林湖村,612,84,0,0,6,702,5,1035
烈嶼鄉,黃埔村,225,54,0,0,3,282,1,460
烈嶼鄉,西口村,300,77,0,2,6,385,2,686
烈嶼鄉,上林村,253,28,1,1,0,283,0,450
烈嶼鄉,上歧村,521,60,0,1,5,587,3,915
烏坵鄉,大坵村,33,13,0,0,2,48,0,270
