,,1,2,3,,,
,,朱立倫[王如玄],蔡英文[陳建仁]*,宋楚瑜[徐欣瑩],,,
,,中國國民黨,民主進步黨,親民黨,有效票,無效票,選舉人數
金城鎮,東門里,545,158,119,822,12,2296
金城鎮,東門里,539,143,134,816,12,2387
金城鎮,南門里,409,88,93,590,10,1745
金城鎮,南門里,314,101,103,518,7,1557
金城鎮,南門里,464,95,108,667,6,1792
金城鎮,西門里,430,142,94,666,13,1910
金城鎮,西門里,415,96,101,612,10,1757
金城鎮,西門里,495,87,61,643,12,1850
金城鎮,西門里,442,161,102,705,12,1963
金城鎮,西門里,482,107,76,665,5,1779
金城鎮,北門里,488,117,96,701,9,1947
金城鎮,北門里,404,120,130,654,8,2143
金城鎮,賢庵里,430,164,133,727,6,2307
金城鎮,賢庵里,392,134,74,600,12,1846
金城鎮,金水里,398,99,110,607,20,1902
金城鎮,古城里,442,88,111,641,11,2112
金城鎮,古城里,286,60,59,405,5,1250
金城鎮,珠沙里,267,51,49,367,11,1443
金城鎮,珠沙里,257,92,54,403,5,1223
金寧鄉,古寧村,340,62,55,457,8,1622
金寧鄉,古寧村,285,54,57,396,4,1404
金寧鄉,安美村,311,90,81,482,12,1543
金寧鄉,安美村,198,43,53,294,8,960
金寧鄉,安美村,367,99,80,546,13,1512
金寧鄉,湖埔村,489,79,104,672,14,1974
金寧鄉,湖埔村,362,129,142,633,6,1713
金寧鄉,湖埔村,262,84,67,413,5,1356
金寧鄉,榜林村,301,89,82,472,11,1506
金寧鄉,榜林村,323,80,63,466,6,1691
金寧鄉,榜林村,276,94,81,451,10,1362
金寧鄉,盤山村,294,88,61,443,7,1469
金寧鄉,盤山村,301,91,70,462,10,1435
金寧鄉,盤山村,274,594,266,1134,25,1807
金寧鄉,盤山村,245,89,73,407,2,1235
金寧鄉,后盤村,282,48,65,395,9,1367
金湖鎮,新市里,560,173,127,860,10,2272
金湖鎮,新市里,521,133,122,776,9,2030
金湖鎮,山外里,361,121,104,586,8,1704
金湖鎮,山外里,337,93,98,528,3,1427
金湖鎮,溪湖里,301,54,71,426,12,1387
金湖鎮,蓮庵里,341,57,58,456,8,1512
金湖鎮,料羅里,385,83,107,575,3,1710
金湖鎮,新湖里,455,191,156,802,7,2439
金湖鎮,新湖里,412,129,118,659,7,1974
金湖鎮,新湖里,475,157,142,774,6,2182
金湖鎮,正義里,515,136,115,766,17,2312
金湖鎮,瓊林里,308,104,70,482,7,1454
金湖鎮,瓊林里,343,85,69,497,9,1423
金沙鎮,汶沙里,403,114,89,606,9,1902
金沙鎮,汶沙里,357,76,79,512,5,1442
金沙鎮,汶沙里,358,73,67,498,9,1509
金沙鎮,何斗里,399,89,102,590,8,1818
金沙鎮,浦山里,239,61,69,369,8,1123
金沙鎮,浦山里,206,38,47,291,6,970
金沙鎮,西園里,295,50,73,418,9,1435
金沙鎮,官嶼里,474,54,69,597,10,2005
金沙鎮,三山里,393,85,69,547,5,1769
金沙鎮,大洋里,245,51,55,351,12,1066
金沙鎮,光前里,261,64,46,371,11,1089
金沙鎮,光前里,230,52,61,343,8,1004
烈嶼鄉,林湖村,341,55,86,482,10,1448
烈嶼鄉,林湖村,344,61,91,496,9,1736
烈嶼鄉,黃埔村,313,54,46,413,6,1439
烈嶼鄉,西口村,412,83,71,566,12,2240
烈嶼鄉,上林村,274,24,59,357,3,1297
烈嶼鄉,上岐村,596,98,104,798,16,2596
烏坵鄉,大坵村,38,8,3,49,1,242
烏坵鄉,小坵村,26,4,2,32,0,265
