,2001年12月1日,1,2,3,4,5,,,
,,陳滄江,陳清寶#,楊肅元,吳成典*,陳水在,,,
,,民主進步黨,中國國民黨,親民黨,新黨,無,有效票,無效票,選舉人數
金城鎮,東門里,64,104,405,485,176,1234,24,1886
金城鎮,南門里,28,92,151,228,93,592,18,931
金城鎮,南門里,48,102,186,358,107,801,18,1235
金城鎮,西門里,48,94,137,266,97,642,11,1045
金城鎮,西門里,35,127,126,285,158,731,20,1186
金城鎮,西門里,32,114,169,403,154,872,14,1328
金城鎮,北門里,50,104,268,421,167,1010,15,1547
金城鎮,賢庵里,55,135,137,307,130,764,23,1221
金城鎮,金水里,14,106,132,115,76,443,11,664
金城鎮,古城里,46,162,215,268,158,849,23,1290
金城鎮,珠沙里,22,68,110,159,77,436,7,721
金寧鄉,古寧村,30,76,26,627,38,797,18,1227
金寧鄉,安美村,44,109,332,301,158,944,33,1512
金寧鄉,湖埔村,19,67,489,166,162,903,22,1350
金寧鄉,榜林村,147,141,212,328,118,946,29,1485
金寧鄉,盤山村,56,148,128,264,96,692,19,1190
金寧鄉,后盤村,19,51,63,152,20,305,11,516
金湖鎮,新市里,41,79,118,277,59,574,8,858
金湖鎮,新市里,28,96,125,274,81,604,8,944
金湖鎮,山外里,61,158,192,289,152,852,19,1353
金湖鎮,溪湖里,33,60,76,141,44,354,15,564
金湖鎮,蓮庵里,21,79,112,107,39,358,7,571
金湖鎮,料羅里,11,108,69,159,30,377,12,607
金湖鎮,新湖里,80,267,239,342,109,1037,24,1583
金湖鎮,正義里,78,227,78,123,79,585,28,863
金湖鎮,瓊林里,36,101,388,196,113,834,18,1193
金沙鎮,汶沙里,27,112,109,260,74,582,12,940
金沙鎮,汶沙里,17,130,95,284,85,611,22,1010
金沙鎮,何斗里,42,86,99,127,132,486,13,772
金沙鎮,浦山里,29,133,98,223,72,555,21,862
金沙鎮,西園里,22,82,53,77,68,302,13,558
金沙鎮,官嶼里,13,42,267,71,45,438,6,723
金沙鎮,三山里,25,94,71,188,55,433,10,723
金沙鎮,大洋里,21,27,39,163,45,295,7,459
金沙鎮,光前里,39,77,83,171,114,484,13,804
烈嶼鄉,林湖村,10,43,93,523,38,707,26,1148
烈嶼鄉,黃埔村,1,26,64,165,20,276,6,522
烈嶼鄉,西口村,5,30,48,262,55,400,19,747
烈嶼鄉,上林村,2,21,19,235,7,284,12,515
烈嶼鄉,上歧村,8,30,44,497,20,599,22,987
烏坵鄉,大坵村,6,15,9,5,2,37,0,282
