,2024年1月13日,1,2,3,,,
,,洪和成,陳玉珍*#,尚文凱,,,
,,無,中國國民黨,台灣民眾黨,有效票,無效票,選舉人數
金城鎮,東門里,23,313,137,473,13,1241
金城鎮,東門里,22,263,127,412,13,1044
金城鎮,東門里,21,288,129,438,11,1157
金城鎮,東門里,33,351,145,529,17,1284
金城鎮,南門里,28,364,117,509,19,1313
金城鎮,南門里,25,373,135,533,22,1491
金城鎮,南門里,26,297,114,437,7,1220
金城鎮,南門里,23,361,132,516,19,1233
金城鎮,西門里,34,326,136,496,15,1359
金城鎮,西門里,26,320,144,490,17,1326
金城鎮,西門里,17,318,119,454,19,1273
金城鎮,西門里,15,354,120,489,20,1336
金城鎮,西門里,11,331,134,476,19,1265
金城鎮,西門里,25,395,178,598,18,1387
金城鎮,西門里,17,392,151,560,11,1454
金城鎮,北門里,24,360,142,526,12,1346
金城鎮,北門里,25,270,120,415,14,1122
金城鎮,北門里,27,312,146,485,12,1363
金城鎮,賢庵里,18,374,187,579,10,1646
金城鎮,賢庵里,20,347,187,554,12,1556
金城鎮,賢庵里,38,363,215,616,15,1671
金城鎮,金水里,18,312,101,431,14,1204
金城鎮,金水里,19,248,99,366,7,1037
金城鎮,古城里,26,309,126,461,8,1362
金城鎮,古城里,17,278,136,431,10,1227
金城鎮,古城里,21,320,125,466,11,1469
金城鎮,珠沙里,20,216,190,426,6,1459
金城鎮,珠沙里,16,358,224,598,10,1484
金寧鄉,古寧村,24,408,101,533,12,1769
金寧鄉,古寧村,19,312,96,427,25,1570
金寧鄉,安美村,22,278,139,439,7,1231
金寧鄉,安美村,25,215,106,346,18,1083
金寧鄉,安美村,21,238,106,365,7,1032
金寧鄉,安美村,13,290,100,403,12,1113
金寧鄉,安美村,23,209,109,341,12,935
金寧鄉,湖埔村,24,349,158,531,15,1561
金寧鄉,湖埔村,19,279,135,433,7,1146
金寧鄉,湖埔村,24,330,160,514,16,1304
金寧鄉,湖埔村,55,202,247,504,24,954
金寧鄉,湖埔村,30,308,163,501,16,1222
金寧鄉,湖埔村,21,387,159,567,17,1404
金寧鄉,榜林村,11,257,120,388,11,1015
金寧鄉,榜林村,26,219,90,335,8,957
金寧鄉,榜林村,29,375,171,575,18,1815
金寧鄉,榜林村,37,394,170,601,18,1587
金寧鄉,盤山村,19,371,159,549,15,1588
金寧鄉,盤山村,19,248,108,375,11,1091
金寧鄉,盤山村,37,293,212,542,19,1495
金寧鄉,盤山村,26,286,129,441,13,1259
金寧鄉,盤山村,55,245,245,545,30,1098
金寧鄉,后盤村,25,412,137,574,19,1716
金湖鎮,新市里,40,322,143,505,13,1198
金湖鎮,新市里,26,341,121,488,16,1199
金湖鎮,新市里,26,348,181,555,27,1453
金湖鎮,山外里,41,445,219,705,32,1909
金湖鎮,山外里,24,385,130,539,14,1431
金湖鎮,溪湖里,20,307,147,474,8,1594
金湖鎮,蓮庵里,21,406,166,593,11,1727
金湖鎮,料羅里,18,251,99,368,8,1047
金湖鎮,料羅里,31,259,161,451,19,1160
金湖鎮,新湖里,33,368,191,592,21,1462
金湖鎮,新湖里,44,332,253,629,21,1658
金湖鎮,新湖里,29,391,180,600,18,1618
金湖鎮,新湖里,33,426,225,684,25,1679
金湖鎮,新湖里,31,362,152,545,11,1560
金湖鎮,正義里,14,298,132,444,9,1261
金湖鎮,正義里,20,329,139,488,17,1421
金湖鎮,瓊林里,26,413,189,628,13,1671
金湖鎮,瓊林里,24,394,181,599,12,1624
金沙鎮,汶沙里,9,173,80,262,8,856
金沙鎮,汶沙里,8,233,101,342,11,1008
金沙鎮,汶沙里,25,382,145,552,10,1498
金沙鎮,汶沙里,32,412,148,592,17,1630
金沙鎮,何斗里,5,210,109,324,8,963
金沙鎮,何斗里,18,240,80,338,11,1086
金沙鎮,浦山里,15,300,119,434,10,1243
金沙鎮,浦山里,18,286,65,369,15,1120
金沙鎮,西園里,8,317,121,446,9,1572
金沙鎮,官嶼里,14,245,116,375,8,1255
金沙鎮,官嶼里,7,223,62,292,7,953
金沙鎮,三山里,6,247,73,326,5,1025
金沙鎮,三山里,12,209,100,321,5,902
金沙鎮,大洋里,15,291,120,426,7,1161
金沙鎮,光前里,11,309,121,441,16,1275
金沙鎮,光前里,11,263,105,379,13,1059
烈嶼鄉,林湖村,25,319,191,535,11,1574
烈嶼鄉,林湖村,21,348,164,533,6,1703
烈嶼鄉,黃埔村,33,266,198,497,17,1668
烈嶼鄉,西口村,19,189,119,327,6,1280
烈嶼鄉,西口村,14,180,112,306,8,1082
烈嶼鄉,上林村,34,230,106,370,8,1420
烈嶼鄉,上岐村,35,282,106,423,15,1431
烈嶼鄉,上岐村,27,218,141,386,6,1398
烏坵鄉,大坵村,6,49,20,75,0,278
烏坵鄉,小坵村,0,30,10,40,0,283
