,2024年1月13日,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,,,
,,小民參政歐巴桑聯盟,台灣綠黨,臺灣雙語無法黨,台灣基進,中華統一促進黨,民主進步黨,制度救世島,時代力量,中國國民黨,司法改革黨,新黨,台灣民眾黨,台灣維新,親民黨,人民最大黨,台灣團結聯盟,,,
,,小民參政歐巴桑聯盟,台灣綠黨,臺灣雙語無法黨,台灣基進,中華統一促進黨,民主進步黨,制度救世島,時代力量,中國國民黨,司法改革黨,新黨,台灣民眾黨,台灣維新,親民黨,人民最大黨,台灣團結聯盟,有效票,無效票,選舉人數
金城鎮,東門里,1,2,1,0,0,33,0,1,306,2,13,115,1,1,1,0,477,9,1242
金城鎮,東門里,1,0,1,0,0,33,0,1,271,0,9,96,0,2,0,0,414,13,1052
金城鎮,東門里,3,1,2,0,5,27,0,5,285,0,6,103,0,2,0,0,439,10,1163
金城鎮,東門里,0,1,3,1,4,45,0,5,338,2,21,111,0,5,0,1,537,10,1295
金城鎮,南門里,3,1,0,2,0,44,0,6,326,0,9,120,0,5,0,1,517,12,1317
金城鎮,南門里,3,3,2,2,1,41,0,4,347,3,12,122,2,3,0,0,545,12,1501
金城鎮,南門里,2,1,2,2,2,33,0,3,309,0,8,75,0,3,0,1,441,4,1227
金城鎮,南門里,1,1,4,0,3,39,0,9,361,1,7,92,0,4,0,0,522,13,1235
金城鎮,西門里,1,1,3,0,3,44,0,5,299,7,16,116,0,3,3,0,501,11,1361
金城鎮,西門里,4,3,3,0,1,28,0,8,330,5,6,113,1,3,0,0,505,5,1332
金城鎮,西門里,2,1,0,0,0,31,1,7,314,4,10,94,0,4,0,0,468,6,1280
金城鎮,西門里,6,2,1,0,3,41,0,6,347,1,6,86,0,1,0,0,500,10,1344
金城鎮,西門里,4,2,1,0,3,38,0,7,337,2,9,84,0,4,0,0,491,6,1275
金城鎮,西門里,7,4,5,3,2,48,0,10,380,1,11,135,0,6,0,0,612,9,1395
金城鎮,西門里,1,2,1,3,3,43,0,15,394,1,11,89,0,1,1,2,567,7,1462
金城鎮,北門里,3,1,3,2,2,38,0,14,341,5,13,108,0,2,0,1,533,6,1355
金城鎮,北門里,3,1,1,0,2,30,0,4,331,0,7,88,0,1,0,0,468,9,1333
金城鎮,北門里,2,0,2,1,1,46,2,5,299,0,17,113,0,1,0,3,492,7,1374
金城鎮,賢庵里,4,2,2,0,7,40,1,5,370,0,6,137,1,3,0,0,578,14,1660
金城鎮,賢庵里,1,3,2,1,2,47,1,10,350,0,15,127,0,2,2,0,563,9,1577
金城鎮,賢庵里,2,5,1,1,4,65,0,7,364,0,17,154,0,4,1,0,625,11,1686
金城鎮,金水里,2,1,1,0,1,39,0,11,276,2,12,92,0,2,0,0,439,7,1208
金城鎮,金水里,1,1,4,0,3,32,0,5,248,0,5,68,0,0,0,0,367,10,1042
金城鎮,古城里,2,3,1,1,2,55,0,6,291,2,5,92,0,3,1,0,464,6,1375
金城鎮,古城里,4,3,1,1,1,36,2,8,272,0,5,90,0,3,1,0,427,16,1229
金城鎮,古城里,2,5,1,2,0,37,0,6,330,1,8,79,0,1,0,0,472,9,1478
金城鎮,珠沙里,2,3,4,0,1,25,0,7,284,3,13,77,1,1,0,1,422,9,1468
金城鎮,珠沙里,7,2,4,1,0,59,1,9,333,0,29,148,1,5,1,0,600,9,1500
金寧鄉,古寧村,2,0,1,1,1,31,0,10,384,0,6,84,1,1,2,5,529,17,1778
金寧鄉,古寧村,5,3,8,1,2,35,0,2,292,0,1,87,1,1,0,2,440,14,1576
金寧鄉,安美村,8,1,5,1,5,44,0,19,266,0,7,157,0,3,2,0,518,16,1521
金寧鄉,安美村,3,2,4,2,0,42,0,7,201,3,5,78,1,5,0,1,354,11,1087
金寧鄉,安美村,4,2,1,1,1,36,0,6,230,0,2,78,0,3,0,0,364,10,1038
金寧鄉,安美村,2,1,1,1,1,30,0,8,274,0,2,79,0,3,0,0,402,13,1119
金寧鄉,安美村,2,1,1,0,0,32,1,8,215,0,6,72,0,3,0,0,341,14,942
金寧鄉,湖埔村,6,6,6,3,1,53,2,10,322,2,3,126,0,2,1,0,543,4,1569
金寧鄉,湖埔村,3,0,1,2,0,35,0,4,276,0,1,102,0,3,1,2,430,12,1149
金寧鄉,湖埔村,3,3,1,0,0,53,0,9,325,0,10,121,0,2,0,0,527,5,1315
金寧鄉,湖埔村,11,6,7,4,1,61,0,26,128,4,2,268,1,4,0,1,524,15,978
金寧鄉,湖埔村,4,0,1,0,3,49,0,6,292,0,4,148,0,6,0,0,513,9,1236
