,,1,2,3,4,5,6,7,8,9,10,11,12,13,,,
7,,李麗貌*#,王再生*#,楊應雄*#,陳向鑫,蔡春生*,鄭根本,李應文,周子傑,謝東龍*,張志凱,陳玉珍#,李成義*,蔡水游*#,,,
,,中國國民黨,無,中國國民黨,中國國民黨,無,無,中國國民黨,無,無,無,無,無,無,有效票,無效票,選舉人數
金湖鎮,新市里,113,55,59,41,52,9,45,86,95,3,12,134,73,777,27,1578
金湖鎮,新市里,109,60,62,60,61,1,40,116,101,5,18,102,59,794,25,1553
金湖鎮,山外里,78,49,44,29,33,3,24,108,47,1,10,68,76,570,13,1070
金湖鎮,山外里,86,44,45,32,25,1,26,82,55,1,9,130,60,596,22,1225
金湖鎮,溪湖里,57,68,42,35,11,7,9,71,50,4,3,69,44,470,14,943
金湖鎮,蓮庵里,43,34,28,23,22,16,23,74,65,3,2,68,63,464,16,986
金湖鎮,料羅里,33,65,32,19,39,4,10,39,248,7,1,42,33,572,7,1143
金湖鎮,新湖里,118,81,31,57,72,14,36,89,194,7,7,145,67,918,38,1865
金湖鎮,新湖里,135,80,64,77,69,10,57,92,153,8,8,144,115,1012,39,2014
金湖鎮,正義里,53,60,43,265,72,7,12,49,92,3,7,69,76,808,42,1543
金湖鎮,瓊林里,36,26,31,14,19,0,17,23,58,1,2,46,299,572,8,1115
金湖鎮,瓊林里,57,33,40,12,24,4,9,51,29,1,1,26,141,428,19,848
金沙鎮,汶沙里,117,162,157,11,60,13,23,53,66,10,4,39,69,784,20,1459
金沙鎮,汶沙里,211,108,163,25,75,7,50,40,141,28,1,37,90,976,26,1860
金沙鎮,何斗里,105,78,63,8,98,7,33,8,77,5,3,41,138,664,14,1270
金沙鎮,浦山里,108,29,59,22,251,10,59,49,67,3,6,35,64,762,18,1387
金沙鎮,西園里,81,32,66,12,37,14,15,22,60,2,3,28,71,443,17,984
金沙鎮,官嶼里,196,37,146,19,27,3,92,35,60,3,1,17,42,678,16,1343
金沙鎮,三山里,120,83,96,17,49,20,49,39,38,4,6,40,36,597,16,1172
金沙鎮,大洋里,95,45,31,9,28,6,18,30,19,7,10,45,56,399,10,711
金沙鎮,光前里,193,91,82,14,146,5,25,26,47,7,3,47,92,778,23,1439
