,2026年11月28日,1,2,3,4,5,6,7,8,9,10,,,
10,,候選人A,候選人B,候選人C,候選人D,候選人E,候選人F,候選人G,候選人H,候選人I,候選人J,,,
,,無,無,無,無,無,無,無,無,無,無,有效票,無效,選舉人數
金城鎮,東門里,0,0,0,0,0,0,0,0,0,0,0,0,0
金城鎮,東門里,0,0,0,0,0,0,0,0,0,0,0,0,0
金城鎮,東門里,0,0,0,0,0,0,0,0,0,0,0,0,0
金城鎮,南門里,0,0,0,0,0,0,0,0,0,0,0,0,0
金城鎮,南門里,0,0,0,0,0,0,0,0,0,0,0,0,0
金城鎮,南門里,0,0,0,0,0,0,0,0,0,0,0,0,0
金城鎮,西門里,0,0,0,0,0,0,0,0,0,0,0,0,0
金城鎮,西門里,0,0,0,0,0,0,0,0,0,0,0,0,0
金城鎮,西門里,0,0,0,0,0,0,0,0,0,0,0,0,0
金城鎮,西門里,0,0,0,0,0,0,0,0,0,0,0,0,0
金城鎮,西門里,0,0,0,0,0,0,0,0,0,0,0,0,0
金城鎮,西門里,0,0,0,0,0,0,0,0,0,0,0,0,0
金城鎮,北門里,0,0,0,0,0,0,0,0,0,0,0,0,0
金城鎮,北門里,0,0,0,0,0,0,0,0,0,0,0,0,0
金城鎮,北門里,0,0,0,0,0,0,0,0,0,0,0,0,0
金城鎮,賢庵里,0,0,0,0,0,0,0,0,0,0,0,0,0
金城鎮,賢庵里,0,0,0,0,0,0,0,0,0,0,0,0,0
金城鎮,賢庵里,0,0,0,0,0,0,0,0,0,0,0,0,0
金城鎮,金水里,0,0,0,0,0,0,0,0,0,0,0,0,0
金城鎮,古城里,0,0,0,0,0,0,0,0,0,0,0,0,0
金城鎮,古城里,0,0,0,0,0,0,0,0,0,0,0,0,0
金城鎮,古城里,0,0,0,0,0,0,0,0,0,0,0,0,0
金城鎮,珠沙里,0,0,0,0,0,0,0,0,0,0,0,0,0
金城鎮,珠沙里,0,0,0,0,0,0,0,0,0,0,0,0,0
金寧鄉,古寧村,0,0,0,0,0,0,0,0,0,0,0,0,0
金寧鄉,古寧村,0,0,0,0,0,0,0,0,0,0,0,0,0
金寧鄉,安美村,0,0,0,0,0,0,0,0,0,0,0,0,0
金寧鄉,安美村,0,0,0,0,0,0,0,0,0,0,0,0,0
金寧鄉,安美村,0,0,0,0,0,0,0,0,0,0,0,0,0
金寧鄉,安美村,0,0,0,0,0,0,0,0,0,0,0,0,0
金寧鄉,安美村,0,0,0,0,0,0,0,0,0,0,0,0,0
金寧鄉,湖埔村,0,0,0,0,0,0,0,0,0,0,0,0,0
金寧鄉,湖埔村,0,0,0,0,0,0,0,0,0,0,0,0,0
金寧鄉,湖埔村,0,0,0,0,0,0,0,0,0,0,0,0,0
金寧鄉,湖埔村,0,0,0,0,0,0,0,0,0,0,0,0,0
金寧鄉,湖埔村,0,0,0,0,0,0,0,0,0,0,0,0,0
金寧鄉,湖埔村,0,0,0,0,0,0,0,0,0,0,0,0,0
金寧鄉,榜林村,0,0,0,0,0,0,0,0,0,0,0,0,0
金寧鄉,榜林村,0,0,0,0,0,0,0,0,0,0,0,0,0
金寧鄉,榜林村,0,0,0,0,0,0,0,0,0,0,0,0,0
金寧鄉,榜林村,0,0,0,0,0,0,0,0,0,0,0,0,0
金寧鄉,盤山村,0,0,0,0,0,0,0,0,0,0,0,0,0
金寧鄉,盤山村,0,0,0,0,0,0,0,0,0,0,0,0,0
金寧鄉,盤山村,0,0,0,0,0,0,0,0,0,0,0,0,0
金寧鄉,盤山村,0,0,0,0,0,0,0,0,0,0,0,0,0
金寧鄉,盤山村,0,0,0,0,0,0,0,0,0,0,0,0,0
金寧鄉,后盤村,0,0,0,0,0,0,0,0,0,0,0,0,0
烏坵鄉,大坵村,0,0,0,0,0,0,0,0,0,0,0,0,0
烏坵鄉,小坵村,0,0,0,0,0,0,0,0,0,0,0,0,0
