,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,,,
17,,楊財祥,許建中*#,張慧玲,洪麗萍*,楊重城,王國代,許華玉*!,林水泉,張君玉,朱吉龍,莊良時*#,翁明堆,高丹華,王再生*,林茂林,周志文,趙詩姿,許玉昭*#,陳永財,王水彰,倪振金,董東漢*#,謝宜璋*#,張光海*#,陳水賜#,洪成發*#,吳成宗,石兆緡,陳怡利,翁伸金,林梅雀,章玉蘭,高春美,王彬彬,陳清煌,李沃士*,翁恆忠,辛愛華,沈炎平,蔡水游*#,洪允典*#,李錫民,許永鎮*,孫惠文,陳恩賜*#,賴育茜#,陳玉珍*,楊應雄*,,,
,,民主進步黨,中國國民黨,無,中國國民黨,無,民主進步黨,中國國民黨,無,中國國民黨,無,中國國民黨,中國國民黨,民主進步黨,中國國民黨,無,中國國民黨,民主進步黨,中國國民黨,中國國民黨,中國國民黨,無,親民黨,無,中國國民黨,無,中國國民黨,無,無,無,無,無,中國國民黨,中國國民黨,無,中國國民黨,新黨,親民黨,親民黨,無,無,無,中國國民黨,無,無,無,無,無,新黨,有效票,無效票,選舉人數
金城鎮,東門里,11,36,6,65,25,5,14,4,6,3,28,3,6,78,8,6,10,34,13,8,22,38,88,54,81,46,11,43,6,19,30,9,4,35,5,48,4,11,29,29,60,13,101,15,24,12,65,31,1302,12,1907
金城鎮,西門里,26,102,18,39,44,2,32,7,11,6,62,15,9,122,8,48,11,61,12,17,40,130,79,89,58,114,36,120,7,11,56,26,3,24,9,120,16,11,78,64,110,32,64,29,125,37,111,70,2321,19,3605
金城鎮,南門里,16,46,6,31,22,3,45,3,6,9,31,9,7,126,10,5,11,46,4,12,22,61,52,89,31,87,17,36,14,7,38,12,3,12,14,69,7,12,50,27,76,34,36,21,45,18,90,26,1454,26,2185
金城鎮,北門里,25,38,6,27,15,7,11,1,6,3,25,7,8,25,2,6,3,51,5,14,15,49,46,29,17,43,11,48,2,8,51,12,3,28,9,51,13,8,19,34,55,14,32,12,45,20,36,40,1035,13,1570
金城鎮,古城里,1,17,2,10,2,2,14,0,2,1,9,2,0,32,2,2,2,45,1,7,228,221,19,11,22,22,4,8,0,0,4,34,4,0,2,15,1,8,2,10,32,1,24,11,18,3,36,8,901,13,1305
金城鎮,金水里,5,18,1,5,1,0,159,1,1,0,6,1,0,23,0,0,4,26,0,1,5,12,14,15,21,45,1,6,0,6,1,2,2,1,0,14,0,4,3,15,10,0,15,3,5,7,13,12,484,5,665
金城鎮,珠沙里,4,15,6,14,2,0,6,0,1,2,11,1,0,13,3,2,0,27,1,7,14,40,34,34,17,3,3,5,0,2,1,8,0,1,4,16,5,1,8,11,9,0,32,0,18,52,15,20,468,5,728
金城鎮,賢庵里,2,45,3,32,18,5,41,1,2,0,18,6,4,20,4,3,16,37,7,6,19,51,45,25,35,36,12,23,4,4,5,8,4,7,3,32,0,3,7,44,28,5,30,11,32,13,43,16,815,18,1230
