,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,,,
12,,洪麗萍*#,李誠智*#,胡偉生,陳滄江,洪篤全,王碧珍*,楊永立*#,許燕道*#,許玉昭*#,李錫添,唐麗輝*,許華玉#,歐陽儀雄*,許建中*#,洪允典*#,林金量*,林孫全*,,,
,,中國國民黨,中國國民黨,中國國民黨,民主進步黨,無,無,無,無,中國國民黨,中國國民黨,無,中國國民黨,無,中國國民黨,中國國民黨,中國國民黨,中國國民黨,有效票數,無效票數,選舉人數
金城鎮,東門里,22,20,37,51,4,66,85,173,47,44,87,18,41,47,54,10,36,842,22,1619
金城鎮,東門里,53,48,33,72,5,85,83,148,53,20,66,37,108,83,32,13,54,993,15,1795
金城鎮,南門里,29,79,31,38,2,76,49,55,44,21,100,46,79,99,62,10,30,850,25,1600
金城鎮,南門里,18,23,11,41,5,51,27,33,25,20,55,30,29,44,22,3,17,454,15,985
金城鎮,南門里,1,31,31,35,9,47,59,51,29,21,80,38,83,42,33,11,23,624,11,1109
金城鎮,西門里,43,81,41,47,5,65,67,69,48,31,131,29,61,84,23,12,34,871,20,1694
金城鎮,西門里,29,55,47,67,4,98,81,49,86,48,120,60,69,72,99,17,32,1033,23,2005
金城鎮,西門里,24,26,33,65,7,72,77,27,26,26,60,54,112,66,39,14,44,772,15,1422
金城鎮,西門里,26,41,40,52,5,95,64,62,75,25,60,47,50,63,47,9,38,799,24,1467
金城鎮,北門里,23,22,50,50,4,48,49,40,33,39,52,21,29,75,75,12,43,665,15,1273
金城鎮,北門里,41,39,48,68,4,89,33,67,44,47,55,40,83,72,47,23,21,821,13,1605
金城鎮,賢庵里,31,48,26,42,3,46,65,31,49,34,54,90,41,37,23,27,49,696,16,1433
金城鎮,賢庵里,22,30,12,44,4,61,21,24,47,18,28,66,14,37,22,4,130,584,8,1076
金城鎮,金水里,17,26,14,10,36,26,45,16,42,12,49,179,39,52,22,2,56,643,20,1262
金城鎮,古城里,30,46,8,9,6,29,34,15,25,16,12,10,37,67,17,5,107,473,5,889
金城鎮,古城里,22,45,9,15,3,52,23,29,54,16,22,63,22,52,26,3,284,740,10,1337
金城鎮,珠沙里,22,39,15,29,7,42,36,55,46,13,40,42,266,41,23,11,70,797,17,1682
金寧鄉,古寧村,5,153,6,28,3,40,55,63,46,276,19,28,55,89,25,5,86,982,34,1901
金寧鄉,安美村,18,42,33,33,9,53,72,55,71,32,27,36,67,81,117,9,17,772,16,1429
金寧鄉,安美村,8,92,20,17,0,36,87,36,24,19,25,11,60,54,47,18,32,586,11,1024
金寧鄉,湖埔村,6,9,12,8,0,23,400,21,40,9,25,9,31,26,18,1,8,646,13,1248
金寧鄉,湖埔村,33,109,33,84,6,70,110,38,63,41,40,34,74,108,26,18,26,913,9,1683
金寧鄉,榜林村,16,36,17,78,1,50,105,73,185,27,46,40,44,65,39,24,22,868,25,1683
金寧鄉,榜林村,9,4,12,18,0,33,21,24,28,9,23,19,41,227,13,6,18,505,6,1015
金寧鄉,盤山村,24,55,24,31,3,105,44,35,78,52,35,23,39,55,96,14,16,729,33,1452
金寧鄉,盤山村,25,39,29,75,5,44,62,38,71,43,38,18,19,31,21,8,22,588,18,1178
金寧鄉,后盤村,11,5,5,20,16,63,47,33,49,14,9,65,10,48,7,7,37,446,5,898
烈嶼鄉,林湖村,338,36,15,27,4,20,43,31,42,7,11,34,33,5,181,382,39,1248,28,2084
烈嶼鄉,黃埔村,162,9,3,3,3,4,10,16,7,4,3,3,14,15,154,143,5,558,7,873
烈嶼鄉,西口村,174,5,9,9,2,37,23,55,15,2,3,3,21,18,178,174,6,734,22,1333
烈嶼鄉,上林村,82,4,1,9,4,5,9,12,13,0,5,2,22,2,149,136,22,477,6,836
烈嶼鄉,上岐村,259,18,10,8,5,11,33,17,44,7,15,11,12,10,366,150,37,1013,15,1684
烏坵鄉,大坵村,1,10,2,1,0,1,0,0,38,9,1,0,8,40,0,1,0,112,2,157
烏坵鄉,小坵村,8,32,0,3,0,2,2,1,42,0,0,5,1,26,0,3,1,126,1,182
