,2009年12月5日,1,2,3,4,5,6,,,
,,石兆瑉*,楊春木,許金象,周浯斌,陳天成,歐陽彥木,,,
,,中國國民黨,無,無,無,無,無,有效票,無效票,選舉人數
金城鎮,東門里,201,6,72,157,209,200,845,20,1617
金城鎮,東門里,300,5,65,174,208,238,990,15,1792
金城鎮,南門里,256,3,59,130,173,231,852,22,1598
金城鎮,南門里,147,1,21,79,100,104,452,14,981
金城鎮,南門里,230,2,48,108,123,109,620,13,1107
金城鎮,西門里,365,3,31,177,172,126,874,16,1692
金城鎮,西門里,403,7,80,167,206,167,1030,22,1995
金城鎮,西門里,298,6,33,117,176,137,767,18,1421
金城鎮,西門里,284,7,41,134,171,168,805,17,1462
金城鎮,北門里,182,4,28,197,161,96,668,11,1272
金城鎮,北門里,229,3,16,274,136,160,818,16,1599
金城鎮,賢庵里,199,4,41,131,140,175,690,17,1428
金城鎮,賢庵里,148,0,61,42,146,180,577,15,1073
金城鎮,金水里,147,1,46,71,175,201,641,22,1254
金城鎮,古城里,98,3,17,34,74,243,469,9,889
金城鎮,古城里,176,1,42,51,153,317,740,10,1336
金城鎮,珠沙里,167,6,43,101,151,317,785,25,1676
