,2018年11月24日,1,2,3,4,5,,,
,,吳伯揚,歐陽彥木,李誠智*,許丕肯,許燕輝,,,
,,無,無,中國國民黨,青年陽光黨,無,有效票,無效票,選舉人數
金城鎮,東門里,63,187,127,14,186,577,28,1350
金城鎮,東門里,79,166,235,40,288,808,21,1750
金城鎮,東門里,71,203,220,20,192,706,22,1680
金城鎮,南門里,56,151,269,42,246,764,20,1833
金城鎮,南門里,60,119,210,28,194,611,26,1620
金城鎮,南門里,135,219,298,29,180,861,29,1833
金城鎮,西門里,72,146,187,15,169,589,35,1557
金城鎮,西門里,74,168,207,19,146,614,24,1620
金城鎮,西門里,87,170,183,15,154,609,30,1531
金城鎮,西門里,79,191,240,11,159,680,17,1629
金城鎮,西門里,83,183,230,10,184,690,28,1667
金城鎮,西門里,72,190,253,18,119,652,18,1490
金城鎮,北門里,128,227,194,32,191,772,30,2007
金城鎮,北門里,128,211,216,33,175,763,18,1965
金城鎮,賢庵里,109,285,310,28,207,939,39,2435
金城鎮,賢庵里,131,253,274,14,164,836,29,2014
金城鎮,金水里,78,351,242,19,152,842,40,2079
金城鎮,古城里,74,415,190,17,210,906,36,2364
金城鎮,古城里,46,165,187,10,52,460,20,1304
金城鎮,珠沙里,49,279,141,8,96,573,18,1539
金城鎮,珠沙里,69,170,148,11,110,508,17,1239
