,2018年11月24日,1,2,3,4,5,,,
,,楊忠俊*,翁文雅,許慧新,陳成泉,李正騰,,,
,,無,無,無,中國國民黨,中國國民黨,有效票,無效票,選舉人數
金寧鄉,古寧村,59,18,26,75,406,584,30,1688
金寧鄉,古寧村,37,5,20,82,416,560,24,1491
金寧鄉,安美村,218,41,88,232,145,724,45,1694
金寧鄉,安美村,74,18,65,87,162,406,16,984
金寧鄉,安美村,332,26,63,202,141,764,31,1655
金寧鄉,湖埔村,505,15,18,78,36,652,15,1620
金寧鄉,湖埔村,284,43,94,113,83,617,69,1512
金寧鄉,湖埔村,160,42,75,401,138,816,28,1776
金寧鄉,湖埔村,186,31,80,282,106,685,27,1674
金寧鄉,榜林村,169,59,116,149,191,684,36,1737
金寧鄉,榜林村,85,17,339,107,76,624,30,1777
金寧鄉,榜林村,109,31,148,146,144,578,31,1466
金寧鄉,盤山村,99,113,84,147,154,597,14,1416
金寧鄉,盤山村,109,71,145,192,134,651,28,1626
金寧鄉,盤山村,121,74,156,126,95,572,111,1373
金寧鄉,盤山村,99,48,81,122,135,485,21,1250
金寧鄉,后盤村,117,42,186,130,130,605,18,1497
