,2018年11月24日,1,2,3,4,,,
,,張翰林,吳有家*,王國代,王石堆,,,
,,無,無,無,中國國民黨,有效票,無效票,選舉人數
金沙鎮,汶沙里,41,332,39,368,780,20,1849
金沙鎮,汶沙里,43,276,54,331,704,11,1476
金沙鎮,汶沙里,41,200,34,363,638,12,1629
金沙鎮,何斗里,37,453,66,282,838,31,1953
金沙鎮,浦山里,27,213,94,220,554,11,1172
金沙鎮,浦山里,22,193,135,113,463,8,1095
金沙鎮,西園里,38,224,67,190,519,16,1473
金沙鎮,官嶼里,27,232,58,132,449,10,1174
金沙鎮,官嶼里,125,106,21,92,344,13,926
金沙鎮,三山里,70,312,65,327,774,18,1830
金沙鎮,大洋里,8,416,13,113,550,11,1088
金沙鎮,光前里,37,312,46,132,527,15,1195
金沙鎮,光前里,35,326,54,111,526,7,1090
