,2026年11月28日,1,2,3,,,
,,候選人A,候選人B,候選人C,,,
,,無,無,無,有效票,無效票,選舉人數
金城鎮,東門里,0,0,0,0,0,0
金城鎮,東門里,0,0,0,0,0,0
金城鎮,東門里,0,0,0,0,0,0
金城鎮,南門里,0,0,0,0,0,0
金城鎮,南門里,0,0,0,0,0,0
金城鎮,南門里,0,0,0,0,0,0
金城鎮,西門里,0,0,0,0,0,0
金城鎮,西門里,0,0,0,0,0,0
金城鎮,西門里,0,0,0,0,0,0
金城鎮,西門里,0,0,0,0,0,0
金城鎮,西門里,0,0,0,0,0,0
金城鎮,西門里,0,0,0,0,0,0
金城鎮,北門里,0,0,0,0,0,0
金城鎮,北門里,0,0,0,0,0,0
金城鎮,北門里,0,0,0,0,0,0
金城鎮,賢庵里,0,0,0,0,0,0
金城鎮,賢庵里,0,0,0,0,0,0
金城鎮,賢庵里,0,0,0,0,0,0
金城鎮,金水里,0,0,0,0,0,0
金城鎮,古城里,0,0,0,0,0,0
金城鎮,古城里,0,0,0,0,0,0
金城鎮,古城里,0,0,0,0,0,0
金城鎮,珠沙里,0,0,0,0,0,0
金城鎮,珠沙里,0,0,0,0,0,0
