,2026年11月28日,1,2,3,,,
,,候選人A,候選人B,候選人C,,,
,,無,無,無,有效票,無效票,選舉人數
金寧鄉,古寧村,0,0,0,0,0,0
金寧鄉,古寧村,0,0,0,0,0,0
金寧鄉,安美村,0,0,0,0,0,0
金寧鄉,安美村,0,0,0,0,0,0
金寧鄉,安美村,0,0,0,0,0,0
金寧鄉,安美村,0,0,0,0,0,0
金寧鄉,安美村,0,0,0,0,0,0
金寧鄉,湖埔村,0,0,0,0,0,0
金寧鄉,湖埔村,0,0,0,0,0,0
金寧鄉,湖埔村,0,0,0,0,0,0
金寧鄉,湖埔村,0,0,0,0,0,0
金寧鄉,湖埔村,0,0,0,0,0,0
金寧鄉,湖埔村,0,0,0,0,0,0
金寧鄉,榜林村,0,0,0,0,0,0
金寧鄉,榜林村,0,0,0,0,0,0
金寧鄉,榜林村,0,0,0,0,0,0
金寧鄉,榜林村,0,0,0,0,0,0
金寧鄉,盤山村,0,0,0,0,0,0
金寧鄉,盤山村,0,0,0,0,0,0
金寧鄉,盤山村,0,0,0,0,0,0
金寧鄉,盤山村,0,0,0,0,0,0
金寧鄉,盤山村,0,0,0,0,0,0
金寧鄉,后盤村,0,0,0,0,0,0
