,2002年1月26日,1,2,3,4,5,6,7,8,9,,,
,,顏伯義,楊志人,蔡輝詩*,楊耀芸,周浯斌,趙瑞英,陳金階,陳天成,歐陽彥木,,,
,,無,無,中國國民黨,親民黨,新黨,無,無,無,無,有效票,無效票,選舉人數
金城鎮,東門里,201,119,289,206,280,30,25,58,85,1293,19,1901
金城鎮,西門里,122,167,688,356,544,77,58,128,150,2290,42,3592
金城鎮,南門里,35,65,263,695,219,55,18,66,34,1450,28,2177
金城鎮,北門里,53,34,179,113,471,21,19,99,43,1032,12,1566
金城鎮,古城里,67,123,206,154,106,27,54,57,97,891,20,1301
金城鎮,金水里,17,33,150,42,65,7,14,85,57,470,15,661
金城鎮,珠沙里,18,37,109,51,52,3,6,59,131,466,6,725
金城鎮,賢庵里,48,100,183,99,143,25,94,62,46,800,30,1227
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
