,2014年11月29日,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,,,
,,倪于媃*#,李玉葉#,許伯玉,張含麗*#,翁沂杰,郭永隆*#,李錫瑜*#,許淑慧,陳天成*#,翁根龍*#,王香蘭,許惠玲*#,林金英*,蘇碧浯*#,鄭志軍*#,胡凱宇*,,,
,,中國國民黨,中國國民黨,無,中國國民黨,無,中國國民黨,中國國民黨,中國國民黨,中國國民黨,無,親民黨,無,中國國民黨,無,無,中國國民黨,有效票,無效票,選舉人數
金城鎮,東門里,46,15,26,73,37,157,35,16,98,122,8,125,91,41,23,48,961,41,2091
金城鎮,東門里,46,31,22,81,38,103,53,32,104,175,29,144,125,49,34,48,1114,51,2405
金城鎮,南門里,16,15,39,32,22,41,29,76,78,67,8,65,69,39,56,24,676,43,1582
金城鎮,南門里,32,8,25,39,24,31,48,37,52,71,13,58,53,11,98,36,636,44,1568
金城鎮,南門里,33,14,41,107,22,53,34,58,57,55,23,47,69,53,145,34,845,21,1664
金城鎮,西門里,55,18,47,88,35,75,52,34,96,64,14,89,103,80,62,66,978,69,2225
金城鎮,西門里,53,54,37,89,38,61,49,47,154,18,43,59,66,39,40,116,963,76,2365
金城鎮,西門里,51,14,47,104,33,45,77,45,84,49,12,90,66,66,54,78,915,40,2026
金城鎮,西門里,55,55,20,71,30,61,39,41,119,61,19,63,103,65,64,95,961,59,2081
金城鎮,北門里,68,14,23,49,21,33,46,23,110,32,18,44,219,76,13,29,818,30,1861
金城鎮,北門里,53,23,19,26,9,28,31,26,62,39,20,53,222,35,30,45,721,41,1890
金城鎮,賢庵里,73,23,32,50,68,50,96,17,54,78,12,54,99,97,31,64,898,51,2154
金城鎮,賢庵里,41,12,43,32,59,57,40,27,122,55,5,68,35,53,9,30,688,42,1673
金城鎮,金水里,65,15,62,74,48,48,60,34,123,26,11,45,77,41,36,25,790,53,1743
金城鎮,古城里,22,4,13,13,9,21,229,35,21,49,1,10,17,52,3,19,518,33,1196
金城鎮,古城里,167,9,18,44,168,40,119,13,41,45,1,51,61,57,20,18,872,31,1927
金城鎮,珠沙里,74,12,74,138,33,42,126,32,105,40,17,93,54,15,81,41,977,45,2471
