,2014年11月29日,1,2,3,4,5,6,7,8,9,10,11,12,13,,,
,,陳水德*#,陳忠飛,蔡乃靖*#,呂世榮,楊玉樹,林麗芬*!#,陳向鑫*,李秀華*#,謝鴻儒*#,關志武*,呂瑞泰*#,洪海水,蔡建立*,,,
,,無,無,中國國民黨,中國國民黨,無,中國國民黨,中國國民黨,中國國民黨,中國國民黨,無,中國國民黨,民主進步黨,無,有效票,無效票,選舉人數
金湖鎮,新市里,77,54,43,32,24,51,55,76,125,118,76,35,74,840,40,1932
金湖鎮,新市里,50,137,62,39,31,50,67,43,138,81,77,55,63,893,30,1941
金湖鎮,山外里,181,31,23,20,16,24,36,49,76,89,54,36,34,669,36,1641
金湖鎮,山外里,70,18,40,13,15,24,45,45,100,53,61,78,40,602,29,1381
金湖鎮,溪湖里,53,30,33,17,32,18,35,22,87,84,86,15,21,533,32,1242
金湖鎮,蓮庵里,44,77,25,138,48,18,18,35,53,35,59,10,30,590,22,1401
金湖鎮,料羅里,49,72,37,68,19,22,21,16,128,64,46,31,80,653,32,1612
金湖鎮,新湖里,87,82,29,80,46,55,129,53,100,34,76,52,60,883,25,2221
金湖鎮,新湖里,45,40,31,33,57,27,98,58,51,80,149,44,59,772,28,1834
金湖鎮,新湖里,53,80,77,33,39,48,70,60,63,101,155,79,109,967,50,2097
金湖鎮,正義里,75,44,29,16,28,29,298,77,80,80,56,43,74,929,48,2142
金湖鎮,瓊林里,18,2,315,15,7,8,12,6,4,27,37,6,123,580,13,1356
金湖鎮,瓊林里,38,14,217,15,15,19,25,41,59,50,14,7,71,585,20,1327
