,2014年11月29日,1,2,3,4,5,6,7,8,9,10,11,,,
,,王石堆*#,王秀玉*#,吳有家*#,蔡連進,蔡寶愛*#,黃奕焮*#,黃聰成*#,周水土*#,黃仁德,黃漢強,陳應超,,,
,,中國國民黨,中國國民黨,中國國民黨,無,中國國民黨,中國國民黨,中國國民黨,中國國民黨,中國國民黨,中國國民黨,無,有效票,無效票,選舉人數
金沙鎮,汶沙里,125,116,54,16,95,121,33,39,22,37,60,718,22,1663
金沙鎮,汶沙里,94,54,16,8,70,114,120,40,70,31,41,658,25,1407
金沙鎮,汶沙里,161,48,15,11,102,87,48,31,20,15,31,569,26,1416
金沙鎮,何斗里,91,92,41,10,58,75,140,142,11,24,57,741,41,1718
金沙鎮,浦山里,27,20,39,6,14,12,8,334,16,10,18,504,16,1068
金沙鎮,浦山里,21,13,42,64,55,28,22,84,7,8,17,361,15,936
金沙鎮,西園里,113,53,26,6,54,55,83,48,11,34,54,537,14,1309
金沙鎮,官嶼里,85,50,83,14,172,103,20,57,6,10,49,649,40,1860
金沙鎮,三山里,107,97,33,11,69,98,55,29,17,53,97,666,29,1660
金沙鎮,大洋里,47,31,179,8,16,37,17,21,8,15,31,410,19,1006
金沙鎮,光前里,37,88,51,17,71,64,32,19,9,14,72,474,18,1030
金沙鎮,光前里,38,112,22,7,34,67,28,17,22,16,29,392,20,968
