,2018年11月24日,1,2,3,4,5,6,7,8,9,10,11,12,13,14,,,
,,蘇碧浯*#,洪嘉莉*,許惠玲#,莊泓杰,翁沂杰*,陳子芸*,林金英*#,郭永隆*#,胡凱宇*#,張含麗*#,倪于媃*#,辛素雲,李錫瑜*#,陳天成*#,,,
,,無,無,無,無,無,中國國民黨,中國國民黨,中國國民黨,中國國民黨,中國國民黨,中國國民黨,無,中國國民黨,中國國民黨,有效票,無效票,選舉人數
金城鎮,東門里,49,46,65,17,17,34,36,146,26,35,23,3,24,53,574,31,1350
金城鎮,東門里,73,52,125,5,44,32,45,103,34,60,47,29,63,76,788,41,1750
金城鎮,東門里,62,40,84,13,35,59,64,81,38,62,36,16,30,88,708,20,1680
金城鎮,南門里,68,71,71,12,47,49,84,62,52,51,50,14,36,83,750,35,1833
金城鎮,南門里,30,118,23,11,26,21,61,63,55,46,33,16,24,79,606,31,1620
金城鎮,南門里,83,190,32,7,37,34,64,39,90,96,50,11,57,68,858,31,1833
金城鎮,西門里,52,54,29,8,27,31,56,39,53,53,35,10,61,73,581,43,1557
金城鎮,西門里,54,34,15,17,44,30,70,36,48,48,60,8,69,66,599,39,1620
金城鎮,西門里,26,33,19,2,31,45,64,40,105,49,52,23,24,96,609,30,1531
金城鎮,西門里,56,43,28,8,43,32,56,47,95,63,54,17,37,88,667,30,1629
金城鎮,西門里,47,44,24,7,28,29,87,46,78,69,56,21,43,106,685,33,1667
金城鎮,西門里,61,57,31,40,27,17,62,46,81,53,44,16,50,55,640,29,1490
金城鎮,北門里,74,29,21,9,34,44,211,41,43,52,50,8,33,115,764,38,2007
金城鎮,北門里,68,49,28,7,28,29,275,31,39,21,44,20,36,77,752,30,1965
金城鎮,賢庵里,159,48,28,37,66,69,87,53,58,38,56,38,115,72,924,54,2435
金城鎮,賢庵里,99,42,32,7,49,180,40,50,36,35,58,27,52,123,830,35,2014
金城鎮,金水里,62,77,28,11,63,43,45,40,44,51,89,57,97,128,835,47,2079
金城鎮,古城里,35,17,54,10,140,21,45,33,44,41,202,114,109,39,904,38,2364
金城鎮,古城里,40,11,7,5,17,19,26,16,22,15,46,17,178,24,443,37,1304
金城鎮,珠沙里,21,87,35,10,17,32,26,14,45,121,54,6,41,53,562,29,1539
金城鎮,珠沙里,31,42,12,8,24,45,46,21,44,41,58,19,67,39,497,28,1239
