,2018年11月24日,1,2,3,4,5,6,7,8,9,10,11,,,
,,鍾尚志*,陳孝融*,辛愛華*#,黃文欣*,莊振源*,楊天造,翁明惠*#,周根在,李琳瑯*,楊水信*#,陳秀金*#,,,
,,無,無,中國國民黨,中國國民黨,無,無,無,無,無,無,無,有效票,無效票,選舉人數
金寧鄉,古寧村,47,27,16,54,55,34,27,10,238,45,34,587,27,1688
金寧鄉,古寧村,75,41,7,59,56,13,11,12,195,58,33,560,24,1491
金寧鄉,安美村,43,78,37,41,57,29,29,72,7,48,294,735,34,1694
金寧鄉,安美村,15,15,9,46,276,1,22,4,2,4,22,416,6,984
金寧鄉,安美村,34,69,162,68,115,38,99,25,23,46,82,761,34,1655
金寧鄉,湖埔村,47,27,36,105,53,47,51,41,12,185,32,636,31,1620
金寧鄉,湖埔村,54,52,47,57,53,62,79,34,13,128,19,598,88,1512
金寧鄉,湖埔村,84,211,54,88,96,33,57,30,32,73,51,809,35,1776
金寧鄉,湖埔村,54,75,74,99,67,63,59,45,33,63,41,673,39,1674
金寧鄉,榜林村,118,54,44,197,76,13,41,20,19,63,40,685,35,1737
金寧鄉,榜林村,61,74,43,119,74,33,74,30,20,42,43,613,41,1777
金寧鄉,榜林村,61,65,47,88,59,53,63,13,30,65,29,573,36,1466
金寧鄉,盤山村,26,37,136,26,57,29,187,26,9,37,17,587,24,1416
金寧鄉,盤山村,38,57,182,47,40,27,121,27,29,46,38,652,27,1626
金寧鄉,盤山村,53,79,67,40,16,22,179,40,26,32,16,570,113,1373
金寧鄉,盤山村,49,25,74,40,35,18,119,16,23,37,50,486,20,1250
金寧鄉,后盤村,48,58,45,80,117,6,73,32,12,57,60,588,35,1497
