,2018年11月24日,1,2,3,4,5,6,7,8,9,10,11,,,
9,,林麗芬*#,張中法,李秀華*#,蔡乃靖*#,陳秀卿*,蔡建立*#,洪海水*,陳水德#,蔡建偉2*,陳向鑫*#,林嘉森*,,,
,,中華民族致公黨,中華民族致公黨,無,無,無,中華民族致公黨,無,中華民族致公黨,無,中國國民黨,無,有效票,無效票,選舉人數
金湖鎮,新市里,79,15,64,24,47,66,35,38,103,63,24,558,31,1295
金湖鎮,新市里,91,8,74,22,51,65,34,32,79,47,47,550,19,1344
金湖鎮,新市里,83,14,71,42,33,54,44,23,131,66,77,638,32,1345
金湖鎮,山外里,96,21,76,35,32,87,67,126,101,53,45,739,30,1725
金湖鎮,山外里,32,45,42,37,13,30,95,39,80,38,178,629,27,1448
金湖鎮,溪湖里,58,61,83,43,41,60,18,38,115,57,71,645,28,1464
金湖鎮,蓮庵里,68,12,45,76,52,105,30,49,130,61,51,679,31,1558
金湖鎮,料羅里,111,21,36,50,32,159,51,32,138,59,41,730,36,1944
金湖鎮,新湖里,104,28,68,32,63,69,52,70,87,69,42,684,25,1703
金湖鎮,新湖里,42,17,152,40,48,57,43,35,79,116,38,667,33,1694
金湖鎮,新湖里,36,36,61,33,27,60,54,56,108,60,15,546,26,1336
金湖鎮,新湖里,62,28,69,43,33,74,51,44,91,62,29,586,26,1343
金湖鎮,新湖里,40,80,75,34,33,90,53,36,89,50,48,628,23,1249
金湖鎮,正義里,61,12,38,32,49,44,25,10,76,79,17,443,19,1196
金湖鎮,正義里,45,5,52,4,152,21,24,26,65,166,11,571,32,1330
金湖鎮,瓊林里,20,3,4,281,20,231,15,11,68,17,7,677,13,1581
金湖鎮,瓊林里,22,12,74,185,17,130,20,30,52,32,10,584,25,1465
