,2018年11月24日,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,,,
8,,黃奕焮*#,陳國琍,蔣光華,黃漢強,張振福,何開忠*,蔡寶愛*#,周水土*#,許玉治,蔡連進,陳應超,黃思金,黃聰成*#,馬自壯*,呂寶玉*!,張成爵*,,,
,,無,中國國民黨,無,無,無,無,無,無,無,中國國民黨,無,無,無,中國國民黨,無,無,有效票,無效票,選舉人數
金沙鎮,汶沙里,97,36,6,22,7,45,46,23,30,26,27,13,34,53,52,259,776,24,1849
金沙鎮,汶沙里,138,23,22,17,4,88,33,39,30,23,37,9,70,37,35,98,703,12,1476
金沙鎮,汶沙里,64,24,15,4,8,56,49,32,25,26,18,2,28,31,87,154,623,27,1629
金沙鎮,何斗里,65,27,12,14,17,47,37,116,14,20,61,11,161,206,16,21,845,24,1953
金沙鎮,浦山里,12,17,3,7,16,35,8,340,7,12,24,4,8,38,9,15,555,10,1172
金沙鎮,浦山里,29,20,7,7,11,78,34,70,12,97,11,3,36,18,8,18,459,12,1095
金沙鎮,西園里,58,29,11,28,3,20,22,33,10,27,25,12,106,60,23,34,501,34,1473
金沙鎮,官嶼里,82,20,14,14,9,33,35,21,23,30,43,1,7,74,11,17,434,25,1174
金沙鎮,官嶼里,20,11,18,7,10,10,90,27,18,12,24,2,14,20,9,46,338,19,926
金沙鎮,三山里,49,133,111,43,7,50,35,37,13,16,62,8,50,20,27,113,774,18,1830
金沙鎮,大洋里,36,47,12,11,4,71,8,21,5,48,63,15,99,45,21,39,545,15,1088
金沙鎮,光前里,58,35,14,13,5,22,61,15,19,64,73,10,39,44,19,31,522,20,1195
金沙鎮,光前里,73,31,11,26,10,28,33,19,17,55,41,49,29,41,23,27,513,20,1090
