,2022年11月26日,1,2,3,4,5,6,7,8,9,10,11,,,
7,,洪健中*,謝景瑜,陳家揚,洪雅明#*,陳秀治#,林宜蘭*,吳福全#*,林長耕#*,方駿洋#*,林長征#*,蔡昱軒,,,
,,無,無,無,無,無,中國國民黨,中國國民黨,無,中國國民黨,中國國民黨,無,有效票,無效票,選舉人數
烈嶼鄉,林湖村,29,22,39,83,45,99,44,142,28,131,11,673,12,1561
烈嶼鄉,林湖村,70,37,30,52,79,44,59,104,83,55,19,632,4,1685
烈嶼鄉,黃埔村,29,104,37,33,42,32,40,31,239,67,10,664,14,1636
烈嶼鄉,西口村,31,19,92,26,50,32,27,21,18,23,56,395,12,1255
烈嶼鄉,西口村,39,13,51,22,35,20,33,53,23,17,18,324,9,1075
烈嶼鄉,上林村,40,20,26,37,34,31,74,81,38,44,15,440,4,1404
烈嶼鄉,上岐村,183,13,25,67,21,98,61,26,19,11,3,527,10,1390
烈嶼鄉,上岐村,98,21,18,33,22,33,165,78,16,15,3,502,11,1406
