,2026年11月28日,1,2,3,4,5,6,7,8,9,10,,,
8,,侯選人A,侯選人B,侯選人C,侯選人D,侯選人E,侯選人F,侯選人G,侯選人H,侯選人I,侯選人J,,,
,,無,無,無,無,無,無,無,無,無,無,有效票,無效票,選舉人數
金沙鎮,汶沙里,0,0,0,0,0,0,0,0,0,0,0,0,0
金沙鎮,汶沙里,0,0,0,0,0,0,0,0,0,0,0,0,0
金沙鎮,汶沙里,0,0,0,0,0,0,0,0,0,0,0,0,0
金沙鎮,汶沙里,0,0,0,0,0,0,0,0,0,0,0,0,0
金沙鎮,何斗里,0,0,0,0,0,0,0,0,0,0,0,0,0
金沙鎮,何斗里,0,0,0,0,0,0,0,0,0,0,0,0,0
金沙鎮,浦山里,0,0,0,0,0,0,0,0,0,0,0,0,0
金沙鎮,浦山里,0,0,0,0,0,0,0,0,0,0,0,0,0
金沙鎮,西園里,0,0,0,0,0,0,0,0,0,0,0,0,0
金沙鎮,官嶼里,0,0,0,0,0,0,0,0,0,0,0,0,0
金沙鎮,官嶼里,0,0,0,0,0,0,0,0,0,0,0,0,0
金沙鎮,三山里,0,0,0,0,0,0,0,0,0,0,0,0,0
金沙鎮,三山里,0,0,0,0,0,0,0,0,0,0,0,0,0
金沙鎮,大洋里,0,0,0,0,0,0,0,0,0,0,0,0,0
金沙鎮,光前里,0,0,0,0,0,0,0,0,0,0,0,0,0
金沙鎮,光前里,0,0,0,0,0,0,0,0,0,0,0,0,0
