,2026年11月28日,1,2,3,4,5,6,7,8,9,10,,,
11,,侯選人A,侯選人B,侯選人C,侯選人D,侯選人E,侯選人F,侯選人G,侯選人H,侯選人I,侯選人J,,,
,,無,無,無,無,無,無,無,無,無,無,有效票,無效票,選舉人數
金城鎮,東門里,0,0,0,0,0,0,0,0,0,0,0,0,0
金城鎮,東門里,0,0,0,0,0,0,0,0,0,0,0,0,0
金城鎮,東門里,0,0,0,0,0,0,0,0,0,0,0,0,0
金城鎮,南門里,0,0,0,0,0,0,0,0,0,0,0,0,0
金城鎮,南門里,0,0,0,0,0,0,0,0,0,0,0,0,0
金城鎮,南門里,0,0,0,0,0,0,0,0,0,0,0,0,0
金城鎮,西門里,0,0,0,0,0,0,0,0,0,0,0,0,0
金城鎮,西門里,0,0,0,0,0,0,0,0,0,0,0,0,0
金城鎮,西門里,0,0,0,0,0,0,0,0,0,0,0,0,0
金城鎮,西門里,0,0,0,0,0,0,0,0,0,0,0,0,0
金城鎮,西門里,0,0,0,0,0,0,0,0,0,0,0,0,0
金城鎮,西門里,0,0,0,0,0,0,0,0,0,0,0,0,0
金城鎮,北門里,0,0,0,0,0,0,0,0,0,0,0,0,0
金城鎮,北門里,0,0,0,0,0,0,0,0,0,0,0,0,0
金城鎮,北門里,0,0,0,0,0,0,0,0,0,0,0,0,0
金城鎮,賢庵里,0,0,0,0,0,0,0,0,0,0,0,0,0
金城鎮,賢庵里,0,0,0,0,0,0,0,0,0,0,0,0,0
金城鎮,賢庵里,0,0,0,0,0,0,0,0,0,0,0,0,0
金城鎮,金水里,0,0,0,0,0,0,0,0,0,0,0,0,0
金城鎮,古城里,0,0,0,0,0,0,0,0,0,0,0,0,0
金城鎮,古城里,0,0,0,0,0,0,0,0,0,0,0,0,0
金城鎮,古城里,0,0,0,0,0,0,0,0,0,0,0,0,0
金城鎮,珠沙里,0,0,0,0,0,0,0,0,0,0,0,0,0
金城鎮,珠沙里,0,0,0,0,0,0,0,0,0,0,0,0,0
