,2026年11月28日,1,2,3,4,5,6,7,8,9,10,,,
9,9,侯選人A,侯選人B,侯選人C,侯選人D,侯選人E,侯選人F,侯選人G,侯選人H,侯選人I,侯選人J,,,
,,無,無,無,無,無,無,無,無,無,無,有效票,無效票,選舉人數
金寧鄉,古寧村,0,0,0,0,0,0,0,0,0,0,0,0,0
金寧鄉,古寧村,0,0,0,0,0,0,0,0,0,0,0,0,0
金寧鄉,安美村,0,0,0,0,0,0,0,0,0,0,0,0,0
金寧鄉,安美村,0,0,0,0,0,0,0,0,0,0,0,0,0
金寧鄉,安美村,0,0,0,0,0,0,0,0,0,0,0,0,0
金寧鄉,安美村,0,0,0,0,0,0,0,0,0,0,0,0,0
金寧鄉,安美村,0,0,0,0,0,0,0,0,0,0,0,0,0
金寧鄉,湖埔村,0,0,0,0,0,0,0,0,0,0,0,0,0
金寧鄉,湖埔村,0,0,0,0,0,0,0,0,0,0,0,0,0
金寧鄉,湖埔村,0,0,0,0,0,0,0,0,0,0,0,0,0
金寧鄉,湖埔村,0,0,0,0,0,0,0,0,0,0,0,0,0
金寧鄉,湖埔村,0,0,0,0,0,0,0,0,0,0,0,0,0
金寧鄉,湖埔村,0,0,0,0,0,0,0,0,0,0,0,0,0
金寧鄉,榜林村,0,0,0,0,0,0,0,0,0,0,0,0,0
金寧鄉,榜林村,0,0,0,0,0,0,0,0,0,0,0,0,0
金寧鄉,榜林村,0,0,0,0,0,0,0,0,0,0,0,0,0
金寧鄉,榜林村,0,0,0,0,0,0,0,0,0,0,0,0,0
金寧鄉,盤山村,0,0,0,0,0,0,0,0,0,0,0,0,0
金寧鄉,盤山村,0,0,0,0,0,0,0,0,0,0,0,0,0
金寧鄉,盤山村,0,0,0,0,0,0,0,0,0,0,0,0,0
金寧鄉,盤山村,0,0,0,0,0,0,0,0,0,0,0,0,0
金寧鄉,盤山村,0,0,0,0,0,0,0,0,0,0,0,0,0
金寧鄉,后盤村,0,0,0,0,0,0,0,0,0,0,0,0,0
