,2026年11月28日,1,2,3,4,5,6,7,8,9,10,,,
9,,侯選人A,侯選人B,侯選人C,侯選人D,侯選人E,侯選人F,侯選人G,侯選人H,侯選人I,侯選人J,,,
,,無,無,無,無,無,無,無,無,無,無,有效票,無效票,選舉人數
金湖鎮,新市里,0,0,0,0,0,0,0,0,0,0,0,0,0
金湖鎮,新市里,0,0,0,0,0,0,0,0,0,0,0,0,0
金湖鎮,新市里,0,0,0,0,0,0,0,0,0,0,0,0,0
金湖鎮,山外里,0,0,0,0,0,0,0,0,0,0,0,0,0
金湖鎮,山外里,0,0,0,0,0,0,0,0,0,0,0,0,0
金湖鎮,溪湖里,0,0,0,0,0,0,0,0,0,0,0,0,0
金湖鎮,蓮庵里,0,0,0,0,0,0,0,0,0,0,0,0,0
金湖鎮,料羅里,0,0,0,0,0,0,0,0,0,0,0,0,0
金湖鎮,料羅里,0,0,0,0,0,0,0,0,0,0,0,0,0
金湖鎮,新湖里,0,0,0,0,0,0,0,0,0,0,0,0,0
金湖鎮,新湖里,0,0,0,0,0,0,0,0,0,0,0,0,0
金湖鎮,新湖里,0,0,0,0,0,0,0,0,0,0,0,0,0
金湖鎮,新湖里,0,0,0,0,0,0,0,0,0,0,0,0,0
金湖鎮,新湖里,0,0,0,0,0,0,0,0,0,0,0,0,0
金湖鎮,正義里,0,0,0,0,0,0,0,0,0,0,0,0,0
金湖鎮,正義里,0,0,0,0,0,0,0,0,0,0,0,0,0
金湖鎮,瓊林里,0,0,0,0,0,0,0,0,0,0,0,0,0
金湖鎮,瓊林里,0,0,0,0,0,0,0,0,0,0,0,0,0
