,2022年11月26日,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,,,
11,,郭永隆#*,翁沂杰#,蔡云豪*,蘇碧浯#*,陳天成#*,黃文麟,汪松威,許燕輝*,翁裕凱*,陳子芸#*,林金英#*,莊嘉銘,蔡宗儒*,蔡培榮,倪于媃#*,李錫瑜#*,,,
,,中國國民黨,無,無,無,中國國民黨,無,中國國民黨,中國國民黨,無,中國國民黨,中國國民黨,中國國民黨,無,民主進步黨,中國國民黨,中國國民黨,有效票,無效票,選舉人數
金城鎮,東門里,112,13,23,71,41,6,19,68,42,35,34,17,36,6,11,28,562,17,1341
金城鎮,東門里,88,28,31,66,58,17,16,82,89,41,43,32,41,18,36,41,727,24,1675
金城鎮,東門里,72,33,53,96,73,11,19,68,66,37,63,21,44,14,16,38,724,23,1676
金城鎮,南門里,58,24,24,58,41,1,10,140,61,19,26,113,32,23,11,26,667,25,1786
金城鎮,南門里,53,10,20,36,53,10,10,72,54,18,50,60,43,17,26,27,559,20,1583
金城鎮,南門里,42,24,23,125,54,17,17,91,54,29,49,49,62,45,28,36,745,27,1815
金城鎮,西門里,43,18,26,73,53,4,39,74,47,21,34,16,48,27,13,53,589,28,1522
金城鎮,西門里,21,30,22,50,72,10,39,57,55,34,33,15,59,9,24,25,555,18,1514
金城鎮,西門里,43,22,23,31,87,9,32,58,17,43,42,25,58,15,28,19,552,31,1489
金城鎮,西門里,26,17,27,47,67,34,19,64,53,19,43,21,87,8,19,27,578,23,1563
金城鎮,西門里,46,18,39,49,60,27,35,64,67,29,56,25,102,12,31,30,690,26,1683
金城鎮,西門里,18,12,38,32,35,20,24,40,83,29,31,22,80,3,32,54,553,17,1436
金城鎮,北門里,20,8,13,53,103,16,8,40,36,9,100,11,31,12,17,9,486,8,1267
金城鎮,北門里,10,5,16,35,25,15,11,17,16,17,196,7,12,2,7,28,419,17,1093
金城鎮,北門里,19,23,10,16,60,15,15,19,65,11,129,10,41,4,20,27,484,21,1383
金城鎮,賢庵里,38,50,37,83,38,10,9,50,58,75,47,22,19,7,13,35,591,17,1575
金城鎮,賢庵里,39,13,30,69,69,24,11,42,46,75,38,15,44,9,18,39,581,24,1517
金城鎮,賢庵里,28,13,40,46,39,36,15,48,47,46,33,37,42,14,25,42,551,14,1593
金城鎮,金水里,45,30,80,59,97,63,33,52,57,66,47,28,48,31,49,57,842,60,2203
金城鎮,古城里,21,40,29,22,15,55,12,42,20,15,34,14,26,4,81,63,493,19,1304
金城鎮,古城里,32,83,4,17,22,73,14,14,32,19,23,7,12,4,54,48,458,25,1205
金城鎮,古城里,19,8,13,40,26,16,6,29,43,15,17,13,57,12,23,167,504,12,1437
金城鎮,珠沙里,15,25,23,19,71,16,47,25,14,38,17,19,27,3,28,57,444,32,1570
金城鎮,珠沙里,24,13,26,14,41,31,63,43,27,77,34,14,40,4,17,39,507,26,1260
