,2022年11月26日,1,2,3,4,5,6,7,8,9,10,11,,,
9,,李銘騏,陳孝融#*,黃文欣#*,李俊龍*,鍾尚志#,辛愛華#*,陳尤莉*,陳秀金#*,莊振源#*,楊水信#*,翁明惠#*,,,
,,無,無,中國國民黨,無,無,中國國民黨,中國國民黨,無,中國國民黨,無,無,有效票,無效票,選舉人數
金寧鄉,古寧村,18,32,34,221,20,48,34,31,59,26,14,537,17,1761
金寧鄉,古寧村,13,33,27,250,29,12,19,18,61,21,3,486,19,1544
金寧鄉,安美村,13,32,30,38,21,31,39,139,40,39,10,432,18,1185
金寧鄉,安美村,14,38,21,25,27,24,20,135,37,16,11,368,16,1004
金寧鄉,安美村,5,11,41,24,12,15,5,16,236,13,12,390,11,971
金寧鄉,安美村,14,38,30,30,14,88,46,38,32,55,32,417,28,1052
金寧鄉,安美村,12,48,22,21,15,61,39,32,44,16,47,357,19,886
金寧鄉,湖埔村,22,21,68,37,30,48,48,31,39,137,28,509,31,1463
金寧鄉,湖埔村,9,23,84,24,26,17,41,14,18,157,11,424,23,1114
金寧鄉,湖埔村,14,144,85,39,37,26,33,24,57,35,24,518,29,1242
金寧鄉,湖埔村,30,34,11,54,24,16,42,8,21,15,16,271,42,980
金寧鄉,湖埔村,16,75,74,54,35,36,42,28,42,60,17,479,20,1180
金寧鄉,湖埔村,17,73,84,54,60,40,69,17,89,41,20,564,39,1349
金寧鄉,榜林村,9,39,92,11,63,13,100,10,48,18,5,408,11,971
金寧鄉,榜林村,8,16,117,38,17,17,39,12,27,34,7,332,15,942
金寧鄉,榜林村,13,27,107,39,41,42,121,37,51,65,22,565,31,1753
金寧鄉,榜林村,12,71,90,61,42,35,104,24,46,64,26,575,24,1528
金寧鄉,盤山村,22,45,21,49,17,132,38,49,73,25,124,595,21,1572
金寧鄉,盤山村,5,28,18,30,24,114,27,16,26,16,79,383,19,1001
金寧鄉,盤山村,14,44,44,47,46,89,45,26,35,38,57,485,22,1383
金寧鄉,盤山村,13,27,30,42,29,67,44,40,37,33,84,446,11,1225
金寧鄉,盤山村,53,49,12,74,25,16,60,10,29,16,48,392,34,1076
金寧鄉,后盤村,16,51,115,49,34,24,57,57,119,53,33,608,28,1649
