,2022年11月26日,1,2,3,4,5,6,7,8,9,10,11,12,13,14,,,
9,,李志鴻*,呂錦同,林慧君,陳威彰*,陳淑亭,蔡乃靖#*,李秀華#*,蔡建偉2#*,洪海水#,林麗芬#*,張中法*,林嘉森#*,陳秀卿#*,劉時榮,,,
,,無,中國國民黨,無,無,無,無,中國國民黨,無,無,無,無,無,中國國民黨,無,有效票,無效票,選舉人數
金湖鎮,新市里,70,19,20,39,27,29,29,61,34,67,34,23,38,7,497,25,1187
金湖鎮,新市里,38,13,23,21,17,38,52,75,18,95,40,46,65,0,541,25,1218
金湖鎮,新市里,57,13,39,24,21,36,56,79,28,82,24,47,35,4,545,27,1413
金湖鎮,山外里,78,24,18,49,92,31,31,60,58,82,48,41,59,6,677,38,1899
金湖鎮,山外里,28,26,13,27,26,34,34,63,46,28,94,133,13,19,584,21,1404
金湖鎮,溪湖里,15,129,15,22,19,55,37,38,19,29,121,47,43,17,606,24,1534
金湖鎮,蓮庵里,30,56,14,42,25,113,29,83,19,40,76,57,61,4,649,24,1710
金湖鎮,料羅里,15,38,25,64,16,11,18,42,5,16,43,17,25,4,339,14,1042
金湖鎮,料羅里,21,20,20,77,28,42,17,33,13,49,47,22,32,7,428,9,1094
金湖鎮,新湖里,77,32,75,36,63,43,42,60,30,90,69,48,76,20,761,27,1837
金湖鎮,新湖里,49,9,22,26,23,59,97,59,23,45,49,32,65,8,566,22,1591
金湖鎮,新湖里,30,28,28,196,30,55,22,47,42,38,51,35,60,9,671,23,1674
金湖鎮,新湖里,38,20,24,42,39,56,45,95,53,58,51,28,56,11,616,21,1477
金湖鎮,新湖里,38,18,33,43,42,31,15,47,85,54,119,48,49,9,631,27,1390
金湖鎮,正義里,15,22,21,21,28,37,21,49,15,63,16,24,118,4,454,30,1256
金湖鎮,正義里,25,12,14,52,26,17,20,42,14,14,13,4,296,3,552,25,1392
金湖鎮,瓊林里,18,6,10,14,23,330,92,88,17,14,50,4,20,1,687,18,1650
金湖鎮,瓊林里,14,10,8,23,23,258,81,73,9,18,54,5,36,2,614,24,1597
