你是否同意以「平均每年至少降低1%」之方式逐年降低火力發電廠發電量？,2018年11月24日,1,2,,,
,,同意*,不同意,,,
,,同意,不同意,有效票,無效票,選舉人數
金城鎮,東門里,406,69,475,17,1396
金城鎮,東門里,552,105,657,34,1831
金城鎮,東門里,507,96,603,39,1750
金城鎮,南門里,581,99,680,37,1889
金城鎮,南門里,423,84,507,29,1675
金城鎮,南門里,638,107,745,35,1901
金城鎮,西門里,409,99,508,48,1610
金城鎮,西門里,487,89,576,26,1687
金城鎮,西門里,481,79,560,20,1594
金城鎮,西門里,520,65,585,13,1726
金城鎮,西門里,530,78,608,21,1733
金城鎮,西門里,504,90,594,28,1532
金城鎮,北門里,569,102,671,46,2079
金城鎮,北門里,541,75,616,34,2033
金城鎮,賢庵里,731,105,836,46,2517
金城鎮,賢庵里,594,100,694,32,2083
金城鎮,金水里,598,106,704,31,2140
金城鎮,古城里,583,94,677,31,2435
金城鎮,古城里,253,60,313,32,1353
金城鎮,珠沙里,422,57,479,18,1574
金城鎮,珠沙里,396,65,461,17,1277
金寧鄉,古寧村,417,78,495,46,1735
金寧鄉,古寧村,374,81,455,29,1537
金寧鄉,安美村,454,98,552,39,1766
金寧鄉,安美村,311,56,367,8,1015
金寧鄉,安美村,486,80,566,48,1726
金寧鄉,湖埔村,417,82,499,34,1691
金寧鄉,湖埔村,637,191,828,37,2044
金寧鄉,湖埔村,653,77,730,34,1848
金寧鄉,湖埔村,527,77,604,0,1735
金寧鄉,榜林村,510,86,596,31,1795
金寧鄉,榜林村,467,73,540,42,1834
金寧鄉,榜林村,419,67,486,24,1528
金寧鄉,盤山村,483,62,545,23,1473
金寧鄉,盤山村,490,72,562,38,1679
金寧鄉,盤山村,707,196,903,28,1921
金寧鄉,盤山村,389,62,451,16,1298
金寧鄉,后盤村,410,69,479,26,1537
金湖鎮,新市里,415,92,507,33,1348
金湖鎮,新市里,364,69,433,53,1386
金湖鎮,新市里,497,70,567,37,1403
金湖鎮,山外里,553,92,645,28,1771
金湖鎮,山外里,418,101,519,39,1493
金湖鎮,溪湖里,444,57,501,34,1510
金湖鎮,蓮庵里,509,65,574,38,1607
金湖鎮,料羅里,540,85,625,45,2006
金湖鎮,新湖里,516,102,618,23,1780
金湖鎮,新湖里,533,81,614,21,1739
金湖鎮,新湖里,386,67,453,25,1384
金湖鎮,新湖里,428,71,499,29,1400
金湖鎮,新湖里,468,95,563,22,1325
金湖鎮,正義里,327,56,383,29,1236
金湖鎮,正義里,366,71,437,35,1382
金湖鎮,瓊林里,459,81,540,20,1631
金湖鎮,瓊林里,392,69,461,34,1514
金沙鎮,汶沙里,491,109,600,54,1909
金沙鎮,汶沙里,511,75,586,39,1524
金沙鎮,汶沙里,432,69,501,43,1673
金沙鎮,何斗里,532,80,612,48,2003
金沙鎮,浦山里,399,69,468,25,1212
金沙鎮,浦山里,312,67,379,31,1126
金沙鎮,西園里,391,61,452,27,1540
金沙鎮,官嶼里,283,54,337,39,1216
金沙鎮,官嶼里,205,38,243,15,950
金沙鎮,三山里,595,72,667,34,1895
金沙鎮,大洋里,360,76,436,27,1135
金沙鎮,光前里,349,55,404,31,1252
金沙鎮,光前里,401,43,444,18,1125
烈嶼鄉,林湖村,630,62,692,30,1647
烈嶼鄉,林湖村,511,72,583,34,1733
烈嶼鄉,黃埔村,500,71,571,33,1635
烈嶼鄉,西口村,355,61,416,24,1296
烈嶼鄉,西口村,284,49,333,22,1099
烈嶼鄉,上林村,409,65,474,22,1425
烈嶼鄉,上岐村,425,73,498,27,1412
烈嶼鄉,上岐村,432,53,485,20,1429
烏坵鄉,大坵村,68,7,75,3,275
烏坵鄉,小坵村,70,9,79,8,292
