您是否同意確立「停止新建、擴建任何燃煤發電廠或發電機組（包括深澳電廠擴建）」之能源政策？,2018年11月24日,1,2,,,
,,同意*,不同意,,,
,,同意,不同意,有效票,無效票,選舉人數
金城鎮,東門里,400,62,462,30,1396
金城鎮,東門里,525,126,651,42,1831
金城鎮,東門里,493,106,599,44,1750
金城鎮,南門里,564,100,664,53,1889
金城鎮,南門里,403,103,506,30,1675
金城鎮,南門里,625,109,734,46,1901
金城鎮,西門里,405,96,501,55,1610
金城鎮,西門里,484,86,570,32,1687
金城鎮,西門里,481,77,558,22,1594
金城鎮,西門里,482,95,577,22,1726
金城鎮,西門里,512,92,604,25,1733
金城鎮,西門里,488,107,595,31,1532
金城鎮,北門里,547,115,662,55,2079
金城鎮,北門里,506,107,613,38,2033
金城鎮,賢庵里,705,129,834,48,2517
金城鎮,賢庵里,580,110,690,36,2083
金城鎮,金水里,557,123,680,55,2140
金城鎮,古城里,570,102,672,37,2435
金城鎮,古城里,243,62,305,40,1353
金城鎮,珠沙里,399,68,467,29,1574
金城鎮,珠沙里,377,59,436,42,1277
金寧鄉,古寧村,400,82,482,59,1735
金寧鄉,古寧村,366,80,446,38,1537
金寧鄉,安美村,436,114,550,41,1766
金寧鄉,安美村,294,64,358,17,1015
金寧鄉,安美村,466,94,560,52,1726
金寧鄉,湖埔村,408,93,501,33,1691
金寧鄉,湖埔村,582,245,827,38,2044
金寧鄉,湖埔村,624,104,728,36,1848
金寧鄉,湖埔村,484,86,570,33,1735
金寧鄉,榜林村,490,90,580,47,1795
金寧鄉,榜林村,457,76,533,47,1834
金寧鄉,榜林村,393,71,464,43,1528
金寧鄉,盤山村,460,79,539,29,1473
金寧鄉,盤山村,476,84,560,43,1679
金寧鄉,盤山村,600,288,888,43,1921
金寧鄉,盤山村,373,75,448,19,1298
金寧鄉,后盤村,399,73,472,33,1537
金湖鎮,新市里,392,101,493,47,1348
金湖鎮,新市里,360,85,445,42,1386
金湖鎮,新市里,467,83,550,54,1403
金湖鎮,山外里,534,95,629,44,1771
金湖鎮,山外里,394,109,503,52,1493
金湖鎮,溪湖里,421,62,483,55,1510
金湖鎮,蓮庵里,601,61,662,42,1607
金湖鎮,料羅里,534,88,622,52,2006
金湖鎮,新湖里,500,107,607,34,1780
金湖鎮,新湖里,521,92,613,22,1739
金湖鎮,新湖里,372,72,444,34,1384
金湖鎮,新湖里,398,92,490,38,1400
金湖鎮,新湖里,449,104,553,32,1325
金湖鎮,正義里,312,65,377,35,1236
金湖鎮,正義里,358,74,432,38,1382
金湖鎮,瓊林里,446,85,531,29,1631
金湖鎮,瓊林里,384,73,457,38,1514
金沙鎮,汶沙里,493,109,602,52,1909
金沙鎮,汶沙里,483,91,574,51,1524
金沙鎮,汶沙里,416,81,497,47,1673
金沙鎮,何斗里,519,87,606,54,2003
金沙鎮,浦山里,376,86,462,31,1212
金沙鎮,浦山里,303,67,370,40,1126
金沙鎮,西園里,375,69,444,35,1540
金沙鎮,官嶼里,281,60,341,35,1216
金沙鎮,官嶼里,196,44,240,18,950
金沙鎮,三山里,586,72,658,43,1895
金沙鎮,大洋里,356,70,426,37,1135
金沙鎮,光前里,330,62,392,43,1252
金沙鎮,光前里,381,62,443,19,1125
烈嶼鄉,林湖村,618,67,685,37,1647
烈嶼鄉,林湖村,505,71,576,41,1733
烈嶼鄉,黃埔村,480,85,565,39,1635
烈嶼鄉,西口村,348,65,413,27,1296
烈嶼鄉,西口村,281,41,322,33,1099
烈嶼鄉,上林村,370,79,449,30,1425
烈嶼鄉,上岐村,412,84,496,29,1412
烈嶼鄉,上岐村,398,64,462,43,1429
烏坵鄉,大坵村,63,11,74,4,275
烏坵鄉,小坵村,72,9,81,6,292
