你是否同意民法婚姻規定應限定在一男一女的結合？,2018年11月24日,1,2,,,
,,同意*,不同意,,,
,,同意,不同意,有效票,無效票,選舉人數
金城鎮,東門里,412,80,492,22,1396
金城鎮,東門里,555,127,682,20,1831
金城鎮,東門里,485,127,612,29,1750
金城鎮,南門里,556,135,691,27,1889
金城鎮,南門里,372,140,512,24,1675
金城鎮,南門里,600,147,747,34,1901
金城鎮,西門里,376,135,511,47,1610
金城鎮,西門里,455,114,569,33,1687
金城鎮,西門里,448,117,565,16,1594
金城鎮,西門里,461,128,589,29,1726
金城鎮,西門里,496,110,606,25,1733
金城鎮,西門里,484,118,602,26,1532
金城鎮,北門里,534,139,673,44,2079
金城鎮,北門里,467,155,622,33,2033
金城鎮,賢庵里,671,178,849,33,2517
金城鎮,賢庵里,555,126,681,47,2083
金城鎮,金水里,572,130,702,34,2140
金城鎮,古城里,549,160,709,11,2435
金城鎮,古城里,260,61,321,25,1353
金城鎮,珠沙里,390,82,472,24,1574
金城鎮,珠沙里,367,101,468,13,1277
金寧鄉,古寧村,427,87,514,27,1735
金寧鄉,古寧村,371,85,456,28,1537
金寧鄉,安美村,398,167,565,31,1766
金寧鄉,安美村,294,73,367,8,1015
金寧鄉,安美村,494,103,597,22,1726
金寧鄉,湖埔村,417,92,509,31,1691
金寧鄉,湖埔村,340,508,848,18,2044
金寧鄉,湖埔村,578,167,745,19,1848
金寧鄉,湖埔村,468,114,582,23,1735
金寧鄉,榜林村,464,131,595,32,1795
金寧鄉,榜林村,454,92,546,36,1834
金寧鄉,榜林村,367,104,471,40,1528
金寧鄉,盤山村,453,94,547,21,1473
金寧鄉,盤山村,543,34,577,26,1679
金寧鄉,盤山村,262,662,924,9,1921
金寧鄉,盤山村,348,103,451,17,1298
金寧鄉,后盤村,380,95,475,31,1537
金湖鎮,新市里,394,126,520,20,1348
金湖鎮,新市里,343,121,464,24,1386
金湖鎮,新市里,463,107,570,35,1403
金湖鎮,山外里,506,136,642,33,1771
金湖鎮,山外里,400,131,531,30,1493
金湖鎮,溪湖里,433,87,520,20,1510
金湖鎮,蓮庵里,484,95,579,29,1607
金湖鎮,料羅里,526,116,642,32,2006
金湖鎮,新湖里,466,151,617,25,1780
金湖鎮,新湖里,495,128,623,12,1739
金湖鎮,新湖里,354,89,443,36,1384
金湖鎮,新湖里,397,109,506,22,1400
金湖鎮,新湖里,461,105,566,19,1325
金湖鎮,正義里,315,73,388,28,1236
金湖鎮,正義里,354,98,452,31,1382
金湖鎮,瓊林里,456,95,551,9,1631
金湖鎮,瓊林里,367,74,441,52,1514
金沙鎮,汶沙里,527,99,626,29,1909
金沙鎮,汶沙里,506,90,596,29,1524
金沙鎮,汶沙里,440,75,515,32,1673
金沙鎮,何斗里,549,90,639,21,2003
金沙鎮,浦山里,384,89,473,22,1212
金沙鎮,浦山里,327,65,392,18,1126
金沙鎮,西園里,368,86,454,25,1540
金沙鎮,官嶼里,291,66,357,21,1216
金沙鎮,官嶼里,204,43,247,12,950
金沙鎮,三山里,565,102,667,34,1895
金沙鎮,大洋里,361,70,431,35,1135
金沙鎮,光前里,328,90,418,20,1252
金沙鎮,光前里,367,78,445,18,1125
烈嶼鄉,林湖村,564,120,684,38,1647
烈嶼鄉,林湖村,481,100,581,36,1733
烈嶼鄉,黃埔村,463,123,586,21,1635
烈嶼鄉,西口村,341,81,422,18,1296
烈嶼鄉,西口村,278,54,332,23,1099
烈嶼鄉,上林村,370,92,462,29,1425
烈嶼鄉,上岐村,410,95,505,20,1412
烈嶼鄉,上岐村,397,83,480,25,1429
烏坵鄉,大坵村,57,17,74,4,275
烏坵鄉,小坵村,76,7,83,4,292
