你是否同意，以「台灣」（Taiwan）為全名申請參加所有國際運動賽事及2020年東京奧運？,2018年11月24日,1,2,,,
,,同意,不同意*,,,
,,同意,不同意,有效票,無效票,選舉人數
金城鎮,東門里,115,354,469,31,1396
金城鎮,東門里,156,513,669,26,1831
金城鎮,東門里,136,467,603,39,1750
金城鎮,南門里,155,528,683,34,1889
金城鎮,南門里,133,374,507,30,1675
金城鎮,南門里,133,609,742,39,1901
金城鎮,西門里,144,366,510,47,1610
金城鎮,西門里,129,441,570,31,1687
金城鎮,西門里,115,447,562,18,1594
金城鎮,西門里,120,466,586,23,1726
金城鎮,西門里,138,471,609,23,1733
金城鎮,西門里,121,482,603,28,1532
金城鎮,北門里,154,528,682,37,2079
金城鎮,北門里,145,478,623,29,2033
金城鎮,賢庵里,223,619,842,40,2517
金城鎮,賢庵里,157,535,692,38,2083
金城鎮,金水里,155,534,689,44,2140
金城鎮,古城里,169,526,695,25,2435
金城鎮,古城里,72,251,323,23,1353
金城鎮,珠沙里,102,383,485,14,1574
金城鎮,珠沙里,108,347,455,23,1277
金寧鄉,古寧村,118,368,486,55,1735
金寧鄉,古寧村,110,339,449,36,1537
金寧鄉,安美村,149,404,553,43,1766
金寧鄉,安美村,105,252,357,18,1015
金寧鄉,安美村,104,463,567,38,1726
金寧鄉,湖埔村,107,396,503,34,1691
金寧鄉,湖埔村,308,537,845,21,2044
金寧鄉,湖埔村,180,560,740,24,1848
金寧鄉,湖埔村,128,466,594,18,1735
金寧鄉,榜林村,163,436,599,28,1795
金寧鄉,榜林村,102,445,547,35,1834
金寧鄉,榜林村,100,389,489,23,1528
金寧鄉,盤山村,118,426,544,24,1473
金寧鄉,盤山村,134,439,573,26,1679
金寧鄉,盤山村,352,556,908,25,1921
金寧鄉,盤山村,119,335,454,13,1298
金寧鄉,后盤村,109,374,483,22,1537
金湖鎮,新市里,39,359,398,142,1348
金湖鎮,新市里,106,361,467,19,1386
金湖鎮,新市里,136,437,573,32,1403
金湖鎮,山外里,170,473,643,29,1771
金湖鎮,山外里,139,383,522,39,1493
金湖鎮,溪湖里,105,405,510,28,1510
金湖鎮,蓮庵里,127,471,598,26,1607
金湖鎮,料羅里,129,511,640,32,2006
金湖鎮,新湖里,190,423,613,30,1780
金湖鎮,新湖里,134,476,610,25,1739
金湖鎮,新湖里,125,327,452,27,1384
金湖鎮,新湖里,126,372,498,29,1400
金湖鎮,新湖里,159,414,573,14,1325
金湖鎮,正義里,109,282,391,21,1236
金湖鎮,正義里,102,344,446,34,1382
金湖鎮,瓊林里,90,455,545,15,1631
金湖鎮,瓊林里,103,358,461,33,1514
金沙鎮,汶沙里,134,487,621,40,1909
金沙鎮,汶沙里,132,464,596,28,1524
金沙鎮,汶沙里,128,385,513,33,1673
金沙鎮,何斗里,128,507,635,25,2003
金沙鎮,浦山里,108,357,465,29,1212
金沙鎮,浦山里,88,297,385,24,1126
金沙鎮,西園里,82,373,455,24,1540
金沙鎮,官嶼里,81,283,364,14,1216
金沙鎮,官嶼里,39,209,248,12,950
金沙鎮,三山里,111,552,663,38,1895
金沙鎮,大洋里,121,313,434,30,1135
金沙鎮,光前里,86,322,408,27,1252
金沙鎮,光前里,98,340,438,24,1125
烈嶼鄉,林湖村,103,583,686,36,1647
烈嶼鄉,林湖村,117,464,581,36,1733
烈嶼鄉,黃埔村,113,464,577,28,1635
烈嶼鄉,西口村,90,327,417,23,1296
烈嶼鄉,西口村,64,272,336,20,1099
烈嶼鄉,上林村,101,351,452,28,1425
烈嶼鄉,上岐村,119,386,505,20,1412
烈嶼鄉,上岐村,83,408,491,16,1429
烏坵鄉,大坵村,27,50,77,2,275
烏坵鄉,小坵村,16,65,81,6,292
