您是否同意，以民法婚姻章保障同性別二人建立婚姻關係？,2018年11月24日,1,2,,,
,,同意,不同意*,,,
,,同意,不同意,有效票,無效票,選舉人數
金城鎮,東門里,110,373,483,25,1396
金城鎮,東門里,158,519,677,20,1831
金城鎮,東門里,134,468,602,40,1750
金城鎮,南門里,157,508,665,52,1889
金城鎮,南門里,146,364,510,26,1675
金城鎮,南門里,160,591,751,29,1901
金城鎮,西門里,135,384,519,38,1610
金城鎮,西門里,129,451,580,22,1687
金城鎮,西門里,115,443,558,23,1594
金城鎮,西門里,126,465,591,23,1726
金城鎮,西門里,466,145,611,20,1733
金城鎮,西門里,127,477,604,20,1532
金城鎮,北門里,171,504,675,46,2079
金城鎮,北門里,162,461,623,30,2033
金城鎮,賢庵里,206,638,844,38,2517
金城鎮,賢庵里,144,541,685,44,2083
金城鎮,金水里,141,557,698,33,2140
金城鎮,古城里,157,521,678,42,2435
金城鎮,古城里,72,255,327,18,1353
金城鎮,珠沙里,94,381,475,16,1574
金城鎮,珠沙里,106,324,430,48,1277
金寧鄉,古寧村,87,394,481,60,1735
金寧鄉,古寧村,100,356,456,30,1537
金寧鄉,安美村,179,380,559,33,1766
金寧鄉,安美村,88,270,358,17,1015
金寧鄉,安美村,119,467,586,29,1726
金寧鄉,湖埔村,107,407,514,24,1691
金寧鄉,湖埔村,531,316,847,19,2044
金寧鄉,湖埔村,174,568,742,22,1848
金寧鄉,湖埔村,143,456,599,15,1735
金寧鄉,榜林村,152,447,599,28,1795
金寧鄉,榜林村,97,445,542,38,1834
金寧鄉,榜林村,125,361,486,28,1528
金寧鄉,盤山村,108,441,549,19,1473
金寧鄉,盤山村,127,446,573,29,1679
金寧鄉,盤山村,663,256,919,14,1921
金寧鄉,盤山村,121,334,455,13,1298
金寧鄉,后盤村,105,381,486,20,1537
金湖鎮,新市里,150,360,510,30,1348
金湖鎮,新市里,118,343,461,27,1386
金湖鎮,新市里,123,455,578,27,1403
金湖鎮,山外里,157,490,647,27,1771
金湖鎮,山外里,142,379,521,35,1493
金湖鎮,溪湖里,103,394,497,39,1510
金湖鎮,蓮庵里,107,465,572,37,1607
金湖鎮,料羅里,131,507,638,36,2006
金湖鎮,新湖里,189,436,625,18,1780
金湖鎮,新湖里,153,466,619,16,1739
金湖鎮,新湖里,106,353,459,20,1384
金湖鎮,新湖里,127,380,507,21,1400
金湖鎮,新湖里,132,437,569,18,1325
金湖鎮,正義里,95,300,395,19,1236
金湖鎮,正義里,108,342,450,30,1382
金湖鎮,瓊林里,96,450,546,14,1631
金湖鎮,瓊林里,84,371,455,38,1514
金沙鎮,汶沙里,125,498,623,37,1909
金沙鎮,汶沙里,111,470,581,44,1524
金沙鎮,汶沙里,90,430,520,27,1673
金沙鎮,何斗里,93,525,618,42,2003
金沙鎮,浦山里,98,381,479,15,1212
金沙鎮,浦山里,74,312,386,23,1126
金沙鎮,西園里,103,353,456,23,1540
金沙鎮,官嶼里,74,287,361,17,1216
金沙鎮,官嶼里,39,206,245,14,950
金沙鎮,三山里,108,564,672,29,1895
金沙鎮,大洋里,109,327,436,27,1135
金沙鎮,光前里,90,327,417,21,1252
金沙鎮,光前里,77,369,446,17,1125
烈嶼鄉,林湖村,137,560,697,25,1647
烈嶼鄉,林湖村,118,473,591,26,1733
烈嶼鄉,黃埔村,132,451,583,24,1635
烈嶼鄉,西口村,91,328,419,21,1296
烈嶼鄉,西口村,49,282,331,25,1099
烈嶼鄉,上林村,104,353,457,28,1425
烈嶼鄉,上岐村,91,418,509,16,1412
烈嶼鄉,上岐村,101,378,479,28,1429
烏坵鄉,大坵村,20,56,76,2,275
烏坵鄉,小坵村,17,68,85,2,292
