你是否同意政府應全面禁止進口含有萊克多巴胺之乙型受體素豬隻之肉品、內臟及其相關產製品？,2021年12月18日,1,2,,,
,,同意,不同意*,,,
,,同意,不同意,有效票,無效票,選舉人數
金城鎮,東門里,248,21,269,1,1369
金城鎮,東門里,325,34,359,5,1748
金城鎮,東門里,288,40,328,4,1692
金城鎮,南門里,298,43,341,2,1870
金城鎮,南門里,261,29,290,4,1608
金城鎮,南門里,387,48,435,8,1866
金城鎮,西門里,275,38,313,2,1584
金城鎮,西門里,304,27,331,2,1622
金城鎮,西門里,285,30,315,3,1564
金城鎮,西門里,316,31,347,0,1654
金城鎮,西門里,349,38,387,2,1730
金城鎮,西門里,311,24,335,3,1517
金城鎮,北門里,229,35,264,5,1334
金城鎮,北門里,225,9,234,0,1174
金城鎮,北門里,201,27,228,2,1471
金城鎮,賢庵里,256,34,290,3,1565
金城鎮,賢庵里,226,35,261,1,1530
金城鎮,賢庵里,243,50,293,3,1635
金城鎮,金水里,402,54,456,6,2226
金城鎮,古城里,207,27,234,3,1334
金城鎮,古城里,179,42,221,3,1229
金城鎮,古城里,239,34,273,3,1460
金城鎮,珠沙里,206,31,237,3,1590
金城鎮,珠沙里,234,28,262,4,1295
金寧鄉,古寧村,235,33,268,2,1783
金寧鄉,古寧村,182,29,211,2,1580
金寧鄉,安美村,259,66,325,3,2119
金寧鄉,安美村,150,19,169,5,1014
金寧鄉,安美村,292,35,327,8,1916
金寧鄉,湖埔村,287,53,340,7,1878
金寧鄉,湖埔村,282,146,428,7,1865
金寧鄉,湖埔村,348,43,391,0,1872
金寧鄉,湖埔村,321,37,358,4,1936
金寧鄉,榜林村,294,60,354,5,1933
金寧鄉,榜林村,259,25,284,3,1816
金寧鄉,榜林村,258,32,290,3,1519
金寧鄉,盤山村,255,35,290,7,1570
金寧鄉,盤山村,273,40,313,3,1874
金寧鄉,盤山村,270,177,447,5,1681
金寧鄉,盤山村,199,28,227,1,1278
金寧鄉,后盤村,269,35,304,1,1618
金湖鎮,新市里,262,31,293,5,1248
金湖鎮,新市里,233,18,251,4,1260
金湖鎮,新市里,271,30,301,0,1461
金湖鎮,山外里,334,44,378,7,1882
金湖鎮,山外里,247,32,279,6,1446
金湖鎮,溪湖里,225,13,238,4,1560
金湖鎮,蓮庵里,318,33,351,7,1704
金湖鎮,料羅里,177,22,199,3,1061
金湖鎮,料羅里,186,37,223,4,1071
金湖鎮,新湖里,319,71,390,2,2006
金湖鎮,新湖里,262,30,292,3,1672
金湖鎮,新湖里,238,38,276,5,1459
金湖鎮,新湖里,228,51,279,3,1502
金湖鎮,新湖里,245,51,296,2,1434
金湖鎮,正義里,172,30,202,3,1279
金湖鎮,正義里,283,29,312,9,1420
金湖鎮,瓊林里,292,37,329,3,1652
金湖鎮,瓊林里,292,33,325,6,1607
金沙鎮,汶沙里,151,9,160,0,895
金沙鎮,汶沙里,168,19,187,3,994
金沙鎮,汶沙里,278,21,299,4,1524
金沙鎮,汶沙里,293,31,324,2,1663
金沙鎮,何斗里,166,13,179,2,960
金沙鎮,何斗里,189,13,202,0,1085
金沙鎮,浦山里,227,20,247,1,1212
金沙鎮,浦山里,185,17,202,3,1133
金沙鎮,西園里,249,13,262,3,1592
金沙鎮,官嶼里,217,8,225,3,1233
金沙鎮,官嶼里,123,17,140,4,977
金沙鎮,三山里,137,18,155,3,1033
金沙鎮,三山里,171,10,181,4,922
金沙鎮,大洋里,196,18,214,6,1153
金沙鎮,光前里,189,25,214,2,1251
金沙鎮,光前里,197,23,220,5,1097
烈嶼鄉,林湖村,281,17,298,4,1601
烈嶼鄉,林湖村,280,33,313,1,1727
烈嶼鄉,黃埔村,209,19,228,4,1642
烈嶼鄉,西口村,144,22,166,6,1285
烈嶼鄉,西口村,159,18,177,2,1130
烈嶼鄉,上林村,170,14,184,6,1428
烈嶼鄉,上岐村,232,12,244,1,1411
烈嶼鄉,上岐村,191,21,212,8,1432
烏坵鄉,大坵村,16,3,19,0,270
烏坵鄉,小坵村,14,4,18,0,299
