您是否同意第三核能發電廠經主管機關同意確認無安全疑慮後，繼續運轉？,2025年8月23日,1,2,,,
,,同意,不同意*,,,
,,同意,不同意,有效票,無效票,投票權人數
金城鎮,東門里,163,7,170,2,1270
金城鎮,東門里,129,4,133,0,1005
金城鎮,東門里,128,4,132,2,1114
金城鎮,東門里,124,12,136,2,1271
金城鎮,南門里,134,5,139,2,1258
金城鎮,南門里,142,8,150,0,1472
金城鎮,南門里,151,8,159,1,1221
金城鎮,南門里,181,15,196,3,1186
金城鎮,西門里,116,9,125,1,1242
金城鎮,西門里,149,8,157,3,1286
金城鎮,西門里,183,6,189,2,1246
金城鎮,西門里,180,9,189,1,1279
金城鎮,西門里,170,10,180,1,1243
金城鎮,西門里,204,20,224,1,1421
金城鎮,西門里,218,13,231,1,1404
金城鎮,北門里,178,14,192,1,1340
金城鎮,北門里,118,7,125,1,1062
金城鎮,北門里,143,9,152,1,1335
金城鎮,賢庵里,202,8,210,4,1647
金城鎮,賢庵里,178,11,189,3,1534
金城鎮,賢庵里,210,11,221,1,1702
金城鎮,金水里,143,11,154,1,1088
金城鎮,金水里,154,12,166,1,1131
金城鎮,古城里,135,9,144,2,1413
金城鎮,古城里,128,9,137,2,1260
金城鎮,古城里,154,9,163,2,1479
金城鎮,珠沙里,148,13,161,1,1484
金城鎮,珠沙里,199,7,206,0,1482
金寧鄉,古寧村,142,6,148,3,1780
金寧鄉,古寧村,116,6,122,2,1534
金寧鄉,安美村,141,10,151,1,1358
金寧鄉,安美村,107,18,125,1,1160
金寧鄉,安美村,121,12,133,2,1119
金寧鄉,安美村,130,12,142,2,1185
金寧鄉,安美村,117,12,129,1,1027
金寧鄉,湖埔村,191,6,197,1,1647
金寧鄉,湖埔村,129,8,137,2,1160
金寧鄉,湖埔村,194,14,208,0,1327
金寧鄉,湖埔村,45,5,50,0,1078
金寧鄉,湖埔村,207,17,224,0,1397
金寧鄉,湖埔村,205,8,213,2,1501
金寧鄉,榜林村,137,7,144,1,1091
金寧鄉,榜林村,112,8,120,3,977
金寧鄉,榜林村,164,15,179,1,1830
金寧鄉,榜林村,180,10,190,5,1638
金寧鄉,盤山村,151,12,163,0,1604
金寧鄉,盤山村,110,6,116,0,1125
金寧鄉,盤山村,140,13,153,1,1725
金寧鄉,盤山村,129,9,138,1,1244
金寧鄉,盤山村,57,6,63,1,1145
金寧鄉,后盤村,206,18,224,4,1872
金湖鎮,新市里,142,10,152,1,1087
金湖鎮,新市里,152,5,157,2,1132
金湖鎮,新市里,188,15,203,6,1428
金湖鎮,山外里,272,18,290,8,2011
金湖鎮,山外里,188,5,193,6,1446
金湖鎮,溪湖里,182,12,194,4,1661
金湖鎮,蓮庵里,225,6,231,6,1700
金湖鎮,料羅里,138,7,145,1,1021
金湖鎮,料羅里,182,17,199,3,1277
金湖鎮,新湖里,206,17,223,1,1732
金湖鎮,新湖里,201,11,212,1,1763
金湖鎮,新湖里,227,13,240,4,1682
金湖鎮,新湖里,228,18,246,2,1775
金湖鎮,新湖里,188,14,202,2,1526
金湖鎮,正義里,147,10,157,1,1242
金湖鎮,正義里,199,8,207,4,1406
金湖鎮,瓊林里,203,13,216,4,1649
金湖鎮,瓊林里,216,12,228,3,1623
金沙鎮,汶沙里,71,3,74,5,783
金沙鎮,汶沙里,108,4,112,1,980
金沙鎮,汶沙里,238,14,252,0,1511
金沙鎮,汶沙里,226,8,234,4,1562
金沙鎮,何斗里,120,4,124,2,1003
金沙鎮,何斗里,141,6,147,2,1059
金沙鎮,浦山里,143,10,153,1,1234
金沙鎮,浦山里,107,5,112,1,1156
金沙鎮,西園里,168,6,174,2,1533
金沙鎮,官嶼里,127,6,133,1,1228
金沙鎮,官嶼里,74,6,80,0,909
金沙鎮,三山里,103,8,111,0,1022
金沙鎮,三山里,112,7,119,1,881
金沙鎮,大洋里,129,16,145,1,1288
金沙鎮,光前里,135,7,142,3,1291
金沙鎮,光前里,129,5,134,5,1089
烈嶼鄉,林湖村,195,10,205,0,1552
烈嶼鄉,林湖村,192,4,196,2,1606
烈嶼鄉,黃埔村,164,7,171,2,1633
烈嶼鄉,西口村,111,17,128,1,1247
烈嶼鄉,西口村,73,3,76,3,1041
烈嶼鄉,上林村,148,8,156,1,1429
烈嶼鄉,上岐村,143,7,150,1,1390
烈嶼鄉,上岐村,144,4,148,2,1392
烏坵鄉,大坵村,32,0,32,0,254
烏坵鄉,小坵村,14,1,15,0,284
