你是否同意政府維持禁止開放日本福島311核災相關地區，包括福島與周遭4縣市（茨城、櫪木、群馬、千葉）等地區農產品及食品進口？,2018年11月24日,1,2,,,
,,同意*,不同意,,,
,,同意,不同意,有效票,無效票,選舉人數
金城鎮,東門里,400,67,467,25,1396
金城鎮,東門里,504,124,628,60,1831
金城鎮,東門里,487,104,591,47,1750
金城鎮,南門里,570,94,664,54,1889
金城鎮,南門里,411,90,501,36,1675
金城鎮,南門里,626,106,732,48,1901
金城鎮,西門里,395,99,494,62,1610
金城鎮,西門里,484,85,569,33,1687
金城鎮,西門里,474,79,553,27,1594
金城鎮,西門里,488,83,571,27,1726
金城鎮,西門里,505,93,598,33,1733
金城鎮,西門里,508,88,596,29,1532
金城鎮,北門里,554,108,662,59,2079
金城鎮,北門里,529,81,610,39,2033
金城鎮,賢庵里,709,127,836,46,2517
金城鎮,賢庵里,569,114,683,43,2083
金城鎮,金水里,586,107,693,41,2140
金城鎮,古城里,549,98,647,60,2435
金城鎮,古城里,239,63,302,43,1353
金城鎮,珠沙里,398,76,474,22,1574
金城鎮,珠沙里,372,68,440,38,1277
金寧鄉,古寧村,388,77,465,76,1735
金寧鄉,古寧村,367,83,450,34,1537
金寧鄉,安美村,445,103,548,43,1766
金寧鄉,安美村,303,55,358,17,1015
金寧鄉,安美村,466,91,557,53,1726
金寧鄉,湖埔村,414,82,496,36,1691
金寧鄉,湖埔村,586,237,823,42,2044
金寧鄉,湖埔村,636,90,726,38,1848
金寧鄉,湖埔村,498,69,567,31,1735
金寧鄉,榜林村,487,100,587,40,1795
金寧鄉,榜林村,441,89,530,51,1834
金寧鄉,榜林村,433,88,521,31,1528
金寧鄉,盤山村,470,72,542,26,1473
金寧鄉,盤山村,473,75,548,51,1679
金寧鄉,盤山村,661,240,901,30,1921
金寧鄉,盤山村,371,78,449,18,1298
金寧鄉,后盤村,394,77,471,34,1537
金湖鎮,新市里,401,91,492,48,1348
金湖鎮,新市里,348,91,439,45,1386
金湖鎮,新市里,481,79,560,44,1403
金湖鎮,山外里,540,93,633,40,1771
金湖鎮,山外里,415,86,501,59,1493
金湖鎮,溪湖里,399,72,471,64,1510
金湖鎮,蓮庵里,399,64,463,45,1607
金湖鎮,料羅里,510,96,606,60,2006
金湖鎮,新湖里,431,186,617,26,1780
金湖鎮,新湖里,516,88,604,31,1739
金湖鎮,新湖里,374,72,446,32,1384
金湖鎮,新湖里,397,94,491,37,1400
金湖鎮,新湖里,450,102,552,33,1325
金湖鎮,正義里,314,62,376,36,1236
金湖鎮,正義里,347,79,426,45,1382
金湖鎮,瓊林里,452,66,518,42,1631
金湖鎮,瓊林里,374,77,451,43,1514
金沙鎮,汶沙里,505,98,603,52,1909
金沙鎮,汶沙里,487,87,574,51,1524
金沙鎮,汶沙里,431,59,490,55,1673
金沙鎮,何斗里,502,85,587,73,2003
金沙鎮,浦山里,382,81,463,30,1212
金沙鎮,浦山里,297,79,376,34,1126
金沙鎮,西園里,371,65,436,43,1540
金沙鎮,官嶼里,280,59,339,37,1216
金沙鎮,官嶼里,200,34,234,24,950
金沙鎮,三山里,581,73,654,47,1895
金沙鎮,大洋里,357,72,429,34,1135
金沙鎮,光前里,336,60,396,39,1252
金沙鎮,光前里,381,55,436,26,1125
烈嶼鄉,林湖村,604,80,684,38,1647
烈嶼鄉,林湖村,506,77,583,34,1733
烈嶼鄉,黃埔村,472,88,560,44,1635
烈嶼鄉,西口村,334,66,400,40,1296
烈嶼鄉,西口村,275,54,329,26,1099
烈嶼鄉,上林村,374,73,447,39,1425
烈嶼鄉,上岐村,426,75,501,24,1412
烈嶼鄉,上岐村,408,59,467,38,1429
烏坵鄉,大坵村,64,10,74,4,275
烏坵鄉,小坵村,71,9,80,7,292
