你是否同意在國民教育階段內（國中及國小），教育部及各級學校不應對學生實施性別平等教育法施行細則所定之同志教育？,2018年11月24日,1,2,,,
,,同意*,不同意,,,
,,同意,不同意,有效票,無效票,選舉人數
金城鎮,東門里,359,114,473,25,1396
金城鎮,東門里,510,166,676,20,1831
金城鎮,東門里,455,153,608,33,1750
金城鎮,南門里,496,165,661,57,1889
金城鎮,南門里,350,160,510,26,1675
金城鎮,南門里,583,171,754,26,1901
金城鎮,西門里,365,152,517,41,1610
金城鎮,西門里,424,153,577,29,1687
金城鎮,西門里,436,128,564,17,1594
金城鎮,西門里,417,179,596,18,1726
金城鎮,西門里,462,146,608,23,1733
金城鎮,西門里,447,160,607,18,1532
金城鎮,北門里,501,189,690,37,2079
金城鎮,北門里,457,168,625,29,2033
金城鎮,賢庵里,606,235,841,42,2517
金城鎮,賢庵里,520,167,687,39,2083
金城鎮,金水里,535,162,697,40,2140
金城鎮,古城里,500,183,683,29,2435
金城鎮,古城里,238,78,316,30,1353
金城鎮,珠沙里,374,106,480,16,1574
金城鎮,珠沙里,338,112,450,31,1277
金寧鄉,古寧村,380,121,501,40,1735
金寧鄉,古寧村,345,116,461,25,1537
金寧鄉,安美村,379,187,566,28,1766
金寧鄉,安美村,271,88,359,16,1015
金寧鄉,安美村,466,123,589,33,1726
金寧鄉,湖埔村,391,128,519,21,1691
金寧鄉,湖埔村,321,517,838,28,2044
金寧鄉,湖埔村,536,207,743,21,1848
金寧鄉,湖埔村,442,146,588,25,1735
金寧鄉,榜林村,431,164,595,32,1795
金寧鄉,榜林村,412,133,545,36,1834
金寧鄉,榜林村,348,134,482,28,1528
金寧鄉,盤山村,418,127,545,23,1473
金寧鄉,盤山村,426,147,573,28,1679
金寧鄉,盤山村,265,661,926,7,1921
金寧鄉,盤山村,308,148,456,12,1298
金寧鄉,后盤村,361,113,474,32,1537
金湖鎮,新市里,376,142,518,22,1348
金湖鎮,新市里,312,142,454,30,1386
金湖鎮,新市里,436,133,569,36,1403
金湖鎮,山外里,488,154,642,33,1771
金湖鎮,山外里,362,162,524,34,1493
金湖鎮,溪湖里,365,129,494,40,1510
金湖鎮,蓮庵里,436,133,569,40,1607
金湖鎮,料羅里,479,151,630,37,2006
金湖鎮,新湖里,431,186,617,26,1780
金湖鎮,新湖里,441,179,620,15,1739
金湖鎮,新湖里,345,111,456,23,1384
金湖鎮,新湖里,366,138,504,24,1400
金湖鎮,新湖里,440,129,569,16,1325
金湖鎮,正義里,300,97,397,19,1236
金湖鎮,正義里,336,116,452,31,1382
金湖鎮,瓊林里,421,125,546,14,1631
金湖鎮,瓊林里,342,106,448,45,1514
金沙鎮,汶沙里,478,141,619,37,1909
金沙鎮,汶沙里,460,134,594,31,1524
金沙鎮,汶沙里,409,114,523,24,1673
金沙鎮,何斗里,513,111,624,36,2003
金沙鎮,浦山里,354,118,472,23,1212
金沙鎮,浦山里,287,94,381,29,1126
金沙鎮,西園里,352,99,451,28,1540
金沙鎮,官嶼里,272,83,355,21,1216
金沙鎮,官嶼里,193,54,247,12,950
金沙鎮,三山里,539,127,666,35,1895
金沙鎮,大洋里,336,96,432,32,1135
金沙鎮,光前里,317,100,417,21,1252
金沙鎮,光前里,346,96,442,21,1125
烈嶼鄉,林湖村,527,158,685,37,1647
烈嶼鄉,林湖村,454,128,582,35,1733
烈嶼鄉,黃埔村,430,147,577,30,1635
烈嶼鄉,西口村,313,109,422,18,1296
烈嶼鄉,西口村,257,75,332,23,1099
烈嶼鄉,上林村,339,114,453,31,1425
烈嶼鄉,上岐村,375,126,501,24,1412
烈嶼鄉,上岐村,368,108,476,29,1429
烏坵鄉,大坵村,55,20,75,3,275
烏坵鄉,小坵村,70,14,84,3,292
