你是否同意以民法婚姻規定以外之其他形式來保障同性別二人經營永久共同生活的權益？,2018年11月24日,1,2,,,
,,同意*,不同意,,,
,,同意,不同意,有效票,無效票,選舉人數
金城鎮,東門里,311,169,480,24,1396
金城鎮,東門里,434,239,673,21,1831
金城鎮,東門里,396,213,609,32,1750
金城鎮,南門里,434,228,662,56,1889
金城鎮,南門里,289,228,517,19,1675
金城鎮,南門里,506,242,748,33,1901
金城鎮,西門里,288,224,512,46,1610
金城鎮,西門里,385,190,575,29,1687
金城鎮,西門里,393,178,571,10,1594
金城鎮,西門里,379,209,588,24,1726
金城鎮,西門里,414,190,604,27,1733
金城鎮,西門里,392,217,609,19,1532
金城鎮,北門里,444,244,688,30,2079
金城鎮,北門里,414,218,632,23,2033
金城鎮,賢庵里,542,310,852,30,2517
金城鎮,賢庵里,455,235,690,37,2083
金城鎮,金水里,465,234,699,35,2140
金城鎮,古城里,422,257,679,37,2435
金城鎮,古城里,216,103,319,27,1353
金城鎮,珠沙里,300,180,480,19,1574
金城鎮,珠沙里,298,147,445,34,1277
金寧鄉,古寧村,325,168,493,48,1735
金寧鄉,古寧村,297,155,452,34,1537
金寧鄉,安美村,334,232,566,29,1766
金寧鄉,安美村,230,131,361,14,1015
金寧鄉,安美村,397,191,588,31,1726
金寧鄉,湖埔村,313,197,510,28,1691
金寧鄉,湖埔村,387,449,836,30,2044
金寧鄉,湖埔村,472,257,729,35,1848
金寧鄉,湖埔村,397,193,590,22,1735
金寧鄉,榜林村,381,221,602,25,1795
金寧鄉,榜林村,371,171,542,40,1834
金寧鄉,榜林村,283,204,487,25,1528
金寧鄉,盤山村,339,198,537,31,1473
金寧鄉,盤山村,365,210,575,26,1679
金寧鄉,盤山村,338,569,907,26,1921
金寧鄉,盤山村,274,178,452,16,1298
金寧鄉,后盤村,299,171,470,36,1537
金湖鎮,新市里,333,187,520,20,1348
金湖鎮,新市里,275,186,461,29,1386
金湖鎮,新市里,356,213,569,36,1403
金湖鎮,山外里,448,198,646,28,1771
金湖鎮,山外里,323,201,524,33,1493
金湖鎮,溪湖里,339,149,488,49,1510
金湖鎮,蓮庵里,391,180,571,38,1607
金湖鎮,料羅里,414,206,620,45,2006
金湖鎮,新湖里,370,245,615,27,1780
金湖鎮,新湖里,403,211,614,21,1739
金湖鎮,新湖里,294,166,460,19,1384
金湖鎮,新湖里,322,178,500,27,1400
金湖鎮,新湖里,370,195,565,20,1325
金湖鎮,正義里,241,145,386,30,1236
金湖鎮,正義里,295,151,446,36,1382
金湖鎮,瓊林里,394,147,541,19,1631
金湖鎮,瓊林里,295,160,455,38,1514
金沙鎮,汶沙里,420,200,620,36,1909
金沙鎮,汶沙里,407,185,592,33,1524
金沙鎮,汶沙里,339,180,519,28,1673
金沙鎮,何斗里,430,177,607,53,2003
金沙鎮,浦山里,313,161,474,21,1212
金沙鎮,浦山里,259,133,392,18,1126
金沙鎮,西園里,325,129,454,25,1540
金沙鎮,官嶼里,236,114,350,26,1216
金沙鎮,官嶼里,172,79,251,9,950
金沙鎮,三山里,482,185,667,34,1895
金沙鎮,大洋里,307,135,442,22,1135
金沙鎮,光前里,267,147,414,24,1252
金沙鎮,光前里,309,141,450,13,1125
烈嶼鄉,林湖村,466,216,682,40,1647
烈嶼鄉,林湖村,397,192,589,28,1733
烈嶼鄉,黃埔村,383,185,568,39,1635
烈嶼鄉,西口村,266,158,424,16,1296
烈嶼鄉,西口村,210,112,322,33,1099
烈嶼鄉,上林村,312,140,452,32,1425
烈嶼鄉,上岐村,344,160,504,21,1412
烈嶼鄉,上岐村,333,130,463,42,1429
烏坵鄉,大坵村,49,26,75,3,275
烏坵鄉,小坵村,64,20,84,3,292
