您是否同意，以「性別平等教育法」明定在國民教育各階段內實施性別平等教育，且內容應涵蓋情感教育、性教育、同志教育等課程？,2018年11月24日,1,2,,,
,,同意,不同意*,,,
,,同意,不同意,有效票,無效票,選舉人數
金城鎮,東門里,115,358,473,30,1396
金城鎮,東門里,170,501,671,24,1831
金城鎮,東門里,146,464,610,32,1750
金城鎮,南門里,167,495,662,55,1889
金城鎮,南門里,165,346,511,25,1675
金城鎮,南門里,163,592,755,23,1901
金城鎮,西門里,163,352,515,42,1610
金城鎮,西門里,143,428,571,31,1687
金城鎮,西門里,225,339,564,17,1594
金城鎮,西門里,156,449,605,13,1726
金城鎮,西門里,153,461,614,17,1733
金城鎮,西門里,140,449,589,27,1532
金城鎮,北門里,168,511,679,42,2079
金城鎮,北門里,177,451,628,25,2033
金城鎮,賢庵里,220,614,834,48,2517
金城鎮,賢庵里,172,521,693,37,2083
金城鎮,金水里,148,554,702,33,2140
金城鎮,古城里,163,507,670,50,2435
金城鎮,古城里,67,259,326,19,1353
金城鎮,珠沙里,100,374,474,19,1574
金城鎮,珠沙里,120,322,442,36,1277
金寧鄉,古寧村,99,385,484,57,1735
金寧鄉,古寧村,112,352,464,22,1537
金寧鄉,安美村,178,382,560,35,1766
金寧鄉,安美村,93,264,357,18,1015
金寧鄉,安美村,117,460,577,33,1726
金寧鄉,湖埔村,121,396,517,21,1691
金寧鄉,湖埔村,538,307,845,21,2044
金寧鄉,湖埔村,191,545,736,28,1848
金寧鄉,湖埔村,156,437,593,27,1735
金寧鄉,榜林村,162,434,596,31,1795
金寧鄉,榜林村,97,446,543,38,1834
金寧鄉,榜林村,126,367,493,19,1528
金寧鄉,盤山村,120,424,544,24,1473
金寧鄉,盤山村,147,429,576,26,1679
金寧鄉,盤山村,674,245,919,14,1921
金寧鄉,盤山村,126,326,452,15,1298
金寧鄉,后盤村,113,374,487,19,1537
金湖鎮,新市里,144,368,512,28,1348
金湖鎮,新市里,119,344,463,26,1386
金湖鎮,新市里,130,449,579,26,1403
金湖鎮,山外里,155,493,648,26,1771
金湖鎮,山外里,143,368,511,45,1493
金湖鎮,溪湖里,99,382,481,54,1510
金湖鎮,蓮庵里,131,448,579,30,1607
金湖鎮,料羅里,140,498,638,32,2006
金湖鎮,新湖里,196,416,612,30,1780
金湖鎮,新湖里,176,442,618,17,1739
金湖鎮,新湖里,115,340,455,24,1384
金湖鎮,新湖里,139,363,502,26,1400
金湖鎮,新湖里,151,420,571,16,1325
金湖鎮,正義里,102,292,394,20,1236
金湖鎮,正義里,112,333,445,35,1382
金湖鎮,瓊林里,99,441,540,20,1631
金湖鎮,瓊林里,99,359,458,35,1514
金沙鎮,汶沙里,120,498,618,42,1909
金沙鎮,汶沙里,125,468,593,32,1524
金沙鎮,汶沙里,96,422,518,29,1673
金沙鎮,何斗里,112,516,628,30,2003
金沙鎮,浦山里,106,361,467,26,1212
金沙鎮,浦山里,90,292,382,27,1126
金沙鎮,西園里,97,354,451,28,1540
金沙鎮,官嶼里,73,285,358,20,1216
金沙鎮,官嶼里,46,202,248,11,950
金沙鎮,三山里,122,547,669,32,1895
金沙鎮,大洋里,84,346,430,32,1135
金沙鎮,光前里,96,317,413,25,1252
金沙鎮,光前里,91,359,450,13,1125
烈嶼鄉,林湖村,149,553,702,20,1647
烈嶼鄉,林湖村,121,462,583,34,1733
烈嶼鄉,黃埔村,128,455,583,24,1635
烈嶼鄉,西口村,103,319,422,18,1296
烈嶼鄉,西口村,63,273,336,20,1099
烈嶼鄉,上林村,108,347,455,28,1425
烈嶼鄉,上岐村,96,413,509,16,1412
烈嶼鄉,上岐村,101,380,481,26,1429
烏坵鄉,大坵村,22,54,76,2,275
烏坵鄉,小坵村,16,71,87,0,292
