您是否同意：廢除電業法第95條第1項，即廢除『核能發電設備應於中華民國一百十四年以前，全部停止運轉』之條文？,2018年11月24日,1,2,,,
,,同意*,不同意,,,
,,同意,不同意,有效票,無效票,選舉人數
金城鎮,東門里,310,141,451,41,1396
金城鎮,東門里,409,248,657,35,1831
金城鎮,東門里,373,203,576,67,1750
金城鎮,南門里,381,244,625,93,1889
金城鎮,南門里,336,157,493,43,1675
金城鎮,南門里,473,241,714,66,1901
金城鎮,西門里,303,171,474,82,1610
金城鎮,西門里,364,196,560,41,1687
金城鎮,西門里,364,193,557,23,1594
金城鎮,西門里,361,219,580,23,1726
金城鎮,西門里,406,184,590,39,1733
金城鎮,西門里,361,222,583,41,1532
金城鎮,北門里,403,247,650,69,2079
金城鎮,北門里,515,88,603,49,2033
金城鎮,賢庵里,563,257,820,63,2517
金城鎮,賢庵里,464,210,674,54,2083
金城鎮,金水里,474,174,648,55,2140
金城鎮,古城里,391,220,611,94,2435
金城鎮,古城里,199,101,300,46,1353
金城鎮,珠沙里,343,123,466,28,1574
金城鎮,珠沙里,264,135,399,79,1277
金寧鄉,古寧村,314,152,466,75,1735
金寧鄉,古寧村,288,152,440,45,1537
金寧鄉,安美村,316,206,522,70,1766
金寧鄉,安美村,232,119,351,24,1015
金寧鄉,安美村,369,182,551,61,1726
金寧鄉,湖埔村,334,180,514,21,1691
金寧鄉,湖埔村,414,407,821,44,2044
金寧鄉,湖埔村,505,215,720,44,1848
金寧鄉,湖埔村,393,184,577,27,1735
金寧鄉,榜林村,371,190,561,66,1795
金寧鄉,榜林村,347,168,515,66,1834
金寧鄉,榜林村,310,170,480,35,1528
金寧鄉,盤山村,366,173,539,29,1473
金寧鄉,盤山村,379,180,559,42,1679
金寧鄉,盤山村,577,315,892,39,1921
金寧鄉,盤山村,301,139,440,27,1298
金寧鄉,后盤村,316,144,460,45,1537
金湖鎮,新市里,320,173,493,47,1348
金湖鎮,新市里,284,173,457,28,1386
金湖鎮,新市里,368,178,546,59,1403
金湖鎮,山外里,445,176,621,51,1771
金湖鎮,山外里,327,164,491,64,1493
金湖鎮,溪湖里,293,155,448,88,1510
金湖鎮,蓮庵里,389,165,554,59,1607
金湖鎮,料羅里,407,170,577,90,2006
金湖鎮,新湖里,388,204,592,49,1780
金湖鎮,新湖里,412,192,604,31,1739
金湖鎮,新湖里,291,144,435,43,1384
金湖鎮,新湖里,308,158,466,62,1400
金湖鎮,新湖里,367,189,556,31,1325
金湖鎮,正義里,259,109,368,45,1236
金湖鎮,正義里,262,158,420,54,1382
金湖鎮,瓊林里,348,170,518,42,1631
金湖鎮,瓊林里,294,141,435,59,1514
金沙鎮,汶沙里,390,212,602,55,1909
金沙鎮,汶沙里,395,166,561,64,1524
金沙鎮,汶沙里,328,148,476,67,1673
金沙鎮,何斗里,402,207,609,49,2003
金沙鎮,浦山里,282,168,450,43,1212
金沙鎮,浦山里,248,131,379,31,1126
金沙鎮,西園里,300,135,435,44,1540
金沙鎮,官嶼里,210,126,336,40,1216
金沙鎮,官嶼里,156,80,236,22,950
金沙鎮,三山里,453,196,649,52,1895
金沙鎮,大洋里,278,145,423,40,1135
金沙鎮,光前里,264,119,383,52,1252
金沙鎮,光前里,293,139,432,32,1125
烈嶼鄉,林湖村,513,169,682,40,1647
烈嶼鄉,林湖村,396,175,571,46,1733
烈嶼鄉,黃埔村,398,163,561,44,1635
烈嶼鄉,西口村,278,134,412,29,1296
烈嶼鄉,西口村,229,101,330,25,1099
烈嶼鄉,上林村,299,153,452,31,1425
烈嶼鄉,上岐村,332,169,501,24,1412
烈嶼鄉,上岐村,361,107,468,37,1429
烏坵鄉,大坵村,47,27,74,4,275
烏坵鄉,小坵村,48,35,83,4,292
